"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ABRAMS CREEK CAMPGROUND","","","","68","Ground water","107 PARK HEADQUARTERS RD
GATLINBURG, TN 37738","865-436-5615","","Blount"
"ACCURATE ENERGETIC SYSTEMS","","","","90","Ground water","5891 HIGHWAY 230 WEST
MCEWEN, TN 37101","931-729-6614","","Hickman"
"ADAMSVILLE WATER SYSTEM","","","","9,091","Ground water","P.O. BOX 301
ADAMSVILLE, TN 38310","731-632-4214","ADAMSVILLE","McNairy"
"ADVENTURE BOUND CAMPING RESORT-GATLINBUR","","","","300","Ground water","4609 E PARKWAY
GATLINBURG, TN 37738","865-436-4434","","Sevier"
"AEDC COMPLEX-WATER PLANT","","","","2,500","Surface water","100 KINDEL DR, STE 115, AEDC/TSDCA
ARNOLD AFB, TN 37389-1115","931-454-6290","","Coffee"
"AEDC GOLF COURSE WATER SYSTEM","","","","75","Groundwater under influence of surface water","100 KINDEL DR, STE 115, AEDC/TSDCA
ARNOLD AFB, TN 37389-1115","931-454-6290","","Coffee"
"ALAMO BAPTIST CHURCH","","","","30","Ground water","117 E. FORD ST.
SHARON, TN 38255-4467","","","Obion"
"ALAMO WATER DEPARTMENT","","","","3,103","Ground water","97 SOUTH JOHNSON ST.
P.O. BOX 446
ALAMO, TN 38001","731-696-4515","ALAMO","Crockett"
"ALCOA WATER SYSTEM","","","","30,123","Surface water","223 Associates Blvd
ALCOA, TN 37701","865-380-4800","ALCOA, MARYVILLE","Blount"
"ALDER SPRINGS VILLAGE","","","","93","Ground water","511 ALDER SHORE LANE
LAFOLLETTE, TN 37766","423-494-9427","","Campbell"
"ALEXANDRIA WATER SYSTEM","","","","2,557","Surface water purchased","P.O. BOX 227
102 HIGH STREET
ALEXANDRIA, TN 37012","615-529-2171","","DeKalb"
"ALGOOD WATER SYSTEM","","","","8,713","Surface water purchased","215 WEST MAIN STREET
ALGOOD, TN 38506","931-537-9545","","Putnam"
"ALLARDT WATER WORKS","","","","3,529","Surface water purchased","P.O. BOX 159
2015 MICHIGAN AVE.
ALLARDT, TN 38504","931-879-7125","","Fentress"
"ALPHA-TALBOTT UTILITY DISTRICT","","","","17,934","Surface water purchased","P.O. BOX 100
TALBOTT, TN 37877","865-475-7200","","Hamblen"
"ANDERSON COUNTY WATER AUTHORITY","","","","24,029","Surface water","1611 NORTH CHARLES SIEVERS RD.
CLINTON, TN 37716","865-457-9506","LAKE CITY","Anderson"
"ANTIOCH BAPTIST CH - HUMBOLDT","","","","300","Ground water","425 ANTIOCH RD.
HUMBOLDT, TN 38343","731-783-5330","","Madison"
"AQUA UTILITIES CO, INC","","","","993","Ground water purchased","408 MAIN STREET
SAVANNAH, TN 38372","731-925-4834","","Hardin"
"ARARAT BAPTIST CHURCH","","","","100","Ground water","3620 BROWNSVILLE HWY
JACKSON, TN 38301","731-424-2529","","Madison"
"ARDMORE WATER SYSTEM","","","","1,691","Ground water","P.O. BOX 26
ARDMORE, TN 38449","256-423-6161","ARDMORE","Giles"
"ARMSTRONG FERRY CAMPGROUND","","","","50","Ground water","1519 EASTVIEW CIRCLE
GEORGETOWN, TN 37336","423-834-1474","","Meigs"
"ARTHUR-SHAWANEE UTILITY DISTRICT","","","","9,967","Surface water","112 KIRBY STREET
HARROGATE, TN 37752","423-869-4761","HARROGATE","Claiborne"
"ASHLAND CITY WATER DEPARTMENT","","","","8,030","Surface water","P.O. BOX 36
ASHLAND CITY, TN 37015","615-792-7553","ASHLAND CITY","Cheatham"
"ATHENS UTILITIES BOARD","","","","24,610","Surface water","100 ENGLEWOOD ROAD
ATHENS, TN 37303","423-745-4501","ATHENS","McMinn"
"ATOKA WATER SYSTEM","","","","9,336","Ground water purchased","334 ATOKA-MUNFORD AVE.
ATOKA, TN 38004","901-837-5300","","Tipton"
"ATWOOD WATER SYSTEM","","","","1,357","Ground water","P.O. BOX 339
ATWOOD, TN 38220","731-662-7687","ATWOOD","Carroll"
"BANDY CREEK CAMPGROUND","","","","1,003","Ground water","4564 LEATHERWOOD RD.
ONIEDA, TN 37841","423-569-9765","","Scott"
"BANGHAM UTILITY DISTRICT","","","","8,047","Surface water purchased","3694 HILHAM RD.
COOKEVILLE, TN 38506-7113","931-372-1902","","Putnam"
"BARTLETT WATER SYSTEM","","","","57,670","Ground water","6382 STAGE ROAD
BARTLETT, TN 38134","901-385-6499","BARTLETT","Shelby"
"BATTLE CREEK MARKET","","","","25","Groundwater under influence of surface water","5009 HANNAH DR.
MURFREESBORO, TN 37128","615-220-2050","","Marion"
"BAXTER WATER DEPARTMENT","","","","6,600","Surface water purchased","P.O. BOX 283, CITY HALL
BAXTER, TN 38544","931-858-4111","BAXTER","Putnam"
