"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"1ST CHRISTIAN CHURCH OF KENSINGTON","","","","90","Ground water","7064 MELBA RD
KENSINGTON, OH 44427","330-223-1812","","Columbiana"
"36 SKATE CLUB","","","","80","Ground water","4835 W US RTE 36
PIQUA, OH 46356","937-773-2841","","Miami"
"4-H CAMP CLIFTON, INC.","","","","201","Ground water","2256 CLIFTON ROAD
YELLOW SPRINGS, OH 45387","937-767-7552","","Greene"
"4-H CAMP OHIO-CAMP","","","","270","Ground water","11461 CAMP OHIO RD
ST LOUISVILLE, OH 43071","740-745-2194","","Licking"
"4-H CAMP OHIO-POOL","","","","110","Ground water","11461 CAMP OHIO RD
ST LOUISVILLE, OH 43071","740-745-2194","","Licking"
"4-H CAMP PALMER","","","","156","Ground water","26450 County Road MN
FAYETTE, OH 43521-9427","419-237-2247","","Fulton"
"4-H CAMP PIEDMONT PWS","","","","25","Ground water","72375 Morristown Flushing Rd.
FLUSHING, OH 43977","740-298-0152","","Belmont"
"4-H CAMP PIEDMONT WELL 2 PWS","","","","25","Ground water","72375 Morristown Flushing Rd.
FLUSHING, OH 43977","740-298-0152","","Belmont"
"44 SHARP PWS","","","","50","Ground water","1477 State Route 44
ATWATER, OH 44201","","","Portage"
"47 BAR AND GRILL","","","","75","Ground water","PO BOX 216
PORT JEFFERSON, OH 45360","937-493-0648","","Shelby"
"5 SPAN VACATION LAND","","","","100","Ground water","PO BOX 549
WAYNESFIELD, OH 45896","419-234-4285","","Paulding"
"57 MARATHON","","","","70","Ground water","415 E. HINES HILL ROAD
BOSTON HEIGHTS, OH 44236","330-656-2158","","Medina"
"7 AND 14 TRUCK STOP","","","","210","Ground water","66 HIGH STREET
CANFIELD, OH 44406","330-482-2339","","Columbiana"
"7-ELEVEN #36218 PWS","","","","390","Ground water","3200 HACKBERRY RD
IRVING, TX 75063","972-828-7493","","Geauga"
"7-ELEVEN STORE # 36177","","","","1,650","Ground water","3200 HACKBERRY RD
IRVING, TX 75063","972-828-7493","","Richland"
"A AND R RECK MOBILE HOME PARK","","","","50","Ground water","5385 CROFT-MILL RD
BRADFORD, OH 45308","937-473-5995","","Miami"
"A AND R UNION CITY PARK MHP PWS","","","","85","Ground water","5385 CROFT MILL ROAD
BRADFORD, OH 45308","937-418-0166","","Darke"
"A BROWN AND SONS NURSERY OFFICE PWS","","","","75","Ground water","PO BOX 427
PHILLIPSBURG, OH 45354","937-836-5826","","Montgomery"
"A&E CAMPGROUND LLC","","","","28","Ground water","3299 STATE RTE 540
BELLEFONTAINE, OH 43311","937-593-0220","","Logan"
"A.B. GRAHAM MEMORIAL CENTER PWS","","","","35","Ground water","PO Box 433
CONOVER, OH 45317","937-368-3700","","Miami"
"A1 TWINVALLEY CAMPGROUND","","","","82","Ground water","2330 APOLLO ROAD, S.E.
CARROLLTON, OH 44615","330-739-2811","","Carroll"
"ABC COUNTRY CAMPING AND CABINS","","","","140","Ground water","4083 FRESNO ROAD, N.W.
CARROLLTON, OH 44615","330-735-3220","","Carroll"
"ABLE TALENT SPACE CENTER","","","","110","Ground water","7600 South Range Road
GREENFORD, OH 44460","917-608-1793","","Mahoning"
"ABOVE PAR EVENT CENTER","","","","100","Ground water","3960 FREMAR RD NE
LANCASTER, OH 43130","614-843-3754","","Fairfield"
"ABUNDANT LIFE CHURCH","","","","200","Ground water","637 N. MARKET ST
LOUDONVILLE, OH 44842","419-994-1112","","Holmes"
"ABUNDANT LIFE CHURCH OF GOD PWS","","","","180","Ground water","PO BOX 603
MIDDLEFIELD, OH 44062","","","Geauga"
"AC PRODUCTS","","","","40","Ground water","4299 S APPLE CREEK RD
PO BOX 518
APPLE CREEK, OH 44606","330-698-1105","","Wayne"
"ACC-WADSWORTH FELLOWSHIP CENTER PWS","","","","200","Ground water","2304 WALL ROAD
WADSWORTH, OH 44281","330-335-0808","","Medina"
"ACE OF DIAMOND PWS","","","","25","Ground water","10158 TALLMADGE RD
DIAMOND, OH 44412","330-654-2337","","Portage"
"ACHESON RESORT","","","","126","Ground water","9050 Acheson's Resort Street
LAKEVIEW, OH 43331","937-842-4530","","Logan"
"ADA FULL GOSPEL CHURCH","","","","220","Ground water","1047 STATE RT 235
ADA, OH 45810","419-634-6132","","Hardin"
"ADA VILLAGE","","","","5,952","Ground water","115 W BUCKEYE AVE
PO BOX 292
ADA, OH 45810-0292","419-634-4045","","Hardin"
"ADAMS COUNTY REGIONAL WD PWS","http://www.acrwd.com/id62.html","http://www.acrwd.com","","21,810","Ground water","PO Box 427
9203 St Rt 136
WEST UNION, OH 45693","937-544-2396","","Adams"
"ADDYSTON VILLAGE PWS","","","","900","Ground water","235 MAIN STREET P.O. BOX 0567
ADDYSTON, OH 45001","513-941-4109","","Hamilton"
"ADENA VILLAGE PWS","","","","820","Ground water purchased","143 W. MAIN STREET
PO BOX 507
ADENA, OH 43901","740-546-3182","","Jefferson"
"ADVANCED DRAINAGE SYSTEMS PWS","","","","50","Ground water","3113 LINCOLN WAY WEST
WOOSTER, OH 44691","330-264-4949","","Wayne"
"ADVANCED DRAINAGE SYSTEMS- BUTLER","","","","171","Ground water","Advanced Drainage Systems
2560 Hamilton-Eaton Rd
NEW MIAMI, OH 45011","513-896-2057","","Butler"
"ADVENTURE BOUND RESORT - PLEASANT VIEW E","","","","285","Ground water","12611 Township Rd 218
VAN BUREN, OH 45889","419-299-3897","","Hancock"
"ADVENTURE BOUND RESORT - PLEASANT VIEW W","","","","133","Ground water","12611 Township Rd 218
VAN BUREN, OH 45889","419-299-3897","","Hancock"
"ADVENTURE PLACE","","","","82","Ground water","1516 EDISON ST NW
UNIONTOWN, OH 44685","330-877-3951","","Stark"
"ADVENTURES IN LEARNING DAYCARE PWS","","","","85","Ground water","420 Pearl Road
BRUNSWICK, OH 44212","330-558-0600","","Medina"
"AEP DRESDEN FACILITY ADM PWS","","","","36","Ground water","AEP DRESDEN ENERGY FACILITY
9595 MCGLADE SCHOOL ROAD
DRESDEN, OH 43821","740-455-6264","","Muskingum"
"AG PRO OHIO LLC","","","","48","Ground water","Ag-Pro Companies
5828 Zarley St., Suite A
NEW ALBANY, OH 43054","614-317-9390","","Madison"
"AGAPE CHRISTIAN ACADEMY","","","","110","Ground water","17791 CLARIDON TROY ROAD
HIRAM, OH 44021","440-834-1705","","Geauga"
"AHMADIYYA MOSQUE PWS","","","","60","Ground water","3360 TOY ROAD
GROVEPORT, OH 43125","","","Franklin"
"AILERON","","","","65","Ground water","8860 WILDCAT RD
TIPP CITY, OH 45371","937-669-6557","","Miami"
"AK STEEL COSHOCTON WORKS","","","","376","Ground water","17400 STATE RTE 16
COSHOCTON, OH 43812","740-829-4279","","Coshocton"
"AKRON CANTON JELLYSTONE PARK","","","","350","Ground water","12712 HOOVER AVE NW
UNIONTOWN, OH 44685","330-877-9800","","Stark"
"AKRON CITY PWS","http://www.ci.akron.oh.us/pubutl.html","","","280,000","Surface water","1570 RAVENNA ROAD
KENT, OH 44240","330-678-0077","","Summit"
"AKRON ROTARY CAMP PWS","","","","70","Ground water","4460 REX LAKE DRIVE
AKRON, OH 44319","330-644-4512","","Summit"
