"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"10 4 WATER SYSTEM","","","","150","Ground water","4887 AIRPORT DR
STOVER, MO 65078-0000","573-372-3916","","Morgan"
"10-42 BAR & QUE","","","","25","Ground water","14570 RED HOLLOW RD
GRAVOIS MILLS, MO 65037-0000","816-838-3139","","Morgan"
"11 WEST CONDOMINIUM","","","","25","Ground water","81 ELEVEN WEST DR
SUNRISE BEACH, MO 65079-0000","573-374-9378","","Camden"
"17 EAGLE STOP","","","","200","Ground water","3253 E CHESTNUT EXPY STE 5
RUTHANN DOBSON, GIER OIL COMPANY
SPRINGFIELD, MO 65802-0000","573-480-3405","","Cole"
"21 EXPRESS","","","","75","Ground water","160 CR 208
IRONTON, MO 63650-0000","573-546-5337","","Iron"
"3V CORP","","","","50","Ground water","1050 W HAYWARD DR
MOUNT VERNON, MO 65712-0000","417-466-7184","","Lawrence"
"5 81 MOTEL & CAMPGROUND","","","","75","Ground water","5649 OLD ROUTE 5
CAMDENTON, MO 65020-0000","573-873-5137","","Camden"
"66 DRIVE IN THEATRE","","","","50","Ground water","17231 OLD 66 BLVD
CARTHAGE, MO 64836-0000","417-793-5959","","Jasper"
"7 EXPRESS","","","","100","Ground water","14051 N STATE HWY 7
PO BOX 6
CLIMAX SPRINGS, MO 65324-0000","573-347-2712","CLIMAX SPRINGS","Camden"
"A&H COUNTRY ESTATES","","","","80","Ground water","301 MAIN ST
PO BOX 800
HILLSBORO, MO 63050-0000","636-797-2601","","Jefferson"
"ABC WATER ASSN","","","","25","Ground water","23777 GREEN SHORES DR
SHELL KNOB, MO 65747-0000","417-858-3623","","Barry"
"ABERDEEN GOLF CLUB","","","","25","Ground water","4111 CRESCENT RD
EUREKA, MO 63025-0000","636-938-5465","","St. Louis"
"ABUNDANT LIFE CHRISTIAN CHURCH","","","","300","Ground water","104 N OHIO ST
PO BOX 167
LINCOLN, MO 65338-0000","660-547-2455","COLE CAMP","Benton"
"ACRES OF SHADE MHP","","","","125","Ground water","6384 E GREEN HAVEN LN
STRAFFORD, MO 65757-0000","417-736-2661","STAFFORD","Greene"
"ADAIR COUNTY PWSD 1","","","","7,500","Surface water purchased","1120 N GREEN
KIRKSVILLE, MO 63501-0000","660-341-2192","KIRKSVILLE","Adair"
"ADAMS ALE RESORT","","","","57","Ground water","20 EAGLE RIDGE RD
CAMDENTON, MO 65020-0000","573-317-3592","","Camden"
"ADRIAN PWS","","","","1,635","Surface water","16 E 5TH
PO BOX 246
ADRIAN, MO 64720-0000","816-297-2659","ADRIAN","Bates"
"ADVANCE PWS","","","","1,365","Ground water","308 W GABRIEL ST
PO BOX 348
ADVANCE, MO 63730-0000","573-722-5219","ADVANCE","Stoddard"
"AGAPE BOARDING SCHOOL","","","","250","Ground water","12998 E 1400 RD
STOCKTON, MO 65785-0000","417-276-7218","","Cedar"
"AGAPE LIFE FELLOWSHIP","","","","50","Ground water","6185 W ST HWY 266
SPRINGFIELD, MO 65802-0000","417-831-2333","","Greene"
"AIRPARK BEACH","","","","42","Ground water","
PO BOX 17
EAGLE ROCK, MO 65641-0000","417-271-3333","GOLDEN","Barry"
"AIRPORT HOMEOWNERS ASSN INC","","","","50","Ground water","PO BOX 242
GOLDEN, MO 65658-0000","","","Barry"
"AIRPORT VILLAGE MHP","","","","26","Ground water","1373 OAKWOOD TRAIL
PAINESVILLE, OH 44077-0000","440-855-4281","","Cedar"
"AJINOMOTO WINDSOR","","","","150","Ground water","5691 S DAVINCI LN
CARTHAGE, MO 64836-0000","417-358-8104","","Jasper"
"ALBA PWS","","","","550","Ground water","111 E HIGH ST
PO BOX 108
ALBA, MO 64830-0000","417-525-4463","ALBA","Jasper"
"ALBANY PWS","","","","1,650","Ground water","106 E CLAY ST
ALBANY, MO 64402-0000","660-726-3935","ALBANY","Gentry"
"ALHONNA RESORT","","","","150","Ground water","677 OUTER DR
LAKE OZARK, MO 65049-0000","573-365-2634","LAKE OZARK","Camden"
"ALLEN ACRES","","","","70","Ground water","927 PAGE BRANDY ROAD
ELSBERRY, MO 63343-0000","636-358-2173","","Lincoln"
"ALMA PWS","","","","400","Surface water purchased","205 S COUNTY RD
PO BOX 229
ALMA, MO 64001-0000","660-674-2475","ALMA","Lafayette"
"ALPINE LODGE RESORT","","","","50","Ground water","434 INDIAN CREEK CIRCLE
BRANSON, MO 65616-0000","417-338-2514","","Stone"
"ALPS GROCERY PITTSBURG","","","","25","Ground water","25817 ST HWY 64
PITTSBURG, MO 65724-0000","417-852-1111","","Hickory"
"ALTA VISTA MOBILE VILLA","","","","60","Ground water","14501 US HWY 63 S # 26
ROLLA, MO 65401-0000","573-341-3033","ROLLA","Phelps"
"ALTAMONT PWS","","","","207","Ground water purchased","206 MAIN ST
PO BOX 145
ALTAMONT, MO 64620-0000","660-749-5481","ALTAMONT","Daviess"
"ALTENBURG PWS","","","","350","Ground water","9144 MAIN ST
PO BOX 117
ALTENBURG, MO 63732-0000","573-842-5954","ALTENBURG","Perry"
"ALTON PWS","","","","1,100","Ground water","101 PINE ST
PO BOX 247
ALTON, MO 65606-0000","417-778-6321","ALTON","Oregon"
"AMAZONIA PWS","","","","312","Ground water purchased","
PO BOX 85
AMAZONIA, MO 64421-0000","816-390-4411","AMAZONIA","Andrew"
"AMEREN MISSOURI CALLAWAY ENERGY CENTER","","","","860","Ground water","MAIL CODE 602
PO BOX 66149
ST LOUIS, MO 65101-0000","314-554-3651","","Callaway"
"AMEREN U E  RUSH ISLAND","","","","100","Ground water","ONE AMEREN PLAZA
1901 CHOUTEAU AVE MC602
ST LOUIS, MO 63103-0000","314-554-3651","","Jefferson"
"AMERICAN LEGION POST 217","","","","28","Ground water","32739 MM HWY
WARSAW, MO 65355-0000","660-438-6928","","Benton"
"AMERICAN RESORTS HOA","","","","48","Ground water","15115 E 1822 RD
STOCKTON, MO 65785-0000","816-679-2043","","Cedar"
"AMERICAN VETERANS POST 108","","","","30","Ground water","28358 HWY Y
PO BOX 851
ROCKY MOUNT, MO 65072-0000","573-392-0659","","Morgan"
"AMERICAN VETERANS POST 116","","","","25","Ground water","11885 E HWY 32
STOCKTON, MO 65785-0000","417-276-7826","STOCKTON","Cedar"
"AMERICAS BEST CMPGRND","","","","450","Ground water","499 BUENA VISTA RD
BRANSON, MO 65616-0000","417-336-4399","","Taney"
"AMORET PWS","","","","190","Surface water purchased","1962 S BROADWAY
PO BOX 105
AMORET, MO 64722-0000","660-200-6027","AMORET","Bates"
"ANDERSON PWS","","","","1,961","Ground water","103 W BEAVER ST
PO BOX 397
ANDERSON, MO 64831-0000","417-845-6463","ANDERSON","McDonald"
"ANDREW COUNTY PWSD 1","","","","5,273","Ground water purchased","201 S 71 HIGHWAY
SAVANNAH, MO 64485-0000","","SAVANNAH","Andrew"
"ANDREW COUNTY PWSD 2","","","","3,548","Ground water purchased","19726 COUNTY RD 282
COSBY, MO 64436-0000","816-369-2324","COSBY","Andrew"
"ANDREW COUNTY PWSD 3","","","","1,113","Ground water purchased","10347 HWY 48
ROSENDALE, MO 64483-0000","816-487-4025","FILLMORE","Andrew"
"ANDREW COUNTY PWSD 4","","","","588","Ground water purchased","4130 COUNTY RD 127
ROSENDALE, MO 64483-0000","816-428-3825","","Andrew"
"ANDREWS LANDING & RV PARK","","","","120","Ground water","5329 STATE HWY 165
BRANSON, MO 65616-0000","417-334-9073","","Taney"
"ANDY DALTON SHOOTING RANGE TRN CTR","","","","25","Ground water","4897 N FARM ROAD 61
PO BOX 1812
BOIS D ARC, MO 65612-1812","417-742-4361","","Greene"
"ANGLERS BEND SUB REES 1ST ADDITION","","","","90","Ground water","4616 S. HOLLAND AVE
SPRINGFIELD, MO 65810-0000","417-839-1126","","Stone"
"ANGLERS BEND UNIT 2","","","","22","Ground water","231 LAKE CIRCLE DRIVE
GALENA, MO 65656-0000","417-538-4152","","Stone"
"ANGLERS CAMP","","","","50","Ground water","14370 BLACKBERRY LANE
WARSAW, MO 65355-0000","660-438-6889","","Benton"
"ANGLERS RETREAT RV PARK","","","","110","Ground water","
PO BOX 1988
WARSAW, MO 65355-0000","660-441-1134","","Benton"
"ANGLERS RETREAT RV PARK ON MM HWY","","","","63","Ground water","32831 HWY MM
PO BOX 1988
WARSAW, MO 65355-0000","660-492-2670","","Benton"
"ANNAPOLIS PWS","","","","310","Ground water","204 SCHOOL ST
ANNAPOLIS, MO 63620-0000","573-598-3531","ANNAPOLIS","Iron"
"ANNISTON PWS","","","","180","Ground water purchased","
PO BOX 264
ANNISTON, MO 63820-0000","573-649-5364","ANNISTON","Mississippi"
"ANTHONIES MILL RESORT SUBDIVISION","","","","214","Ground water","11522 ANTHONIES MILL RD
BOURBON, MO 65441-0000","573-732-5788","","Washington"
"ANTIRE VALLEY SUBD","","","","260","Ground water","1453 CREEKSIDE
HIGH RIDGE, MO 63049-0000","","","Jefferson"
"ANTLERS RESORT","","","","28","Ground water","162 ANTLERS LN
BRANSON, MO 65616-0000","417-338-2331","","Stone"
"APPLE VALLEY COURT","","","","32","Ground water","901 AMY LANE
OZARK, MO 65721-0000","417-840-0828","","Christian"
"APPLETON CITY PWS","","","","1,518","Surface water purchased","114 E 4TH ST
APPLETON CITY, MO 64724-0000","660-476-2631","APPLETON CITY","St. Clair"
"AQUA VITAE ESTATES","","","","25","Ground water","144 ST CHARLES
WEST ALTON, MO 63386-0000","636-346-3097","","Morgan"
"ARBYRD PWS","","","","509","Ground water","102 DOUGLAS ST
PO BOX 338
ARBYRD, MO 63821-0000","573-654-3834","ARBYRD","Dunklin"
"ARCADIA PWS","","","","605","Ground water","150 WEST ORCHARD ST
ARCADIA, MO 63621-0000","573-546-7573","ARCADIA","Iron"
"ARCHIE PWS","","","","1,180","Surface water","
PO BOX 346
ARCHIE, MO 64725-0000","816-293-5601","ARCHIE","Cass"
"ARCOLA PWS","","","","45","Ground water","12 W DAGE COUNTY RD 22
PO BOX 93
ARCOLA, MO 65603-0000","","ARCOLA","Dade"
"AREA 71 BRANSON","","","","25","Ground water","3147 ST HWY YY
SHELL KNOB, MO 65747-0000","417-858-2027","","Taney"
"AREA 71 LLC SHELL KNOB","","","","75","Ground water","14072 S HAGAN ST
OLATHE, KS 66062-0000","913-486-7505","","Stone"
"ARGYLE ESTATES WATER SUPPLY","","","","120","Ground water","408 HILLCREST DR
UNION, MO 63084-0000","636-583-8415","","Franklin"
"AROUND THE BEND BARBQ","","","","30","Ground water","11201 N HIGHWAY 7
CLIMAX SPRINGS, MO 65324-0000","573-347-2380","","Camden"
"ARROW POINT VILLAGE PWS","","","","120","Ground water","25209 FR 2265
GOLDEN, MO 65658-0000","417-271-4645","","Barry"
"ARROW RIDGE SHORES","","","","125","Ground water","1166 ARROWRIDGE DR
ROACH, MO 65787-0000","573-347-9882","","Camden"
"ARROW ROCK PWS","","","","54","Ground water purchased","
PO BOX 149
ARROW ROCK, MO 65320-0000","660-837-3608","ARROW ROCK","Saline"
"ARROWHEAD NAVAJO WELLOWNERS ASSOCIATION","","","","25","Ground water","416 NAVAJO TRAIL
KIMBERLING CITY, MO 65686-0000","","","Stone"
"ARVEST BANK OF SHELL KNOB","","","","25","Ground water","24832 STATE HIGHWAY 39
PO BOX 485
SHELL KNOB, MO 65747-0000","417-858-0226","","Barry"
"ASBURY PWS","","","","207","Ground water","
PO BOX 316
ASBURY, MO 64832-0000","417-642-5611","ASBURY","Jasper"
"ASH GROVE PWS","","","","1,472","Ground water","
PO BOX 235
ASH GROVE, MO 65604-0000","471-751-2333","ASH GROVE","Greene"
"ASHLAND PWS","","","","3,707","Ground water","109 E BROADWAY
PO BOX 135
ASHLAND, MO 65010-0000","573-657-2091","ASHLAND","Boone"
"ASSOCIATED ELECTRIC THOMAS HILL 3","","","","265","Surface water","5693 HWY F
CLIFTON HILL, MO 65244-0000","660-261-4211","CLIFTON HILL","Randolph"
"ATCHISON COUNTY PWSD 1","","","","753","Ground water purchased","18585 INDUSTRIAL DR
PO BOX 148
ROCK PORT, MO 64482-0000","660-744-5365","WATSON","Atchison"
"ATCHISON COUNTY WHOLESALE WATER COMM","","","","25","Ground water","107 S MAIN
ROCK PORT, MO 64482-0000","816-390-2026","","Atchison"
"ATLANTA PWS","","","","385","Surface water purchased","101 S ATTERBERRY ST
PO BOX 365
ATLANTA, MO 63530-0000","660-239-4890","ATLANTA","Macon"
"AUBURN LAKE SUBDIVISION","","","","25","Ground water","1650 DES PERES RD STE 303
ST LOUIS, MO 63131-0000","314-736-4672","","Lincoln"
"AUDRAIN COUNTY PWSD 1","","","","1,455","Ground water purchased","4841 E LIBERTY
PO BOX 566
MEXICO, MO 65265-0000","573-581-1424","MEXICO","Audrain"
"AUDRAIN COUNTY PWSD 2","","","","2,260","Ground water","19105 HWY 22
PO BOX 457
MEXICO, MO 65265-0000","573-581-8230","MEXICO","Audrain"
"AUNT MARTHAS PRESCHOOL & DAY CARE","","","","65","Ground water","2345 MCVEY RD
SEDALIA, MO 65301-0000","660-827-5848","","Pettis"
"AUNTS CREEK DEV 1ST ADD","","","","40","Ground water","78 SILVERLAKE LANE
REEDS SPRING, MO 65737-0000","417-464-9849","","Stone"
