"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"1000 TRAILS / SOLEDAD CANYON PRESERVE","","","","800","Ground water","77500 Varner rd.
PALM DESERT, CA 92211","760-345-2236","","Los Angeles"
"11:11 WINERY","","","","25","Ground water","620 Trancas Street
NAPA, CA 94558","310-614-3493","","Napa"
"141 SUBURBAN ROAD WATER SUPPLY","","","","25","Ground water","141SUBURBAN RD A-5
SAN LUIS OBISPO, CA 93401","805-544-4300","","San Luis Obispo"
"148 EAST WATER SYSTEM","","","","36","Ground water","P.O. BOX 1390
INYOKERN, CA 93527","760-377-5695","","Kern"
"33RD DISTRICT AGRICULTURAL ASSOCIATION","","","","9,000","Ground water","PO Box 780
TRES PINOS, CA 95075","831-628-3421","","San Benito"
"4 STOP DELI-MARKET","","","","26","Ground water","8979 East Le Grand Avenue
LE GRAND, CA 95333","510-935-6041","","Merced"
"49ER TRAILER RANCH","","","","121","Ground water","P.O. Box 49
COLUMBIA, CA 95310","209-532-4978","","Tuolumne"
"4N MOBILEHOME PARK","","","","65","Ground water","PO BOX 850
DANVILLE, CA 96452","925-766-8109","","Stanislaus"
"5033 PENTECOST","","","","302","Ground water","1500  STANDIFORD AVE., BLDG D
MODESTO, CA 95350","209-511-7235","","Stanislaus"
"60TH STREET ASSOC. WATER SYSTEM","","","","39","Ground water","5836 HIDDEN TRAIL RD.
ROSAMOND, CA 93560","661-204-3792","","Kern"
"6200 FRANKLIN, LLC  (SWS)","","","","800","Ground water","11111 SANTA MONICA BLVD
LOS ANGELES, CA 90025","916-759-7480","","Sacramento"
"7042 FOLSOM LLC WATER SYSTEM","","","","50","Ground water","6236 MAHALA DR
CARMICHAEL, CA 95608","916-229-3258","","Sacramento"
"99 PALMS INN AND SUITES","","","","60","Ground water","26442 NORTH HIGHWAY 99
TULARE, CA 93274","559-688-0501","","Tulare"
"A & M INDUSTRIES INC","","","","142","Ground water","5512  BLUE GUM AVE
MODESTO, CA 95358","209-996-1640","","Stanislaus"
"A AND A  MOBILE HOME PARK","","","","154","Ground water","3511 Del Paso Road
STE 160147
SACRAMENTO, CA 95835-2808","916-281-9720","","Tulare"
"A SAMBADO & SON 39-321","","","","25","Ground water","8077 N TULLY RD
LINDEN, CA 95236","","","San Joaquin"
