"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"13 MILE CENTER","","","","50","Surface water purchased","
PO BOX 1569
WILLISTON, ND 58802","","","Williams"
"A-FRAME BAR & GRILL","","","","150","Ground water","71 TWIN OAK SHORE
BOTTINEAU, ND 58318","701-263-1462","","Bottineau"
"ABERCROMBIE CITY OF","","","","263","Ground water","212 3 AVE E
PO BOX 73
ABERCROMBIE, ND 58001-0073","701-553-8515","ABERCROMBIE","Richland"
"AGASSIZ WATER USERS DISTRICT","","","","3,438","Ground water","217 MAIN AVE
PO BOX 185
GILBY, ND 58235","701-869-2690","","Grand Forks"
"ALEXANDER CITY OF","","","","1,335","Ground water","
PO BOX 336
ALEXANDER, ND 58831","701-828-3461","ALEXANDER","McKenzie"
"ALL SEASONS WD-SYSTEM I","","","","890","Ground water","1066 HWY 5 NE
BOTTINEAU, ND 58318","701-228-3663","","Bottineau"
"ALL SEASONS WD-SYSTEM III","","","","790","Ground water purchased","1066 HWY 5 NE
BOTTINEAU, ND 58318","701-228-3663","","Bottineau"
"ALL SEASONS WD-SYSTEM IV","","","","670","Ground water","1066 HWY 5 NE
BOTTINEAU, ND 58318","701-228-3663","","Rolette"
"ALL SEASONS WD-SYSTEM V","","","","1,075","Ground water purchased","1066 HWY 5 NE
BOTTINEAU, ND 58318","701-228-3663","","Pierce"
"ALLSTATE PETERBILT","","","","70","Ground water","13579 58TH ST NW
WILLISTON, ND 58801","888-894-3511","","Williams"
"ALMONT CITY OF","","","","122","Surface water purchased","
PO BOX 73
ALMONT, ND 58520","701-843-7589","ALMONT","Morton"
"AMBROSE COMMUNITY WELL","","","","75","Ground water","
PO BOX 174
AMBROSE, ND 58833","701-982-3312","AMBROSE","Divide"
"AMENIA CITY OF","","","","94","Ground water purchased","203 ALLEY ST
AMENIA, ND 58004","701-347-5572","AMENIA","Cass"
"ANETA CITY OF","","","","222","Ground water purchased","
PO BOX 195
ANETA, ND 58212","701-326-4505","ANETA","Nelson"
"APPLE VALLEY COOP","","","","200","Purchased ground water under influence of surface water source","1624 HAROLDSON LANE
MENOKEN, ND 58558","701-222-2098","","Burleigh"
"ARGUSVILLE CITY OF","","","","475","Ground water purchased","602 LYNN DAWN DRIVE
ARGUSVILLE, ND 58005","701-484-5095","ARGUSVILLE","Cass"
"ARNEGARD CITY OF","","","","28","Surface water purchased","211 FRONTAGE ROAD
PO BOX 488
ARNEGARD, ND 58835","701-586-3453","","McKenzie"
"ARNEGARD CITY PARK","","","","25","Ground water","211 FRONTAGE ROAD
PO BOX 488
ARNEGARD, ND 58835","701-586-3453","ARNEGARD","McKenzie"
"ARNEGARD DIAMOND ESTATES","","","","32","Ground water","
PO BOX 2599
BISMARCK, ND 58502","701-223-4232","","McKenzie"
"ARTHUR CITY OF","","","","337","Ground water purchased","340 MAIN ST
PO BOX 161
ARTHUR, ND 58006","701-967-8327","ARTHUR","Cass"
"ARVILLA WATER USERS ASSOCIATION","","","","180","Ground water purchased","
PO BOX 1
ARVILLA, ND 58214","701-397-5810","ARVILLA","Grand Forks"
"ASHLEY CITY OF","","","","749","Ground water","113 1ST AVE NW
PO BOX 97
ASHLEY, ND 58413-0097","701-288-3096","ASHLEY","McIntosh"
"BADLANDS DEVELOPMENT LONG X TC","","","","52","Ground water","1801 3RD ST SE
WATFORD CITY, ND 58854","701-339-5364","","McKenzie"
"BARNES RURAL WATER DISTRICT","","","","4,938","Ground water","421 WEST MAIN ST
VALLEY CITY, ND 58072-3323","701-845-1117","VALLEY CITY","Barnes"
"BARNEY CITY OF","","","","52","Ground water purchased","7890 CO RD 3
BARNEY, ND 58008","701-439-2768","BARNEY","Richland"
"BEACH CITY OF","","","","1,019","Surface water purchased","153 EAST MAIN
PO BOX 278
BEACH, ND 58621","701-872-4103","BEACH","Golden Valley"
"BELFIELD CITY OF","","","","1,013","Surface water purchased","208 MAIN STREET NORTH
PO BOX 5
BELFIELD, ND 58622","701-575-4235","BELFIELD","Stark"
"BENEDICT CITY OF","","","","66","Ground water purchased","
PO Box 157
BENEDICT, ND 58716","","BENEDICT","McLean"
"BERLIN CITY OF","","","","34","Ground water purchased","202 2ND ST N
BERLIN, ND 58415","701-883-5797","BERLIN","LaMoure"
"BERTHOLD CITY OF","","","","454","Ground water purchased","223 MAIN ST N
PO BOX 126
BERTHOLD, ND 58718-0126","701-453-3641","BERTHOLD","Ward"
"BEULAH BAY REC AREA","","","","25","Ground water","1900 CENTRAL AVE N
BEULAH, ND 58523","701-873-5852","","Mercer"
"BEULAH BAY REC AREA #2","","","","100","Ground water","1900 CENTRAL AVE N
BEULAH, ND 58523","701-873-5852","","Mercer"
"BEULAH CITY OF","","","","3,304","Ground water","120 N CENTRAL
PO BOX 910
BEULAH, ND 58523","","BEULAH","Mercer"
"BIG COUNTRY RV PARK","","","","48","Ground water","13821 60TH ST NW
WILLISTON, ND 58801","","","Williams"
"BINFORD CITY OF","","","","183","Ground water purchased","
PO BOX 1
BINFORD, ND 58416","701-676-2507","BINFORD","Griggs"
"BIRCHWOOD INC","","","","70","Ground water","21 BIRCHWOOD HEIGHTS RD
BOTTINEAU, ND 58318","701-263-4283","","Bottineau"
"BISBEE CITY OF","","","","126","Ground water purchased","302 MAIN ST
PO BOX 188
BISBEE, ND 58317-0188","701-656-3382","BISBEE","Towner"
"BISMARCK CITY OF","","","","72,417","Groundwater under influence of surface water","601 S 26TH ST
PO BOX 5503
BISMARCK, ND 58506","701-355-1700","BISMARCK","Burleigh"
"BLUE SKY LODGING","","","","40","Ground water","12548 21ST ST NW
WATFORD CITY, ND 58854","701-339-2983","","McKenzie"
