"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"1ST BAPTIST CHURCH OF DEMOTTE","","","","51","Ground water","P.O. Box 523
DEMOTTE, IN 46310","219-869-0230","DEMOTTE","Jasper"
"1ST BAPTST CHURCH OF AMO","","","","35","Ground water","P.O. Box 146
AMO, IN 46103-0146","317-539-6920","AMO","Hendricks"
"200 EXPRESS","","","","154","Ground water","3861 North Bayview Road
ANGOLA, IN 46703-9029","260-833-7082","","Steuben"
"20TH CENTURY RESTAURANT","","","","115","Ground water","P.O. Box 375
MILFORD, IN 46542","574-831-4913","","Elkhart"
"29-MARAMART","","","","800","Ground water","P.O. Box 371
WALTON, IN 46994","574-626-2514","BURLINGTON","Carroll"
"31 MARA-MART, INC.","","","","25","Ground water","P.O. Box 371
WALTON, IN 46994","574-626-2514","BUNKER HILL","Miami"
"49ER DRIVE IN THEATRE","","","","659","Ground water","P.O. Box 1247
VALPARAISO, IN 46383","219-916-2286","VALPARAISO","Porter"
"5 & 20 COUNTRY RESTAURANT","","","","264","Ground water","P.O. Box 748
GOSHEN, IN 46527","574-536-5501","SHIPSHEWANA","LaGrange"
"6 & 15 CONVENIENCE STORE INC.","","","","100","Ground water","72025 State Road 15
NEW PARIS, IN 46553","574-658-4854","","Elkhart"
"6 AUTUMNS RESTAURANT","","","","120","Ground water","3855 North State Road 127
ANGOLA, IN 46703","260-665-9471","ANGOLA","Steuben"
"63 CAFE","","","","53","Ground water","8477 Greencastle Road
TERRE HAUTE, IN 47805","812-249-2377","TERRE HAUTE","Vigo"
"933 MARATHON","","","","154","Ground water","P.O. Box 476
BLUFFTON, IN 46714","260-760-1747","SOUTH BEND","St. Joseph"
"A & A SHEET METAL PRODUCTS","","","","90","Ground water","P.O. Box 1848
LAPORTE, IN 46352-1848","219-326-7890","LA PORTE","LaPorte"
"A.B. BROWN STATION - VECTREN","","","","129","Ground water","3104 East Cherry Street
EVANSVILLE, IN 47712","812-491-5504","MOUNT VERNON","Posey"
"ABERDEEN PATE WATER COMPANY, INC.","","","","4,688","Ground water","6124 Hartford Ridge Road
AURORA, IN 47001-9682","812-438-3428","AURORA","Ohio"
"ABUNDANT GRACE CHURCH","","","","30","Ground water","9005 West 500 South
HUDSON, IN 46747","260-336-4745","HOWE","LaGrange"
"ABUNDANT LIFE ASSEMBLY OF GOD","","","","70","Ground water","1502 Fisher Avenue, P.O. Box 782
WARSAW, IN 46581","574-269-1563","WARSAW","Kosciusko"
"ABUNDANT LIFE CHURCH","","","","871","Ground water","P.O. Box 99
OAKFORD, IN 46965","765-457-5880","KOKOMO","Howard"
"ACE HARDWARE OF NORTH WEBSTER","","","","100","Ground water","P.O. Box 275
NORTH WEBSTER, IN 46555","574-834-2021","NORTH WEBSTER","Kosciusko"
"ACE PEST CONTROL","","","","27","Ground water","P.O. Box 383
NORTH WEBSTER, IN 46555","574-834-2834","NORTH WEBSTER","Kosciusko"
"ACORN OAKS CAMPGROUND","","","","25","Ground water","16614 West State Road 114
FRANCESVILLE, IN 47946","219-567-2524","FRANCESVILLE","Pulaski"
"ACTON UNITED METHODIST","","","","175","Ground water","5650 Senour Road
INDIANAPOLIS, IN 46239","317-417-6512","INDIANAPOLIS","Marion"
"ADAMSVILLE ROAD CHURCH OF GOD","","","","154","Ground water","51287 County Road 7
ELKHART, IN 46514","574-264-7255","ELKHART","Elkhart"
"ADM GRAIN","","","","60","Ground water","2626 South 275 West
LOGANSPORT, IN 46947","574-753-0561","LOGANSPORT","Cass"
"ADMIRAL PETROLEUM COMPANY","","","","755","Ground water","6915 Hillsdale Court
INDIANAPOLIS, IN 46250","317-670-9738","SOUTH BEND","St. Joseph"
"ADVANCE COMMUNITY CHRISTIAN CHURCH","","","","175","Ground water","305 North Main, P.O. Box 6
ADVANCE, IN 46102","765-676-6500","ADVANCE","Boone"
"ADVANCE DENTAL","","","","40","Ground water","15601 State Road 23
GRANGER, IN 46530","574-271-9910","GRANGER","St. Joseph"
"ADVANCE WATER WORKS","","","","500","Ground water","112 North Main Street
ADVANCE, IN 46102","765-676-6611","ADVANCE","Boone"
"ADVANCED DISPOSAL SERV /HOOSIER LANDFILL","","","","31","Ground water","2710 East 800 South
CLAYPOOL, IN 46510","260-839-7810","CLAYPOOL","Kosciusko"
"ADVENTURE ENVIRONMENTAL LEARNING CENTER","","","","50","Ground water","4881 South Proctor Road
MUNCIE, IN 47302","765-212-9252","MUNCIE","Delaware"
"ADVENTURES IN MISSIONS (AIM)","","","","62","Ground water","3523 East Beech Wood Lake Road
BLOOMFIELD, IN 47424","812-825-7770","BLOOMFIELD","Greene"
"AGDIA, INC.","","","","60","Ground water","52642 County Road 1
ELKHART, IN 46514","574-264-2014","ELKHART","Elkhart"
"AGRELIANT GENETICS, LLC","","","","31","Ground water","4640 East State Road 32
LEBANON, IN 46052","317-413-0719","LEBANON","Boone"
"AI CAMPUS","","","","105","Ground water","4215 East Landry Lane
MARSHALL, IN 47859","847-675-5679","MARSHALL","Parke"
"AIR PRODUCTS & CHEMICALS, INC.","","","","27","Ground water","7201 Hamilton Boulevard
ALLENTOWN, PA 18195-1501","610-481-3354","BUTLER","DeKalb"
"AIRPORT RESTAURANT, INC.","","","","99","Ground water","10130 North State Road 37
ELWOOD, IN 46036","765-552-6400","ELWOOD","Madison"
"AJ TOBACCO INC, FOOD MART #4","","","","508","Ground water","895 State Road 39 East
MARTINSVILLE, IN 46151","765-342-7978","MARTINSVILLE","Morgan"
"AKRON WATER DEPARTMENT","","","","1,167","Ground water","206 West Rochester Street
AKRON, IN 46910","574-893-4123","AKRON","Fulton"
"ALBANY WATER DEPARTMENT","","","","2,165","Ground water","210 East State Street
ALBANY, IN 47320-1235","765-789-6112","ALBANY","Delaware"
"ALBION BOWL, INC.","","","","63","Ground water","2387 North 450 West
ALBION, IN 46701","260-636-7418","ALBION","Noble"
"ALBION WATER & SEWER","","","","2,349","Ground water","P.O. Box 27
ALBION, IN 46701-0027","260-636-2246","ALBION","Noble"
"ALCOA WARRICK OPERATIONS","","","","1,600","Ground water","P.O. Box 10
NEWBURGH, IN 47629-0010","812-853-4352","NEWBURGH","Warrick"
"ALEXANDERS LANDING, LLC","","","","25","Ground water","P.O. Box 3010
CARMEL, IN 46082","574-564-8339","MONTICELLO","White"
"ALEXANDRIA WATER DEPARTMENT","","","","5,087","Ground water","125 North Wayne Street
ALEXANDRIA, IN 46001","765-617-6227","ALEXANDRIA","Madison"
"ALFORDSVILLE WATER UTILITY","","","","510","Surface water purchased","P.O. Box 119
MONTGOMERY, IN 47558","812-644-6122","LOOGOOTEE","Daviess"
"ALL AMERICAN STORES #5, TINY TOWN MARKET","","","","218","Ground water","10723 Hoagland Road
HOAGLAND, IN 46745","260-579-3025","HOAGLAND","Allen"
"ALL AMERICAN STORES - LAOTTO","","","","404","Ground water","409 North Main Street
BLUFFTON, IN 46741","260-824-2220","LAOTTO (LA OTTO)","DeKalb"
"ALL SAINTS CATHOLIC CHURCH","","","","75","Ground water","201 West Eliza Street
SAN PIERRE, IN 46374","219-828-5356","SAN PIERRE","Starke"
"ALLEN COUNTY POLICE RESERVE CENTER","","","","50","Ground water","1001 West Till Road
FORT WAYNE, IN 46825","260-437-3673","FORT WAYNE","Allen"
"ALLOY CUSTOM PRODUCTS, LLC","","","","85","Ground water","9701 Old State Road 25 North
LAFAYETTE, IN 47905","765-564-1226","LAFAYETTE","Tippecanoe"
"ALPHA BUILDING CENTER","","","","53","Ground water","0855 North State Road 5
SHIPSHEWANA, IN 46565","260-768-4410","SHIPSHEWANA","LaGrange"
"ALVARADO AMISH SCHOOL","","","","40","Ground water","4290 South 850 East
HAMILTON, IN 46742","260-488-2560","","Steuben"
"AMAZING GRACE COMMUNITY CHURCH","","","","45","Ground water","945 South 950 W-92
PIERCETON, IN 46562","260-610-5650","SIDNEY","Kosciusko"
"AMBIA WATER DEPARTMENT","","","","250","Ground water","P.O. Box 218
AMBIA, IN 47917-0218","765-869-5652","AMBIA","Benton"
"AMERI-KART CORP.","","","","125","Ground water","P.O. Box 368
BRISTOL, IN 46507","574-848-7462","BRISTOL","Elkhart"
"AMERICAN ELECTRIC POWER - ROCKPORT PLANT","","","","740","Ground water","2791 North US Highway 231
ROCKPORT, IN 47635","812-649-6522","ROCKPORT","Spencer"
"AMERICAN ELECTRIC POWER-HONEY CREEK FARM","","","","49","Ground water","2791 North US Highway 231
ROCKPORT, IN 47635","812-649-6522","ROCKPORT","Spencer"
"AMERICAN EXPRESS PETROLEUM","","","","204","Ground water","2019 South US Highway 41
MOROCCO, IN 47963","219-669-7717","MOROCCO","Newton"
"AMERICAN INN","","","","37","Ground water","3980 North State Road 127
ANGOLA, IN 46703","260-665-5694","","Steuben"
"AMERICAN LEGION #381","","","","50","Ground water","P.O. Box 673
ROME CITY, IN 46784","260-854-2477","ROME CITY","Noble"
"AMERICAN LEGION #79","","","","112","Ground water","P.O. Box 332
ZIONSVILLE, IN 46077","317-873-3105","ZIONSVILLE","Boone"
"AMERICAN LEGION POST #10","","","","27","Ground water","1700 South Pennsylvania Avenue
MARION, IN 46953","765-662-1008","MARION","Grant"
"AMERICAN LEGION POST #261","","","","97","Ground water","P.O. Box 606
CEDAR LAKE, IN 46303","219-696-0455","CEDAR LAKE","Lake"
"AMERICAN LEGION POST #295","","","","120","Ground water","P.O. Box 72
UNION MILLS, IN 46382","219-767-3501","UNION MILLS","LaPorte"
"AMERICAN LEGION POST #400","","","","52","Ground water","302 Lakeside Drive
WALKERTON, IN 46574","219-369-1242","FISH LAKE","LaPorte"
"AMERICAN LEGION POST #502","","","","37","Ground water","429 West County Road 750 North
VALPARAISO, IN 46385","219-759-2121","VALPARAISO","Porter"
"AMERICAN LEGION POST #81","","","","50","Ground water","405 East Washington Street
MONTICELLO, IN 47960","574-583-5698","MONTICELLO","White"
"AMERICAN LEGION POST 118","","","","100","Ground water","846 South State Road 39
DANVILLE, IN 46122","317-745-4736","DANVILLE","Hendricks"
"AMERICAN LEGION POST 253","","","","68","Ground water","P.O. Box 131
NORTH WEBSTER, IN 46555","574-834-4297","NORTH WEBSTER","Kosciusko"
"AMERICAN LEGION POST 308","","","","53","Ground water","P.O. Box 36
OSCEOLA, IN 46561","574-674-6712","OSCEOLA","St. Joseph"
"AMERICAN LEGION POST 353","","","","25","Ground water","R.R. 1
FARMLAND, IN 47340","765-468-9944","FARMLAND","Randolph"
"AMERICAN LEGION POST 385","","","","31","Ground water","P.O. Box 150
LAPAZ, IN 46537","574-784-9938","LAPAZ","Marshall"
"AMERICAN LEGION-JENKINS POST 254","","","","190","Ground water","4131 North Silverdale Road
ROCKPORT, IN 47635","812-629-7082","ROCKPORT","Spencer"
"AMERICAN MILLWORK, LLC","","","","101","Ground water","4840 Beck Drive
ELKHART, IN 46516","574-295-4158","ELKHART","Elkhart"
"AMERICAN PETROLEUM INC DBA GALLOPS","","","","1,145","Ground water","50980 State Road 13
MIDDLEBURY, IN 46540","574-825-8929","GOSHEN","Elkhart"
"AMERICAN PETROLEUM, INC. (MARATHON)","","","","77","Ground water","50980 State Road 13 North
MIDDLEBURY, IN 46540","574-825-8929","MIDDLEBURY","Elkhart"
