"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"341 PLAZA SHOPPING CENTER X","","","","302","Ground water","300 SHIRLEY AVE
DOUGLAS, GA 31533","912-309-0340","BRUNSWICK","Glynn"
"50-50 FOODS, INC.","","","","175","Ground water","3621 SGODA RD
MACON, GA 31217","478-750-0602","DRY BRANCH","Twiggs"
"515 PROPERTIES, LLC","","","","67","Ground water","14244 Highway 515N
Suite 100
ELLIJAY, GA 30536","706-698-5433","BLAIRSVILLE","Gilmer"
"A B C MOBILE HOME PARK","","","","75","Ground water","PO Box 250
CORDELE, GA 31010-0250","229-273-0368","","Sumter"
"A BIG WHEEL RV PARK","","","","93","Ground water","6031 Charlie Smith Sr. Hwy
ST. MARYS, GA 31558","912-576-5386","","Camden"
"A&M PROPERTIES OF GEORGIA WATER SYSTEM","","","","95","Ground water","P.O. Box 137
JESUP, GA 31598","912-424-6422","","Wayne"
"AARON MOBILE HOME PARK","","","","112","Ground water","Post Office Box 216
ALLENHURST, GA 31301-0216","912-977-2881","","Long"
"ABBEVILLE","","","","2,960","Ground water","215 SOUTH DEPOT STREET
ABBEVILLE, GA 31001","229-467-3201","","Wilcox"
"ABRAHAM BALDWIN AGRI. COLLEGE","","","","4,000","Ground water","2802 Moore Hwy, ABAC 46
TIFTON, GA 31794","229-391-5180","TIFTON","Tift"
"ACADEMY ACRES SUBDIVISION","","","","325","Ground water","PO BOX 2771
VALDOSTA, GA 31604-2771","229-247-4461","VALDOSTA","Lowndes"
"ACE POLE COMPANY","","","","50","Ground water","POB 1323
WAYCROSS, GA 31502-1323","912-449-4011","BLACKSHEAR","Pierce"
"ADAIRSVILLE","","","","7,306","Groundwater under influence of surface water","116 PUBLIC SQUARE
ADAIRSVILLE, GA 30103","770-773-3451","ADAIRSVILLE","Bartow"
"ADEL","","","","5,252","Ground water","POB 1530
ADEL, GA 31620-1530","229-896-4504","ADEL","Cook"
"ADRIAN","","","","664","Ground water","POB 265
ADRIAN, GA 31002","478-668-3376","ADRIAN","Emanuel"
"AILEY","","","","530","Ground water","POB 9
AILEY, GA 30410-0009","912-583-2465","AILEY","Montgomery"
"AIRPORT OFFICES & INDUSTRIAL PARK","","","","32","Ground water","1 MEDICAL ARTS CENTER
SAVANNAH, GA 31405","912-354-2915","","Chatham"
"ALAMO","","","","3,650","Ground water","PO Box 646
5 West Main Street
ALAMO, GA 30411","912-568-7153","ALAMO","Wheeler"
"ALAPAHA","","","","702","Ground water","POB 385
ALAPAHA, GA 31622-0385","229-532-7475","ALAPAHA","Berrien"
"ALBANY","","","","87,261","Ground water","P.O. BOX 1788
ALBANY, GA 31702","229-883-8330","ALBANY","Dougherty"
"ALCOVY MOBILE HOME PARK","","","","130","Ground water","16478 BEACH BLVD #283
WESTMINISTER, CA 92683","909-362-4665","COVINGTON","Newton"
"ALCOVY SHORES WATER AUTHORITY","","","","715","Surface water purchased","484 BLUE HERON DRIVE
MONTICELLO, GA 31064","770-786-2542","","Jasper"
"ALEXANDER FARMS SUBDIVISION","","","","34","Ground water","911 Diamondback Trail
METTER, GA 30439","912-682-7513","","Bulloch"
"ALEXANDER LAKES SUBDIVISION","","","","153","Ground water","607 Old Phoenix Road
EATONTON, GA 31024","706-484-1922","","Putnam"
"ALLEN & AVNER RV PARK","","","","360","Ground water","6219 HWY 23 SOUTH
WAYNESBORO, GA 30830","706-554-3662","","Burke"
"ALLENTOWN","","","","160","Ground water","POB 34
ALLENTOWN, GA 31003-0034","478-962-0454","","Wilkinson"
"ALMA","","","","4,700","Ground water","P.O. Box 429
ALMA, GA 31510","912-632-5917","ALMA","Bacon"
"ALPHA & OMEGA MINISTRIES","","","","400","Ground water","4906 Pineland Drive
GARDEN CITY, GA 31405","912-604-6989","SAVANNAH","Chatham"
"ALPINE TERRACE/PRIMROSE SUBDIVISION","","","","88","Ground water","9607 DUNCAN BRIDGE RD.
CLEVELAND, GA 30528","706-348-6215","","White"
"ALPINE VALLEY COMPLEX","","","","50","Ground water","P.O. Box 85
HELEN, GA 30545","706-809-9393","HELEN","White"
"ALSTON","","","","159","Ground water","PO Box 40
ALSTON, GA 30412-0040","912-594-6132","ALSTON","Montgomery"
"ALTAMAHA ACRES","","","","192","Ground water","10 Bryce Industrial Dr
SAVANNAH, GA 31405","912-352-9339","","Wayne"
"ALTAMAHA ELEMENTARY SCHOOL","","","","420","Ground water","249 Blackshear Highway
BAXLEY, GA 31513","912-367-8600","BAXLEY","Appling"
"ALTAMAHA MOBILE HOME VILLAGE","","","","125","Ground water","5067 BLYTHE ISLAND HIGHWAY
BRUNSWICK, GA 31520","912-264-5341","BRUNSWICK","Glynn"
"ALTAMAHA PARK","","","","32","Ground water","101 Vernon Lewis Way
BRUNSWICK, GA 31525","912-265-3738","BRUNSWICK","Glynn"
