"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"AGATE WEST","","","","100","Ground water","PO Box 1085
Poulsbo, WA 98370","","","Kitsap"
"AGNEW MOBILE HOME PARK","","","","40","Ground water","PO Box 1989
Sequim, WA 98382","","","Clallam"
"AGOTARAS WATER SYSTEM","","","","138","Ground water","NORTHWEST REGION
PO BOX 336
GIG HARBOR, WA 98335-0336","","","Pierce"
"AHEARN WATER SYSTEM","","","","91","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"AIRPORT GROCERY","","","","105","Ground water","11900 HWY 101
SHELTON, WA 98584","","","Mason"
"AIRWAY HEIGHTS CITY OF","","","","6,992","Ground water","1208 S. Lundstrom St
Airway Heights, WA 99001","","","Spokane"
"ALAMO ORCHARD CO - PATEROS","","","","48","Ground water","40 Alamo Orchard Rd
Pateros, WA 98846","","","Okanogan"
"ALBION WATER DEPT","","","","555","Ground water","PO Box 38
Albion, WA 99102","","","Whitman"
"ALCOA","","","","475","Ground water","6200 Malaga-Alcoa Hwy
Malaga, WA 98828","","","Chelan"
"ALDER LAKE","","","","85","Ground water","7511 Greenwood Ave N, Unit #4011
Seattle, WA 98103-4627","","","Pierce"
"ALDER LAKE PARK WATER SYSTEM","","","","934","Ground water","46502 State Route 7 East
Eatonville, WA 98328","","","Pierce"
"ALDER STREET WATER SYSTEM","","","","61","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"ALDERBROOK PARK","","","","150","Ground water","24414 NE WESTERHOLM RD
BRUSH PRAIRIE, WA 98606","","","Clark"
"ALDERBROOK WATER CO","","","","1,802","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"ALDERDALE WATER ASSN","","","","162","Ground water","46 SONOVA RD
PROSSER, WA 99350","","","Klickitat"
"ALDERGROVE WATER ASSOC.","","","","120","Ground water","6951 Hannigan Rd. #2
Lynden, WA 98264","","","Whatcom"
"ALDERWOOD EAST","","","","38","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Clallam"
"ALDERWOOD ESTATES","","","","635","Ground water","14515 Pioneer Way E
Puyallup, WA 98372","","","Pierce"
"ALDERWOOD WATER DISTRICT","http://www.alderwoodwater.com/OurWater.ashx?p=1161","","","190,177","Surface water purchased","3626 156th St SW
Lynnwood, WA 98087","","","Snohomish"
"ALECK BAY PARK WATER SYSTEM","","","","40","Ground water","PO Box 683
Lopez Island, WA 98261-0683","","","San Juan"
"ALGER FOOD MART","","","","88","Ground water","218O OLD HWY 99 N RD
BURLINGTON, WA ","","","Skagit"
"ALGONA WATER DEPT","","","","3,180","Surface water purchased","200 WA Blvd
Algona, WA 98001","","","King"
"ALL SAINTS CAMP","","","","275","Ground water","PO Box 23307
Seattle, WA 98102","","","Pierce"
"ALLAN BROS WAREHOUSE","","","","1,000","Ground water","31 Allan Road
Naches, WA 98937","","","Yakima"
"ALLENDALE COMMUNITY WATER","","","","24","Ground water","11315 69th DR NE
Arlington, WA 98223","","","Snohomish"
"ALLENS MARKET","","","","42","Ground water","160 S Wapato Rd
Wapato, WA 98951","","","Yakima"
"ALLYN SHOP","","","","52","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"ALLYN SHOPPING CENTER","","","","397","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Mason"
"ALMIRA WATER SYSTEM","","","","422","Ground water","PO BOX 215
ALMIRA, WA 99103","","","Lincoln"
"ALOHA PINES ESTATES WATER SYSTEM","","","","125","Ground water","818 W Riverside Ste. 300
Spokane, WA 99201","","","Spokane"
"ALPENHORN CAFE","","","","301","Ground water","7750 S Lakeshore Rd #2
Chelan, WA 98816","","","Chelan"
"ALPHA MODULAR STRUCTURES","","","","60","Ground water","1162 NW State Ave
Chehalis, WA 98532","","","Lewis"
"ALPINE ACRES COMMUNITY ASSOCIATION","","","","51","Ground water","21000 Morgan St
Leavenworth, WA 98826","","","Chelan"
"ALPINE HILLS","","","","365","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Thurston"
"ALPINE MOBILE ESTATES","","","","71","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"ALPINE MOBILE MANOR","","","","43","Ground water","28641 SE 225th St
Maple Valley, WA 98038-6920","","","King"
"ALPINE RV/MH PARK","","","","10","Ground water","PO Box 344
Marblemount, WA 98267","","","Skagit"
"ALPINE VIEW RV PARK","","","","11","Ground water","9825 Duncan Rd
Leavenworth, WA 98826","","","Chelan"
"ALPINE VILLAGE PROPERTY OWNERS","","","","24","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"ALPINE WATER ASSOCIATION","","","","52","Ground water purchased","PO Box 1027
Falls City, WA 98024","","","King"
"ALPINE WATER DISTRICT","","","","2,255","Ground water","22515 MEADOW CR RD
LEAVENWORTH, WA 98826","","","Chelan"
"ALPOWA SUMMIT REST AREA","","","","801","Ground water","1501 Bridge St.
Clarkston, WA 99403","","","Garfield"
"ALPS MOBILE HOME PARK","","","","150","Ground water","1302 S. 1st Ave.
Yakima, WA 98902","","","Yakima"
"ALS BEEF SHOP","","","","29","Ground water","PO Box 989
Centralia, WA 98531","","","Thurston"
"ALS GROCERY","","","","36","Ground water","PO Box 123
Port Orchard, WA 98366","","","Kitsap"
"ALTA CRYSTAL RESORT","","","","72","Ground water","68317 SR 410 E
Enumclaw, WA 98022","","","Pierce"
"ALTA DRIVE","","","","25","Ground water","PO Box 2026
Belfair, WA 98528-2026","","","Mason"
"ALTA LAKE GOLF COURSE PLAT","","","","131","Ground water","140 Alta Lake Rd
Pateros, WA 98846","","","Okanogan"
"ALTA LAKE STATE PARK","","","","1,073","Ground water","1B Otto Rd
Pateros, WA 98846","","","Okanogan"
"ALTA VISTA #11","","","","28","Ground water","1162 NW State Ave
Chehalis, WA 98532","","","Lewis"
"ALVERSON TRACT OWNERS ASSN","","","","17","Ground water","5293 Guemes Island Rd
Anacortes, WA 98221","","","Skagit"
"AMBOY CLARK PUBLIC UTILITIES","","","","991","Ground water","PO Box 8900
Vancouver, WA 98668","","","Clark"
"AMERICAN CAMP","","","","186","Ground water","PO Box 429
Friday Harbor, WA 98250","","","San Juan"
"AMERICAN HERITAGE CAMPGROUNDS","","","","135","Ground water","9610 KIMMIE ST SW
OLYMPIA, WA 98512","","","Thurston"
"AMERICAN LEGION","","","","40","Ground water","1120 N 34th Ave
Yakima, WA 98902","","","Yakima"
"AMES LAKE WATER ASSOC INC","","","","3,215","Ground water","27905 NE 33rd St
Redmond, WA 98024","","","King"
"AMG ALUMINUM NORTH AMERICA","","","","50","Ground water","4400 Kawecki Rd
Malaga, WA 98828","","","Chelan"
"AMT - Mattawa Ranch","","","","95","Ground water","3107 River Road
Yakima, WA 98902","","","Grant"
"ANACORTES CITY OF","","","","21,105","Surface water","14489 Riverbend Rd
Mount Vernon, WA 98273","","","Skagit"
"ANDERSEN DAIRY INC","","","","64","Ground water","PO BOX 310
BATTLE GROUND, WA 98604","","","Clark"
"ANDERSENS RV PARK","","","","1","Ground water","1400 138th St.
Long Beach, WA 98631","","","Pacific"
"ANDERSON CREEK WATER ASSOCIATION","","","","45","Ground water","5800 Salakanum Way
Bellingham, WA 98226","","","Whatcom"
"ANDERSON HAY & GRAIN CO","","","","130","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Kittitas"
"ANDERSON IS. FERRY LANDING","","","","39","Ground water","Rick Russom, PE-Bridge Section
2702 S 42nd St  STE 201
TACOMA, WA 98409","","","Pierce"
"ANDERSON ISLAND COMMUNITY CLUB","","","","43","Ground water","11319 YOMAN RD
Anderson Island, WA 98303","","","Pierce"
"ANDERSON ISLAND WATER SYSTEM","","","","15","Ground water","PO Box 88591
Steilacoom, WA 98388","","","Pierce"
"ANDERSON STORE","","","","39","Ground water","13315 Goodnough Dr NW
Gig Harbor, WA 98332-8640","","","Pierce"
"ANDREWS FIRST","","","","300","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Thurston"
"ANDY CREEK CABIN ASSOCIATION","","","","129","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"APPLE ACRES VILLAGE","","","","212","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Chelan"
"APPLE KING LLC","","","","100","Ground water","1302 S. 1st Ave.
Yakima, WA 98902","","","Yakima"
"APPLEWAY TRAILER COURT","","","","54","Ground water","PO Box 12
Tonasket, WA 98855","","","Okanogan"
"AQUA COPIA/HORSE COUNTRY ESTATES","","","","250","Ground water","19412 78TH SE
SNOHOMISH, WA 98290","","","Snohomish"
"ARCADIA COMMUNITY WATER","","","","20","Ground water","PO Box 1202
Freeland, WA 98249","","","Island"
"ARCADIA ESTATES","","","","108","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"ARCO AM/PM (FAC 5840)","","","","29","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Whatcom"
"ARDEN 1 STOP","","","","206","Ground water","545 B Hwy 395 S
Colville, WA 99114","","","Stevens"
"ARDEN HILLS WATER SYSTEM","","","","80","Ground water","730 Arden Butte Road
Colville, WA 99114","","","Stevens"
"ARLENES ADDITION","","","","480","Ground water","121 Ryan Ave
Burbank, WA 99323","","","Walla Walla"
"ARLINGTON EAST MUTUAL WATER ASSN.","","","","100","Ground water","22628 121ST DR NE
ARLINGTON, WA 98223","","","Snohomish"
"ARLINGTON FUEL STOP INC","","","","34","Ground water","1801 Pioneer Hwy E
Arlington, WA 98223","","","Snohomish"
"ARLINGTON HEIGHTS WATER CO INC","","","","45","Ground water","9923 Arlington Heights Road
Arlington, WA 98223","","","Snohomish"
"ARLINGTON LDS CHURCH","","","","299","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Snohomish"
"ARLINGTON TERRACE","","","","104","Ground water","PO Box 123
Port Orchard, WA 98366","","","Snohomish"
"ARLINGTON VIEW ESTATES WATER ASSOC","","","","74","Ground water","12808 234th St NE
Arlington, WA 98223-8532","","","Snohomish"
"ARLINGTON WATER DEPT","","","","18,952","Surface water purchased","108 W Haller
Arlington, WA 98223","","","Snohomish"
"AROMATICS","","","","25","Ground water","PO Box 2061
Moses Lake, WA 98837","","","Franklin"
"ARROW LUMBER & HARDWARE","","","","58","Ground water","PO Box 123
Port Orchard, WA 98366","","","Lewis"
"ARROWHEAD BEACH COOP WATER ASSOC","","","","188","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Island"
"ARTESIAN WATER DISTRICT 8","","","","302","Ground water","PO Box 324
College Place, WA 99324","","","Walla Walla"
"ARTIC TAVERN AND RV PARK","","","","58","Ground water","893 US Highway 101
Cosmopolis, WA 98537","","","Grays Harbor"
"ARTONDALE WATER SYSTEM","","","","5,238","Ground water","PO Box 44168
Tacoma, WA 98448","","","Pierce"
"ASHFORD WATER DISTRICT","","","","947","Ground water","PO Box C
Ashford, WA 98304","","","Pierce"
"ASHLEY LANE","","","","34","Ground water","PO Box 1989
Poulsbo, WA 98370","","","Kitsap"
"ASOTIN WATER DEPT","","","","2,461","Ground water","PO Box 517
Asotin, WA 99402","","","Asotin"
"ASPEN REFLECTIONS LANDING WATER","","","","48","Ground water","PO Box 1138
Hayden, ID 83835","","","Pend Oreille"
"ASPINWALL ESTATES","","","","93","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Thurston"
"ASTON ESTATES","","","","141","Ground water","526 Ironwood St
Omak, WA 98841","","","Okanogan"
"ATM George Farmworker Housing","","","","54","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"AUST 210","","","","35","Ground water","1230 Ruddell Rd. SE.
Lacey, WA 98503","","","Lewis"
"AVALON LINKS GOLF CLUB","","","","266","Ground water","19345 KELLEHER RD
BURLINGTON, WA 98233","","","Skagit"
"AVELLANA WATER","","","","100","Ground water","PO Box 1989
Poulsbo, WA 98370","","","Kitsap"
"AVIATOR RIDGE FARMWORKER HOUSING","","","","25","Ground water","PO Box 259
Wenatchee, WA 98807","","","Grant"
"AWAD #51","","","","25","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"AYOCK BEACH IMPROVEMENT","","","","129","Ground water","PO Box 2026
Shelton, WA 98584-5034","","","Mason"
"AZWELL ORCHARDS","","","","180","Ground water","423 Azwell Rd
Pateros, WA 98846","","","Chelan"
"Admirals Cove Water District","","","","820","Ground water","PO Box 1202
Freeland, WA 98249","","","Island"
"Agrex Water System","","","","25","Ground water","3031 Road E NW
Ephrata, WA 98823","","","Grant"
"Agrium US Inc - Kennewick Area","","","","80","Ground water","227515 E BOWLES RD
KENNEWICK, WA 99337-8673","","","Benton"
"Alexanders Lodge","","","","105","Ground water","17449 NE 28th Street
Redmond, WA 98052","","","Pierce"
"Alpine Glades Water System","","","","27","Ground water","1950 W Bellerive Ln #109
Coeur d'Alene, ID 83814","","","Stevens"
"Alpine Lakes Lodge","","","","9","Ground water","14054 Edgewater Ln NE
Seattle, WA 98125","","","Kittitas"
"Alta Forest Products","","","","25","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"Andersen Water","","","","95","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"Andrus Water System","","","","25","Ground water","PO Box 19168
Spokane, WA 99219","","","Spokane"
"Annas Mini Mart","","","","40","Ground water","100401 W Ole Hwy
Prosser, WA 99350","","","Benton"
"Apple Farmer Farmworker Housing","","","","46","Ground water","14730 Road 10.5 SW
Royal City, WA 99357","","","Grant"
"Arrow Ridge Farmworker Housing","","","","25","Ground water","PO Box 2837
Wenatchee, WA 98807","","","Franklin"
"Arrow Ridge Water System","","","","51","Ground water","PO Box 2837
Wenatchee, WA 98807","","","Franklin"
"Arrowhead Ranch","","","","128","Ground water","610-E Jack Wells Road
Bridgeport, WA 98813","","","Okanogan"
"Asahel Curtis Picnic Ground East","","","","25","Ground water","2930 Wetmore Ave Suite 3A
Everett, WA 98201","","","King"
"Asahel Curtis Picnic Ground West","","","","80","Ground water","2930 Wetmore Ave Suite 3A
Everett, WA 98201","","","King"
"Auburn City of","http://weblink.auburnwa.gov/Weblink8/ElectronicFile.aspx?docid=182872&dbid=0","http://www.auburnwa.gov/community/utilities/water_division.asp","","58,864","Ground water","25 W Main
Auburn, WA 98001","","","King"
"Auburn Park Community LLC","","","","202","Ground water","PO Box 44045
Tacoma, WA 98444","","","King"
"B Z CORNERS WATER CO","","","","100","Ground water","1255 Highway 141
White Salmon, WA 98672","","","Klickitat"
"BABY ISLAND HEIGHTS WATER ASSOC","","","","233","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"BACCHUS","","","","78","Ground water","PO BOX 416
QUILCENE, WA 98376","","","Jefferson"
"BACKWOODS STORE","","","","103","Ground water","17313 E. BLANCHARD RD
ELK, WA 990098675","","","Spokane"
"BACUS ROAD #1","","","","58","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Skagit"
"BADGER CANYON WATER ASSN","","","","40","Ground water","195004 East 27th Ave
Kennewick, WA 99337","","","Benton"
"BADGER LAKE ESTATES LLC","","","","56","Ground water","585 Bethel Ave Ste 202
Port Orchard, WA 98366","","","Spokane"
"BADGER MOUNTAIN IRRIGATION DISTRICT","","","","2,200","Surface water purchased","87525 E Reata Road
Kennewick, WA 99338","","","Benton"
"BAILEYS FEED STORE","","","","32","Ground water","1900 GODDARD RD
TENINO, WA 98589","","","Thurston"
"BAINBRIDGE ISLAND CITY OF","","","","11,772","Ground water","7305 Hidden Cove Rd
Bainbridge Island, WA 98110","","","Kitsap"
"BAINBRIDGE ISLAND PUB WRKS","","","","36","Ground water","7305 Hidden Cove Rd
Bainbridge Island, WA 98110","","","Kitsap"
"BAKER LAKE TRAVEL CENTER","","","","36","Ground water","46451 Baker Loop Rd
Concrete, WA 98237-9558","","","Skagit"
"BAKER VIEW WATER ASSOC","","","","40","Ground water","6912 Hannegan Rd, Suite 105
Lynden, WA 98264","","","Whatcom"
"BAKERS POND WATER USERS CORP","","","","12","Ground water","PO Box 713
Pomeroy, WA 99347","","","Garfield"
"BAKERVIEW TERRACE COMM CLUB","","","","34","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Island"
"BALD POINT AIRIES","","","","13","Ground water","18511 NE NORTHSHORE RD
TAHUYA, WA 98588","","","Mason"
"BALLARD RESORT","","","","33","Ground water","1042 Skyline Dr
Moses Lake, WA 98837","","","Grant"
"BANKS LAKE GOLF COURSE","","","","67","Ground water","PO Box 616
Grand Coulee, WA 99133","","","Grant"
"BAR 80 RANCHETTES","","","","32","Ground water","63605 E 99 PR SE
BENTON CITY, WA 99320-8534","","","Benton"
"BAR B ESTATE MANOR","","","","96","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Mason"
"BARNARD GRIFFIN WINERY","","","","28","Ground water","878 Tulip Ln
Richland, WA 99352","","","Benton"
"BARNETT IMPLEMENT","","","","43","Ground water","127 N HAMILTON RD
CHEHALIS, WA 98532","","","Lewis"
"BARRIER DAM CAMPGROUND","","","","28","Ground water","273 FULLER RD
SALKUM, WA 98582","","","Lewis"
"BASIC AMERICAN FOODS","","","","100","Ground water","2210 Road Q SE
Moses Lake, WA 98837","","","Grant"
"BASIN VIEW WATER ASSOCIATION","","","","60","Ground water","813 S. Meadowlark Ln
Othello, WA 99344","","","Adams"
"BASIN WATER SOURCES INC","","","","1,194","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"BATTELLE NORTHWEST MARINE LAB","","","","91","Ground water","1529 W SEQUIM BAY RD
SEQUIM, WA 98382","","","Clallam"
"BATTLE CREEK GOLF COURSE","","","","75","Ground water","6006 Meridian Ave N
Marysville, WA 98271","","","Snohomish"
"BATTLE GROUND HIGH AND LEWISVILLE E","","","","2,835","Ground water","PO BOX 200
BATTLE GROUND, WA 986040200","","","Clark"
"BATTLE GROUND STATE PARK","","","","1,290","Ground water","18002 NE. 249th St.
Battle Ground, WA 98604","","","Clark"
"BATTLE GROUND WATER DEPT CITY OF","","","","28,864","Ground water","1308 SE Grace Ave
Battle Ground, WA 98604","","","Clark"
"BATTLE POINT PARK","","","","512","Ground water","7666 High School Road
Bainbridge Island, WA 98110","","","Kitsap"
"BAUERS LANDING LODGE","","","","291","Ground water","329 Pine View Drive
Orondo, WA 98843","","","Douglas"
"BAVARIAN RETREAT HOA","","","","28","Ground water","PO Box 305
Ashford, WA 98304","","","Lewis"
"BAY CENTER","","","","424","Ground water","PO Box 472
Raymond, WA 98577","","","Pacific"
"BAY EAST","","","","94","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"BAY LIGHT","","","","100","Ground water","2877 SPRING LANE
CLINTON, WA 98236","","","Island"
"BAYSHORE","","","","130","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"BAYSHORE RV PARK","","","","17","Ground water","2941 KINDER AVE
TOKELAND, WA 98590","","","Pacific"
"BAYSHORE TERRACE WATER SYSTEM","","","","56","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"BAYVIEW BEACH WATER DISTRICT","","","","1,035","Ground water","PO Box 1202
Freeland, WA 98249","","","Island"
"BAYVIEW ESTATES WATER COMPANY","","","","227","Ground water","70 NE Midway Blvd
Oak Harbor, WA 98277","","","Island"
"BAYVIEW MEADOWS WATER SYSTEM","","","","31","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"BAYVIEW SCHOOL","","","","75","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"BAYWOOD VILLAGE MOBILE HOME PARK","","","","90","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Clallam"
"BC WATER CO","","","","1,235","Ground water","22307 South Cottonwood Dr
Kennewick, WA 99338","","","Benton"
"BCT INC","","","","58","Ground water","31572 Hwy 12
Wallula, WA 99363","","","Walla Walla"
"BEACH CLUB HOUSE CANAL LANE","","","","33","Ground water","PO Box 703
Brinnon, WA 98320","","","Jefferson"
"BEACH HAVEN RESORT","","","","12","Ground water purchased","684 BEACH HAVEN RD
EAST SOUND, WA 98245","","","San Juan"
"BEACHCOMBER H2O CO","","","","286","Ground water","PO Box 549
Freeland, WA 98249","","","Island"
"BEACHWOOD WATER COMPANY","","","","90","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"BEACON HILL WATER & SEWER DISTRICT","","","","11,537","Ground water purchased","1121 West Side Hwy.
Kelso, WA 98626","","","Cowlitz"
"BEACON POINT COMMUNITY CLUB","","","","158","Ground water","PO Box 2026
Shelton, WA 98584","","","Mason"
"BEACON ROCK STATE PARK 1","","","","1,375","Ground water","18002 NE. 249th St.
Battle Ground, WA 98604","","","Skamania"
"BEACON ROCK STATE PARK BOAT LAUNCH","","","","549","Ground water","18002 NE. 249th St.
Battle Ground, WA 98604","","","Skamania"
"BEACON ROCK STATE PARK GP CG","","","","200","Ground water","18002 NE. 249th St.
Battle Ground, WA 98604","","","Skamania"
"BEACON ROCK TRAILER & RV PARK","","","","49","Ground water","Washington State Parks and Recreation
PO BOX 42650
Olympia, WA 98504-2650","","","Skamania"
"BEAMERS LANDING","","","","31","Ground water","1345 Port Drive
Clarkston, WA 99403","","","Asotin"
"BEAR CREEK GOLF COURSE","","","","68","Ground water","19 Bear Creek Golf Course Rd
Winthrop, WA 98862","","","Okanogan"
"BEAR CREEK LODGE","","","","100","Ground water","24817 N Mt Spokane Park Dr
Mead, WA 99021","","","Spokane"
"BEAR CREEK STORE","","","","32","Ground water","3530 NE OLD BELFAIR HWY
BELFAIR, WA 98528","","","Mason"
"BEAR CUB","","","","155","Ground water","PO Box 123
Port Orchard, WA 98366","","","Kitsap"
"BEAR PAW CAMP","","","","62","Ground water","Tempest Ministries
915 W 2nd Ave #3
Spokane, WA 99201","","","Pend Oreille"
"BEARDS COVE","","","","1,100","Ground water","100 W Public Works Dr
Shelton, WA 98584","","","Mason"
"BEAU VIEW WATER","","","","30","Ground water","814 18TH ST SW
Puyallup, WA 98371","","","Pierce"
"BEAUX ARTS WATER DEPARTMENT","","","","335","Ground water","10530 SE 27TH
BEAUX ARTS, WA 98004","","","King"
"BEAVER","","","","265","Ground water","PO BOX 95
BEAVER, WA 98305","","","Clallam"
"BEAVER BAY CAMPGROUND","","","","387","Ground water","105 MERWIN VILLAGE CT
ARIEL, WA 98603-9727","","","Cowlitz"
"BEAVER CAMPGROUND","","","","57","Ground water","2455 Highway 141
Trout Lake, WA 98650","","","Skamania"
"BEAVER LODGE","","","","38","Ground water","2340 Highway 20 E
Colville, WA 99114","","","Stevens"
"BEAVER VALLEY GENERAL STORE","","","","335","Ground water","2593 Beaver Valley Rd.
Port Ludlow, WA 98365","","","Jefferson"
"BEAVER VALLEY SCHOOL","","","","26","Ground water","102 Miner Ct
Cashmere, WA 98815","","","Chelan"
"BECKLER RIVER CAMPGROUND","","","","64","Ground water","PO Box 305
Skykomish, WA 98288","","","King"
"BEL AIRE COVE","","","","32","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"BELFAIR STATE PARK","","","","2,411","Ground water","PO BOX 2787
BELFAIR, WA 98528","","","Mason"
"BELFAIR WATER DISTRICT 1","","","","3,155","Ground water","PO BOX 563
BELFAIR, WA 98528","","","Mason"
"BELFERN WATER ASSOCIATION","","","","228","Ground water","PO Box 502
Ferndale, WA 98248","","","Whatcom"
"BELFERN WEST","","","","60","Ground water","5437 Bell West Dr.
Bellingham, WA 98226","","","Whatcom"
"BELL BAY JACKSON WATER ASSOCIATION","","","","350","Ground water purchased","7232 W 40th Dr
Ferndale, WA 98248","","","Whatcom"
"BELL WOODS","","","","30","Ground water","PO Box 123
Port Orchard, WA 98366","","","Clallam"
"BELLEVUE CITY OF","http://www.ci.bellevue.wa.us/water_quality.htm","","","261,506","Surface water purchased","PO Box 90012
Bellevue, WA 98009-9012","","","King"
"BELLINGHAM-WATER DIVISION CITY OF","https://www.cob.org/services/environment/lake-whatcom/pages/water-quality.aspx","https://www.cob.org/services/utilities/","Bellingham, City of Bellingham, Lake Whatcom","90,000","Surface water","2221 Pacific St.
Bellingham, WA 98229","","","Whatcom"
"BELLWOOD A","","","","163","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"BELWOOD PARK","","","","67","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Thurston"
"BENNINGTON LAKE","","","","150","Ground water","3211 Reservoir Rd
Walla Walla, WA 99362","","","Walla Walla"
"BENTON CITY WATER","","","","5,105","Ground water","PO Box 70
Benton City, WA 99320","","","Benton"
"BENTON COUNTY TWO RIVERS PARK","","","","474","Ground water","173801 W. Buena Vista Rd
Prosser, WA 99350","","","Benton"
"BERTHUSEN ROAD WATER ASSOCIATION","","","","409","Surface water purchased","PO BOX 224
LYNDEN, WA 98264","","","Whatcom"
