"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ADAIRVILLE WATER WORKS","","","","787","Surface water purchased","PO BOX 185
ADAIRVILLE, KY 42202","270-539-6731","","Logan"
"ALBANY WATER WORKS","","","","14,702","Surface water","PO BOX 129
ALBANY, KY 42602","606-387-5854","","Clinton"
"ALLEN COUNTY WATER DISTRICT","","","","14,999","Surface water purchased","PO BOX 58
SCOTTSVILLE, KY 42164","270-622-3040","","Allen"
"ARLIE BOGG ELEMENTARY SCHOOL","","","","200","Ground water","224 PARKS ST
WHITESBURG, KY 41858","606-633-5723","","Letcher"
"ARLINGHAUS PROPERTY","","","","49","Ground water","4550 ELDERBERRY RD
BURLINGTON, KY 41005","859-586-4429","","Boone"
"ARLINGTON WATER DEPARTMENT","","","","588","Ground water","PO BOX 399
ARLINGTON, KY 42021","270-655-2261","","Carlisle"
"ASHLAND WATER WORKS","","","","44,402","Surface water","4040 WINCHESTER AVE.
ASHLAND, KY 41101","606-327-2058","","Boyd"
"AUBURN MUN WATER WORKS","","","","1,931","Surface water purchased","PO BOX 465
AUBURN, KY 42206","270-542-4475","","Logan"
"AUGUSTA REGIONAL WTP","","","","1,690","Ground water","PO BOX 85
AUGUSTA, KY 41002","606-756-3305","","Bracken"
"BARBOURVILLE UTILITIES","","","","16,420","Surface water","PO BOX 1600
BARBOURVILLE, KY 40906","606-546-3189","","Knox"
"BARDSTOWN MUNICIPAL WATER DEPT","","","","31,185","Surface water","220 N FIFTH ST
BARDSTOWN, KY 40004","502-348-3064","","Nelson"
"BARDWELL CITY UTILITIES","","","","1,227","Ground water","PO BOX 639
BARDWELL, KY 42023","270-628-3833","","Carlisle"
"BARKLEY LAKE WATER DISTRICT","","","","14,284","Surface water","PO BOX 308
CADIZ, KY 42211","270-522-8425","","Trigg"
"BARLOW WATER SYSTEM","","","","1,040","Ground water","PO BOX 189
BARLOW, KY 42024","270-334-3500","","Ballard"
"BATH COUNTY WATER DISTRICT","","","","8,955","Surface water purchased","PO BOX 369
SALT LICK, KY 40371","606-683-6363","","Bath"
"BEATTYVILLE WATER WORKS","","","","8,428","Surface water","PO BOX 307
BEATTYVILLE, KY 41311","606-464-1000","","Lee"
"BEAVER DAM MUNICIPAL WATER & SEWER","","","","3,901","Ground water","PO BOX 408
BEAVER DAM, KY 42320","270-274-7106","","Ohio"
"BEECH FORK WATER COMMISSION","","","","25","Surface water","1900 POMPEII RD
CLAY CITY, KY 40312","606-663-4312","","Powell"
"BEECH GROVE WATER SYSTEM","","","","1,461","Surface water purchased","445 HWY 56 NORTH
CALHOUN, KY 42327","270-273-5738","","McLean"
"BELL COUNTY FORESTRY CAMP","","","","275","Surface water","560 CORRECTIONAL DR
PINEVILLE, KY 40977","606-337-7065","","Bell"
"BENHAM WATER PLANT","","","","855","Surface water","PO BOX E
BENHAM, KY 40807","606-848-2914","","Harlan"
"BENTON WATER & SEWER","","","","7,981","Ground water","1009 MAIN ST
BENTON, KY 42025","270-527-8677","","Marshall"
"BEREA MUNICIPAL UTILITIES","","","","9,972","Surface water","PO BOX 926
BEREA, KY 40403","859-986-4391","","Madison"
"BIG SANDY WATER DISTRICT","","","","13,044","Surface water purchased","18200 STATE RTE 3
CATLETTSBURG, KY 41129","606-928-2075","","Boyd"
"BIRKLE WATER SUPPLY","","","","25","Ground water","PO BOX 6
PETERSBURG, KY 41080","859-586-5911","","Boone"
