"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"29 PALMS TRAILER PARK","","","","25","Ground water","MARY JENKINS/ 29 PALMS
59540 KEATON RD.
ANGIE, LA 70426","985-515-6389","","Washington Parish"
"A TO Z DAYCARE CENTER","","","","40","Ground water","A TO Z DAYCARE CENTER
31015 HIGHWAY 190
LACOMBE, LA 70445","985-882-2209","","St. Tammany Parish"
"ABITA PETRO PLUS","","","","50","Ground water","
22697 HIGHWAY 435
ABITA SPRINGS, LA 70420","985-892-7487","","St. Tammany Parish"
"ABITA RV PARK","","","","279","Ground water","ABITA RV PARK
1001 WALNUT STREET
TEXARKANA, TX 75501","985-590-3922","","St. Tammany Parish"
"ABITA SPRINGS GOLF CLUB W S","","","","50","Ground water","ABITA SPRINGS GOLF & CC, LLC
10110 PECUE LANE
BATON ROUGE, LA 70810","985-893-2463","","St. Tammany Parish"
"ABITA SPRINGS WATER SYSTEM","","","","3,693","Ground water","MAYOR DAN CURTIS
22161 LEVEL STREET
ABITA SPRINGS, LA 70420","985-892-0711","","St. Tammany Parish"
"ACADIAN HEALTH SERVICE WATER SYSTEM","","","","25","Ground water","Acadian Health Services
6011 Ambassador Caffery Parkway
YOUNGSVILLE, LA 70592","","","Lafayette Parish"
"ACADIANA GYMNASTICS WATER SYSTEM","","","","25","Ground water","Acadiana Gymnastics Water System
P.O. Box 60085
LAFAYETTE, LA 70506","337-988-3547","","Lafayette Parish"
"AIR LIQUIDE GEISMAR UTILITY SERVICES","","","","500","Ground water","Air Liquide Geismar Utility Services
PO Box 488
GEISMAR, LA 70734","225-744-1605","","Ascension Parish"
"AJAX BEULAH WATER SYSTEM","","","","453","Ground water","AJAX BEULAH WATER SYSTEM
2251 HIGHWAY 487
MARTHAVILLE, LA 71450","318-472-0700","","Natchitoches Parish"
"AJAX COUNTRY LIVIN RV PARK WS","","","","88","Ground water","AJAX COUNTRY LIVIN R.V. PARK
1115 HIGHWAY 174
MARTHAVILLE, LA 71450","318-796-2543","","Natchitoches Parish"
"ALABAMA WATER SYSTEM","","","","825","Ground water","ALABAMA WATER SYSTEM
596 Nicholson Road
ARCADIA, LA 71001","318-263-2383","","Bienville Parish"
"ALBERTA WATER SYSTEM","","","","1,860","Ground water","ALBERTA WATER SYSTEM
P.O. BOX 145
CASTOR, LA 71016-0145","318-464-5620","","Bienville Parish"
"ALEXANDER MILNE HOME FOR WOMEN","","","","42","Ground water","Milne Developmental Services
1065 Milne Circle
COVINGTON, LA 70435","985-327-6550","","St. Tammany Parish"
"ALICE RESTAURANT","","","","40","Ground water","Felix Ordone and Stan Ordone
P O BOX 1428
LACOMBE, LA 70445","985-882-3307","","St. Tammany Parish"
"ALLEN PARISH WW DISTRICT NO 1","","","","1,221","Ground water","ALLEN PARISH WATER DISTRICT #1
P. O. BOX 25
OAKDALE, LA 71463","318-335-9800","","Allen Parish"
