"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"""2MAC, LLC BUILDING""","","","","75","Ground water","PO BOX 975
CASHIERS, NC 28717","","CASHIERS","Jackson"
"115 GAS AND GRILL","","","","25","Ground water","1208 UNION CHURCH RD
HAMPTONVILLE, NC 27020","704-592-5420","UNION GROVE","Wilkes"
"1ST T OF THE TRIANGLE","","","","25","Ground water","12201 LEESVILLE RD
RALEIGH, NC 27613","919-848-0231","RALEIGH","Wake"
"210 MINI MART","","","","50","Ground water","5205 NC HWY 210 S.
STEDMAN, NC 28391","910-484-5972","FAYETTEVILLE","Cumberland"
"24 FIT","","","","50","Ground water","2217 LOBLOLLY CT
WILMINGTON, NC 28411","910-473-1900","WILMINGTON","New Hanover"
"2975 PARTNERS, LLC","","","","25","Ground water","1051 MILITARY CUTOFF RD
STE 200
WILMINGTON, NC 28405","910-332-1640","LELAND","Brunswick"
"3 POINTS GROCERY & GRILL","","","","25","Ground water","11126 NC HWY 62 SOUTH
BURLINGTON, NC 27217","","BURLINGTON","Caswell"
"3 POINTS GROCERY & GRILL  NO 2","","","","25","Ground water","15645 HWY 86 SOUTH
PROSPECT HILL, NC 28134","336-562-3000","PROSPECT HILL","Caswell"
"3 SISTERS CAFE","","","","25","Ground water","5891 NC HWY 65
REIDSVILLE, NC 27320","336-637-8680","REIDSVILLE","Rockingham"
"401 MOBILE HOME PARK","","","","90","Ground water","6924 EDELWEISS PLACE
FAYETTEVILLE, NC 28306","","RAEFORD","Hoke"
"7 ELEVEN STORE 35553","","","","30","Ground water","2720 WEST C STREET
KANNAPOLIS, NC 28081","704-933-3380","SALISBURY","Rowan"
"70 EAST MOBILE ACRES","","","","229","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","GARNER","Wake"
