"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"11 LABELLE 3 RIGBY 2,3","","","","884","Ground water","434 East 2nd North
REXBURG, ID 83440","208-390-7184","RIGBY","Jefferson"
"3 GS CONVENIENCE STORE","","","","25","Ground water","PO BOX 8
BLACKFOOT, ID 83221","208-782-1828","","Bingham"
"3D WATER ASSOCIATION","","","","642","Ground water","2323 E BERGGREN LN
IDAHO FALLS, ID 83401","208-524-1846","","Bonneville"
"44 QUICK STOP","","","","200","Ground water","15060 HWY 44
CALDWELL, ID 83607","208-455-9048","","Canyon"
"5TH WEST MEETINGHOUSE LDS CHURCH","","","","471","Ground water","434 East 2nd North
REXBURG, ID 83440","208-390-7184","IDAHO FALLS","Bonneville"
"7 RIVERS LIVESTOCK COMMISSION","","","","25","Ground water","PO BOX 398
EMMETT, ID 83617","208-365-4401","","Gem"
"7N RANCH","","","","56","Ground water","45 N NEWBY LN
RIRIE, ID 83443","208-538-5097","","Jefferson"
"A W JOHNSON ELEMENTARY SCHOOL","","","","330","Ground water","735 N 600 E
FIRTH, ID 83236","208-346-6815","","Bingham"
"ABERDEEN CITY OF","","","","1,994","Ground water","PO BOX 190
ABERDEEN, ID 83210","208-397-4161","","Bingham"
"ACEQUIA SCHOOL","","","","300","Ground water","310 10TH ST
RUPERT, ID 83350","208-436-1254","ACEQUIA","Minidoka"
"AGRI-SERVICE","","","","70","Ground water","300 AGRI-SERVICE WAY
KIMBERLY, ID 83341","208-308-2706","","Twin Falls"
"AHSAHKA WATER AND SEWER DIST","","","","85","Surface water","PO BOX 37
AHSAHKA, ID 83520","208-301-4626","","Clearwater"
"ALACCA BIBLE CAMP","","","","25","Ground water","101 CHINA GARDEN CREEK RD
HARPSTER, ID 83552","208-983-1188","","Idaho"
"ALBENI FALLS BLDG SUPPLY INC","","","","35","Ground water","520 HWY 2
OLDTOWN, ID 83822","208-437-3153","","Bonner"
"ALBERTS LANDING","","","","25","Ground water","625 E BEST AVE
COEUR D ALENE, ID 83814","208-661-4394","","Shoshone"
"ALBION CITY OF","","","","310","Ground water","PO BOX 147
ALBION, ID 83311","208-673-5352","","Cassia"
"ALGOMA ADDITION SUBD","","","","68","Ground water","67 WILD HORSE TRL
SANDPOINT, ID 83864","208-265-4270","","Bonner"
"ALL AMERICAN MARKET","","","","25","Ground water","902 W HWY 39
BLACKFOOT, ID 83221","208-684-5566","","Bingham"
"ALL SEASONS LAKE OWNERS ASSN","","","","30","Ground water","210 N UNIVERSITY RD STE 100
SPOKANE VALLEY, WA 99206","508-893-9646","","Kootenai"
"ALLENDALE PRODUCE","","","","29","Ground water","PO BOX 1060
HOMEDALE, ID 83628","208-482-6221","","Canyon"
"ALMO CREEK OUTPOST","","","","25","Ground water","PO BOX 168
ALMO, ID 83312","208-824-5577","","Cassia"
"ALPINE MEADOWS WATER AND SEWER DIST","","","","300","Ground water","PO BOX 526
HAYDEN, ID 83835","208-772-3467","","Kootenai"
"ALPINE STORE","","","","25","Ground water","12755 CARDINAL CT
VICTORVILLE, CA 92392","760-956-7064","","Adams"
"ALZAR SCHOOL INC","","","","27","Ground water","PO BOX 1609
CASCADE, ID 83611","208-860-4681","CASCADE","Valley"
"AMALGAMATED SUGAR PAUL","","","","200","Ground water","PO BOX 700
PAUL, ID 83447","208-438-7125","","Minidoka"
"AMALGAMATED SUGAR TWIN FALLS","","","","405","Ground water","PO BOX 127
TWIN FALLS, ID 83303","208-733-4104","","Twin Falls"
"AMBER INN II","","","","25","Ground water","2005 TOUCH DR
INKOM, ID 83245","208-244-2041","","Jerome"
"AMBER INN MOTEL","","","","25","Ground water","PO BOX 2491
POCATELLO, ID 83206","208-352-4441","","Gooding"
"AMERICAN FALLS CITY OF","","","","4,225","Ground water","550 N OREGON TRL
AMERICAN FALLS, ID 83211","208-541-0108","","Power"
"AMERICAN HERITAGE CHARTER SCHOOL","","","","330","Ground water","3662 W 17TH S
IDAHO FALLS, ID 83402","208-539-7271","IDAHO FALLS","Bonneville"
"AMERICAN MOTEL","","","","50","Ground water","2814 POCATELLO AVE
AMERICAN FALLS, ID 83211","208-431-3796","","Power"
"AMERICOLD","","","","60","Ground water","280 W HWY 30
BURLEY, ID 83318","208-677-3000","","Cassia"
"AMITY LOCUST GROVE LDS CHURCH","","","","840","Ground water","2808 S MONTANA AVE
CALDWELL, ID 83605","208-467-2421","MERIDIAN","Ada"
"AMMON 10-13 WARD LDS CHURCH","","","","851","Ground water","434 East 2nd North
REXBURG, ID 83440","208-390-7184","AMMON","Bonneville"
"AMMON CITY OF","","","","14,019","Ground water","2135 S AMMON RD
AMMON, ID 83406","208-881-2637","","Bonneville"
"ANCHOR BAPTIST CHURCH","","","","50","Ground water","4551 W SADDLE RIDGE DR
NAMPA, ID 83687","208-888-1915","","Ada"
"ANDCO MANAGEMENT","","","","83","Ground water","6300 South 45th West
IDAHO FALLS, ID 83402","208-533-6723","","Bonneville"
"ANDERSEN MANUFACTURING INC","","","","80","Ground water","3125 N YELLOWSTONE HWY
IDAHO FALLS, ID 83401","208-523-6460","","Bonneville"
"ANDERSON CAMP","","","","50","Ground water","1188 E 990 S
EDEN, ID 83325","801-836-1792","","Jerome"
"ANDERSON CIRCLE WATER CORP","","","","40","Ground water","1565 ROVIAN ST
BOISE, ID 83705","208-830-4870","","Ada"
"ANDERSON RESERVE","","","","50","Ground water","7275 SWEET OLA HWY
SWEET, ID 83670","208-477-8961","","Gem"
"ANGLERS LODGE","","","","25","Ground water","3363 OLD HWY 191
ISLAND PARK, ID 83429","208-757-3667","","Fremont"
"ANGUS REST AND U SERVE","","","","25","Ground water","PO BOX 0147
SWAN VALLEY, ID 83449","208-483-2666","","Bonneville"
"ANTELOPE CREEK LIVING CENTER","","","","26","Ground water","PO BOX 909
MOORE, ID 83255","208-588-2700","","Custer"
"APACHE HEIGHTS SUBDIVISION (2)","","","","110","Ground water","4410 CHOCTAW
NAMPA, ID 83686","208-466-1112","","Canyon"
"APEX LIVING COMMUNITY","","","","150","Ground water","3109 W TWIN RD
MOSCOW, ID 83843","208-882-9746","","Latah"
"APOSTOLIC HOUSE OF PRAYER","","","","65","Ground water","PO BOX 217
RUPERT, ID 83350","208-431-1884","RUPERT","Minidoka"
"APPALOOSA COURT","","","","129","Ground water","PO BOX 9327
MOSCOW, ID 83843","208-301-7462","","Latah"
"APPALOOSA HORSE CLUB","","","","50","Ground water","2720 W PULLMAN RD
MOSCOW, ID 83843","208-882-5578","","Latah"
"APPLETON PRODUCE FRESH PACK PLANT","","","","100","Ground water","PO BOX 110
WEISER, ID 83672","208-414-3352","","Washington"
"AQUA DRILLING WATER SYSTEM","","","","220","Ground water","PO BOX 1286
HAYDEN, ID 83835","208-772-4031","","Kootenai"
"ARCHER LDS MTGHS","","","","450","Ground water","434 East 2nd North
REXBURG, ID 83440","208-390-7184","","Madison"
"ARCO CITY OF","","","","1,080","Ground water","PO BOX 196
ARCO, ID 83213","208-527-8294","","Butte"
"ARDYS BAKERY","","","","50","Ground water","205 CAVANAUGH BAY RD
COOLIN, ID 83821","208-443-4086","","Bonner"
"ARIMO CITY OF","","","","356","Ground water","PO BOX 61
115 HENDERSON
ARIMO, ID 83214","208-254-3507","","Bannock"
"ARROW POINT PARK","","","","275","Surface water purchased","PO BOX 3388
COEUR D'ALENE, ID 83816","208-929-1045","","Kootenai"
"ARROWHEAD RANCH WATER COMPANY LLC","","","","30","Ground water","67 WILD HORSE TRL
SANDPOINT, ID 83864","208-265-4270","","Bonner"
"ARROWROCK RANCH","","","","200","Ground water","PO BOX 344
MERIDIAN, ID 83680","208-888-9946","","Ada"
"ARTCO","","","","202","Ground water","1 STATIONARY PL
REXBURG, ID 83441","208-359-1095","","Madison"
"ASHLEY ESTATES WATER ASSN","","","","38","Ground water","19543 N AMBER CT
RATHDRUM, ID 83858","509-413-8072","","Kootenai"
"ASHTON CITY OF","","","","1,129","Ground water","PO BOX 689
ASHTON, ID 83420","208-652-3987","","Fremont"
"ASHTON LDS CHURCH","","","","642","Ground water","434 East 2nd North
REXBURG, ID 83440","208-390-7184","ASHTON","Fremont"
"ASPEN CREEK WATER COMPANY","","","","50","Ground water","PO BOX 361
10 S BEAR LAKE BLVD
GARDEN CITY, UT 84028","435-946-3503","","Bear Lake"
"ASPEN GROVE INN","","","","30","Ground water","105 N 5050 E
RIGBY, ID 83442","208-523-6339","RIRIE","Jefferson"
"ASPEN HOLLOW HOMEOWNERS ASSOC","","","","75","Ground water","PO BOX 715
KETCHUM, ID 83340","208-720-2915","","Blaine"
"ASPEN RIDGE SUBD","","","","120","Ground water","PO BOX 2521
IDAHO FALLS, ID 83403","208-521-2369","","Fremont"
"ASSEMBLY OF GOD CHURCH","","","","75","Ground water","510 BULWER ST
SALMON, ID 83467","208-756-3393","","Lemhi"
"ATHOL BAPTIST CHURCH","","","","25","Ground water","29145 N SYLVAN RD
ATHOL, ID 83801","425-922-8472","","Kootenai"
"ATHOL CITY OF","","","","770","Ground water","PO BOX 249
ATHOL, ID 83801","208-683-1133","","Kootenai"
"ATLANTA WATER ASSN","","","","91","Surface water","225 N 9TH ST STE 820
BOISE, ID 83701","208-331-1170","","Elmore"
"ATLAS ACRES","","","","69","Ground water","13649 N MEYER RD
RATHDRUM, ID 83858","208-687-6593","","Kootenai"
"ATLAS SAND AND ROCK INC","","","","63","Ground water","4341 SNAKE RIVER AVE
LEWISTON, ID 83501","208-743-5596","LEWISTON","Nez Perce"
"ATOMIC CITY","","","","35","Ground water","1780 N 2650 W
ATOMIC CITY, ID 83215","208-681-1959","","Bingham"
"AURORA SUBD","","","","30","Ground water","502 Aurora Drive
NAMPA, ID 83653","208-861-3150","","Canyon"
"AUTUMN COVE MOBILE HOME COURT","","","","38","Ground water","PO BOX 50497
IDAHO FALLS, ID 83401","208-522-3807","","Bonneville"
"AVERY WATER AND SEWER DIST","","","","100","Ground water","PO BOX 75
AVERY, ID 83802","208-245-2479","","Shoshone"
"AVONDALE IRRIGATION DIST","","","","4,175","Ground water","PO BOX 81
HAYDEN, ID 83835","208-772-5657","","Kootenai"
"B AND W FUELS INC","","","","25","Ground water","PO BOX 747
EMMETT, ID 83617","208-365-2291","","Gem"
"BADGER CREEK OUTDOOR CENTER","","","","50","Ground water","434 East 2nd North
REXBURG, ID 83440","208-390-7184","","Teton"
"BAILEY CREEK PROPERTY OWNERS ASSN","","","","250","Ground water","52 CARIBOU RD
SODA SPRINGS, ID 83276","208-547-4843","","Caribou"
"BAKER COUNTRY MARKET","","","","125","Ground water","7 N BAKER RD
SALMON, ID 83467","208-756-1212","BAKER, SALMON","Lemhi"
"BAKER RANCH","","","","50","Ground water","11716 S DEMPSEY CREEK RD
LAVA HOT SPRINGS, ID 83246","208-776-5684","","Bannock"
"BAKERS ACRES ASSOCIATION INC","","","","25","Ground water","1744 SW SIERRA WAY
MOUNTAIN HOME, ID 83647","","","Elmore"
"BALANCED ROCK PARK","","","","50","Ground water","1234 Highland Ave E
TWIN FALLS, ID 83301","208-734-9491","","Twin Falls"
"BALD MOUNTAIN","","","","1,000","Ground water","PO BOX 2410
SUN VALLEY, ID 83353","208-622-7610","","Blaine"
"BALDY RIDGE ESTATES","","","","50","Ground water","67 WILD HORSE TRL
SANDPOINT, ID 83864","208-265-4270","","Bonner"
"BALL BROS PRODUCE","","","","35","Ground water","PO BOX 69
LEWISVILLE, ID 83431","208-520-0207","","Jefferson"
"BALLANTYNE CAMP SUBD 1","","","","24","Ground water","8035 W BURNTREE CT
BOISE, ID 83704","208-841-0376","","Elmore"
"BANBURYS HOT SPRINGS","","","","25","Ground water","PO BOX 588
BUHL, ID 83316","208-543-4281","","Twin Falls"
"BANCROFT CITY OF","","","","350","Ground water","PO BOX 39
BANCROFT, ID 83217","208-648-7648","","Caribou"
"BANIDA WINDER WATER AND SEWER DIST","","","","180","Ground water","2179 W 5000 N
PRESTON, ID 83263","208-852-3969","","Franklin"
"BANKS STORE AND CAFE","","","","25","Ground water","7864 HWY 55
BANKS, ID 83602","208-602-1849","","Boise"
"BASALT CITY OF","","","","425","Ground water","PO BOX 178
BASALT, ID 83214","208-346-6411","","Bingham"
"BASIC AMERICAN  POTATO, INC. PACKERS","","","","160","Ground water","415 W COLLINS RD
BLACKFOOT, ID 83221","208-357-1320","","Bingham"
"BASIC AMERICAN FOOD SHELLEY","","","","300","Ground water","415 W COLLINS RD
BLACKFOOT, ID 83221","208-357-1320","","Bingham"
"BASIC AMERICAN FOODS BLACKFOOT","","","","500","Ground water","415 W COLLINS RD
BLACKFOOT, ID 83221","208-357-1320","","Bingham"
"BASIC AMERICAN FOODS REXBURG","","","","150","Ground water","415 W COLLINS RD
BLACKFOOT, ID 83221","208-357-1320","","Madison"
"BAYVIEW HEIGHTS WATER ASSN","","","","16","Ground water","PO BOX 822
BAYVIEW, ID 83803","509-531-3021","","Kootenai"
"BAYVIEW WATER AND SEWER DIST","","","","1,162","Ground water","PO BOX 637
BAYVIEW, ID 83803","208-683-3948","","Kootenai"
"BEACON LIGHT CHEVRON","","","","25","Ground water","PO BOX 140363
GARDEN CITY, ID 83714","208-939-2340","","Ada"
"BEAR CLAW SUBD","","","","42","Ground water","1603 N FOURTH ST
COEUR D ALENE, ID 83814","208-769-4551","","Bonner"
"BEAR CREEK LODGE","","","","25","Ground water","PO BOX 1052
ISSAQUAH, WA 98027","425-531-1438","","Adams"
"BEAR DEN RV RESORT","","","","26","Ground water","20 FISH HATCHERY ROAD
GRANGEVILLE, ID 83530","208-983-0140","","Idaho"
"BEAR ISLAND WATER ASSN","","","","100","Ground water","32 N 3167 E
IDAHO FALLS, ID 83402","208-522-9678","","Jefferson"
"BEAR LAKE HOT SPRINGS","","","","25","Ground water","1000 S MAIN ST STE 104
SALT LAKE CITY, UT 84101","801-355-4300","","Bear Lake"
"BEAR LAKE RV PARK","","","","325","Ground water","460 N 3335 W
WEST POINT, UT 84015","801-721-6338","","Bear Lake"
"BEAR LAKE SANDS","","","","200","Ground water","2638 ROCKWELL DR
SANDY, UT 84093","801-440-7234","","Bear Lake"
"BEAR LAKE WEST","","","","1,000","Ground water","PO BOX 352
GARDEN CITY, UT 84028","","","Bear Lake"
"BEAR LAKE WEST POA","","","","300","Ground water","469 COLD SPRINGS DR
FISH HAVEN, ID 83287","435-881-5143","","Bear Lake"
"BEAVER CREEK CAMP ASSN","","","","80","Ground water","PO BOX 335
TROY, ID 83871","208-669-4344","","Bonner"
"BEE LINE WATER ASSN INC","","","","414","Surface water","PO BOX 1386
BONNERS FERRY, ID 83805","208-267-5166","","Boundary"
"BEER GUYS SALOON","","","","25","Ground water","10937 W. State St.
STAR, ID 83669","","","Ada"
"BELLE AIRE ACRES 2","","","","350","Ground water","1823 VENTURA DR
NAMPA, ID 83686","208-466-9381","","Canyon"
"BELLEVUE CITY OF","","","","2,287","Ground water","CITY OF BELLEVUE
PO BOX 825
BELLEVUE, ID 83313","208-721-0161","","Blaine"
"BENCH MARK POTATO COMPANY","","","","30","Ground water","4799 S HWY 191
REXBURG, ID 83440","208-356-9295","","Madison"
"BENNETT BAY INN","","","","46","Ground water","7904 E COEUR D ALENE LAKE DR
COEUR D ALENE, ID 83814","208-771-5200","","Kootenai"
"BENNETT LUMBER PRODUCTS INC","","","","150","Ground water","PO BOX 130
PRINCETON, ID 83857","208-875-1121","","Latah"
"BENNINGTON WATER SYSTEM","","","","250","Ground water","98 E FIRST
BENNINGTON, ID 83254","208-847-2098","","Bear Lake"
"BERANNA DAIRY","","","","33","Ground water","195 RIVER VISTA PL STE 308
TWIN FALLS, ID 83301","208-420-6795","","Canyon"
"BERRY PATCH WATER ACRES ASSN","","","","45","Ground water","PO BOX 3077
COEUR D ALENE, ID 83816","208-769-9962","","Bonner"
"BETASEED INC","","","","30","Ground water","3540 N 3400 E
KIMBERLY, ID 83341-5285","208-423-4648","KIMBERLY","Twin Falls"
"BETHEL BAPTIST CHURCH","","","","50","Ground water","3866 E 400 N
RIGBY, ID 83442","208-745-9266","RIGBY","Jefferson"
"BETTENCOURT DAIRY #1","","","","25","Ground water","2930 S 2300 E
WENDELL, ID 83355","208-536-6182","","Gooding"
"BEYOND HOPE RESORT","","","","36","Ground water","67 WILD HORSE TRL
SANDPOINT, ID 83864","208-265-4270","","Bonner"
"BIG ELK CREEK YMCA CAMP","","","","50","Ground water","155 N CORNER ST
IDAHO FALLS, ID 83402","208-523-0600","","Bonneville"
"BIG JUDS WELL","","","","50","Ground water","7833 S 400 W
REXBURG, ID 83440","208-356-4465","","Madison"
"BIG TWELVE WATER ASSN","","","","25","Ground water","435 N 100 E
BRIGHAM CITY, UT 83402","435-730-6429","","Fremont"
"BIGHORN HILLS ESTATES PROPERTY OWNERS","","","","70","Ground water","240 TIEBRAKER DR
AMMON, ID 83406","208-521-4706","","Fremont"
"BILLINGSLEY STATE PARK","","","","25","Ground water","5657 WARM SPRINGS AVE
BOISE, ID 83716","208-514-2456","HAGERMAN","Gooding"
"BINKY TO BACKPACK DAYCARE","","","","90","Ground water","21391 HWY 30
TWIN FALLS, ID 83301","208-944-0524","TWIN FALLS","Twin Falls"
"BIRCH CREEK CULINARY","","","","120","Ground water","7188 E BIRCH CREEK RD
PRESTON, ID 83263","208-852-0574","","Franklin"
"BITTERCREEK MEADOWS SUBDIVISION","","","","30","Ground water","PO BOX 1671
MERIDIAN, ID 83680","","","Ada"
"BLACK BEAR RV PARK","","","","60","Ground water","190 Krahn Lane
MCCALL, ID 83638","208-789-6442","","Valley"
"BLACK CANYON MOTEL C/O STINKER 45","","","","100","Ground water","5250 BLACK CANYON RD
CALDWELL, ID 83607","208-454-9179","","Payette"
"BLACK CANYON STINKER","","","","100","Ground water","5250 BLACK CANYON RD
CALDWELL, ID 83607","208-454-9179","","Payette"
"BLACK ROCK MARINA INC","","","","75","Ground water","10201 W ROCKFORD BAY RD
COEUR D ALENE, ID 83814","208-691-9320","","Kootenai"
"BLACK ROCK UTILITIES INC","","","","561","Ground water","3125 W HAYDEN AVE
HAYDEN, ID 83835","208-772-7867","","Kootenai"
"BLACK SANDS RESORT","","","","200","Ground water","PO Box 222
GRANDVIEW, ID 83624","208-834-2798","","Owyhee"
"BLACKFOOT CITY OF","","","","11,584","Ground water","10 W WALKER
BLACKFOOT, ID 83221","208-785-8608","","Bingham"
"BLACKFOOT HARBOR","","","","100","Ground water","PO BOX 159
SODA SPRINGS, ID 83276","208-547-3358","","Caribou"
"BLACKFOOT RESERVOIR CAMPGROUND","","","","25","Ground water","4350 CLIFFS DR
POCATELLO, ID 83204","208-478-6356","","Caribou"
"BLACKHAWK ESTATES/IRON RIM","","","","230","Ground water","8070 BLACKHAWK DR
IDAHO FALLS, ID 83406","208-390-7073","","Bonneville"
"BLACKHAWK ON THE RIVER","","","","150","Ground water","PO BOX 10117
BOISE, ID 83707","208-629-8887","","Valley"
"BLACKS CREEK REST AREA IDT","","","","25","Ground water","PO BOX 8028
BOISE, ID 83707","208-334-8350","","Ada"
"BLANCHARD COOP WATER ASSN","","","","155","Ground water","PO BOX 36
BLANCHARD, ID 83804","208-437-3913","","Bonner"
"BLISS CITY OF","","","","325","Ground water","PO BOX 102
BLISS, ID 83314","208-352-1117","","Gooding"
"BLISS REST AREA IDT","","","","25","Ground water","216 S DATE ST
SHOSHONE, ID 83352","208-886-7808","","Gooding"
"BLM BAY HORSE RECREATION SITE","","","","70","Ground water","PO BOX 817
CHALLIS, ID 83226","208-879-6241","","Custer"
"BLM BIRCH CREEK RECREATION SITE","","","","300","Ground water","1405 HOLLIPARK DR
IDAHO FALLS, ID 83401","208-524-7557","","Clark"
"BLM BURLEY ADMINISTRATION SITE","","","","25","Ground water","203 S HWY 27
BURLEY, ID 83318","208-678-5005","","Cassia"
"BLM BURLEY OPERATIONS SITE","","","","25","Ground water","15 E 200 S
BURLEY, ID 83318","208-677-6600","","Cassia"
"BLM BYINGTON RECREATION SITE","","","","200","Ground water","1405 HOLLIPARK DR
IDAHO FALLS, ID 83401","208-524-7557","","Bonneville"
"BLM CONANT BOAT ACCESS","","","","200","Ground water","1405 HOLLIPARK DR
IDAHO FALLS, ID 83401","208-524-7557","","Bonneville"
"BLM COTTONWOOD RECREATION SITE","","","","50","Ground water","PO BOX 817
CHALLIS, ID 83226","208-879-6241","","Custer"
"BLM COVE RECREATION SITE","","","","1","Ground water","3948 S DEVELOPMENT AVE
BOISE, ID 83705","208-384-3418","","Owyhee"
"BLM EAST FORK RECREATION SITE","","","","50","Ground water","PO BOX 817
CHALLIS, ID 83226","208-879-6241","","Custer"
"BLM EGIN LAKES ACCESS REC SITE","","","","400","Ground water","1405 HOLLIPARK DR
IDAHO FALLS, ID 83401","208-524-7557","","Fremont"
"BLM HAMMER CREEK RECREATION SITE","","","","25","Ground water","2 BUTTE DR
COTTONWOOD, ID 83522","208-962-3687","","Idaho"
"BLM HUCKLEBERRY CAMPGROUND","","","","75","Ground water","3815 SCHREIBER WAY
COEUR D ALENE, ID 83815","208-769-5041","","Shoshone"
"BLM KELLY ISLAND CAMPGROUND","","","","30","Ground water","1405 HOLLIPARK DR
IDAHO FALLS, ID 83401","208-524-7557","","Bonneville"
"BLM KILLARNEY LAKE PUBLIC ACCESS","","","","25","Ground water","3815 SCHREIBER WAY
COEUR D ALENE, ID 83815","208-769-5041","","Kootenai"
"BLM LUCILE RECREATION SITE","","","","25","Ground water","2 BUTTE DR
COTTONWOOD, ID 83522","208-962-3687","","Idaho"
"BLM MCFARLAND RECREATION SITE","","","","30","Ground water","1206 CHALLIS ST
SALMON, ID 83467","208-756-5412","","Lemhi"
"BLM MCKAYS BEND RECREATION SITE","","","","25","Ground water","2 BUTTE DR
COTTONWOOD, ID 83522","208-962-3687","","Nez Perce"
"BLM MICA BAY BOATERS PARK","","","","37","Ground water","3815 SCHREIBER WAY
COEUR D ALENE, ID 83815","208-769-5041","","Kootenai"
"BLM MILNER WELL","","","","25","Ground water","15 E 200 S
BURLEY, ID 83318","208-677-6600","","Cassia"
"BLM MINERAL RIDGE RECREATION SITE","","","","85","Ground water","3815 SCHREIBER WAY
COEUR D ALENE, ID 83815","208-769-5041","","Kootenai"
