"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ABBYVILLE, CITY OF","","","","85","Ground water","102 N STRONG
PO BOX 100
ABBYVILLE, KS 67510","620-728-4570","ABBYVILLE","Reno"
"ABILENE, CITY OF","","","","6,300","Groundwater under influence of surface water","419 N BROADWAY
PO BOX 519
ABILENE, KS 67410-0519","785-263-7478","ABILENE","Dickinson"
"ADMIRE, CITY OF","","","","153","Surface water purchased","100 E 3RD ST
ADMIRE, KS 66830","620-528-3666","ADMIRE","Lyon"
"AGENDA, CITY OF","","","","66","Ground water purchased","106 6TH ST
AGENDA, KS 66930","785-243-1509","AGENDA","Republic"
"AGRA, CITY OF","","","","248","Ground water","222 MAIN ST
PO BOX 37
AGRA, KS 67621","785-638-2811","AGRA","Phillips"
"ALBERT, CITY OF","","","","166","Ground water","2006 MAIN ST
PO BOX 10
ALBERT, KS 67511-0010","620-923-4221","ALBERT","Barton"
"ALEXANDER, CITY OF","","","","60","Ground water","PO BOX 113
ALEXANDER, KS 67513","785-343-2394","ALEXANDER","Rush"
"ALL SEASONS RV PARK INC","","","","70","Ground water","15520 W MAPLE AVE
GODDARD, KS 67052","316-779-4039","GODDARD","Sedgwick"
"ALLEN CO RWD 10","","","","125","Surface water purchased","903 W MULBERRY
CHANUTE, KS 66720","620-432-5065","CHANUTE","Allen"
"ALLEN CO RWD 12","","","","33","Surface water purchased","620 W RANDOLPH ST
MORAN, KS 66755","620-237-4250","MORAN","Allen"
"ALLEN CO RWD 13","","","","100","Surface water purchased","25 MAIN ST
PO BOX 11
CHANUTE, KS 66720","620-431-7454","CHANUTE","Allen"
"ALLEN CO RWD 15","","","","135","Surface water purchased","PO BOX 209
IOLA, KS 66749","620-365-7896","IOLA","Allen"
"ALLEN CO RWD 16","","","","130","Surface water purchased","3770 RHODE ISLAND RD
MORAN, KS 66755","620-363-4532","MORAN","Allen"
"ALLEN CO RWD 4","","","","52","Surface water purchased","1480 2200 ST
IOLA, KS 66749","620-365-3366","IOLA","Allen"
"ALLEN CO RWD 6","","","","45","Surface water purchased","1798 OREGON RD
IOLA, KS 66749","620-365-7616","IOLA","Allen"
"ALLEN CO RWD 8","","","","736","Surface water purchased","PO BOX 268
GAS, KS 66742","620-380-6153","MORAN","Allen"
"ALLEN, CITY OF","","","","174","Surface water purchased","228 E 5TH
PO BOX 43
ALLEN, KS 66833","620-528-3566","ALLEN","Lyon"
"ALMA, CITY OF","","","","779","Surface water","326 MISSOURI
PO BOX 444
ALMA, KS 66401","785-765-3502","ALMA","Wabaunsee"
"ALMENA, CITY OF","","","","383","Ground water","421 MAIN ST
PO BOX 277
ALMENA, KS 67622-0277","785-669-2425","ALMENA","Norton"
"ALTA VISTA, CITY OF","","","","422","Ground water purchased","521 MAIN ST
PO BOX 44
ALTA VISTA, KS 66834-0044","785-499-6620","ALTA VISTA","Wabaunsee"
"ALTAMONT, CITY OF","","","","1,030","Surface water purchased","407 S HUSTON
PO BOX 305
ALTAMONT, KS 67330-0305","620-784-5612","ALTAMONT","Labette"
"ALTON, CITY OF","","","","92","Ground water","416 NICHOLAS
ALTON, KS 67623","785-984-2260","ALTON","Osborne"
"ALTOONA, CITY OF","","","","380","Surface water purchased","715 MAIN
PO BOX 147
ALTOONA, KS 66710-0147","620-568-5415","ALTOONA","Wilson"
"ANDALE, CITY OF","","","","988","Ground water","326 N MAIN
PO BOX 338
ANDALE, KS 67001","316-444-2351","ANDALE","Sedgwick"
"ANDERSON CO RWD 1","","","","37","Surface water purchased","23723 NW MITCHELL RD
GARNETT, KS 66032","785-204-1594","GARNETT","Anderson"
"ANDERSON CO RWD 1C","","","","2,112","Surface water purchased","9567 W 1150 RD
MOUND CITY, KS 66056","913-795-2278","MOUND CITY","Linn"
"ANDERSON CO RWD 4","","","","1,200","Surface water purchased","501 N OLIVE ST
GARNETT, KS 66032","785-504-4365","WESTPHALIA","Anderson"
"ANDERSON CO RWD 5","","","","2,093","Surface water purchased","204 E BROAD
PO BOX 301
COLONY, KS 66015","620-852-3475","COLONY","Anderson"
"ANGELS BIKINI AND LINGERIE CLUB","","","","25","Ground water","11202 S BROADWAY ST
PECK, KS 67120-9738","620-474-0486","WICHITA","Sedgwick"
"ANTHONY, CITY OF","","","","2,099","Ground water","124 S BLUFF
PO BOX 504
ANTHONY, KS 67003","620-842-5960","ANTHONY","Harper"
"ARCADIA, CITY OF","","","","310","Surface water purchased","106 E RACE
PO BOX 8
ARCADIA, KS 66711","620-638-4344","ARCADIA","Crawford"
"ARGONIA, CITY OF","","","","476","Ground water","210 S MAIN
PO BOX 35
ARGONIA, KS 67004","620-435-6417","ARGONIA","Sumner"
"ARKALON PARK","","","","25","Ground water","1401 E PINE
PO BOX 2199
LIBERAL, KS 67901","620-417-0490","LIBERAL","Seward"
"ARKANSAS CITY, CITY OF","http://www.arkansascityks.gov/DocumentCenterii.aspx","http://www.arkansascityks.gov/index.aspx?nid=4","","11,793","Ground water","2929 N 2ND ST
ARKANSAS CITY, KS 67005","620-441-4484","ARKANSAS CITY","Cowley"
"ARLINGTON, CITY OF","","","","451","Ground water","900 W MAIN
ARLINGTON, KS 67514","620-538-2818","ARLINGTON","Reno"
