"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"4 STOP","","","","50","Ground water","Bonita Matthews
2177 County Road 1226
TUTTLE, OK 73089","405-618-9875","","Grady"
"4 T'S OF STILLWATER, LLC","","","","40","Ground water","Terry Nixon
7101 W. 44th
STILLWATER, OK 74074","405-612-6318","","Payne"
"51 EAST WATER","","","","2,500","Surface water purchased","SCOTT MCKASKLE, General Manager
420 S Union Rd.
STILLWATER, OK 74075","405-283-6812","","Payne"
"AAA COLLISION SPECIALISTS","","","","27","Ground water","Hershel Ring
37320 W. Old Hwy 270
SHAWNEE, OK 74801","405-275-1611","","Pottawatomie"
"ABES RV PARK","","","","175","Ground water","Simon Group, LLC. D.B.A. Abe's RV Park
12115 N I-35 Rd.
OKLAHOMA CITY, OK 73131","405-478-0278","","Oklahoma"
"ABSENTEE SHAWNEE HEALTH CENTER","","","","87","Ground water","Ken Jones, OEH Department
2025 South Gordon Cooper Drive
SHAWNEE, OK 74801","405-214-4235","","Cleveland"
"ABUELITA ROSAS","","","","25","Ground water","Mr. Marcial Escobedo
11127 3500 Rd.
PRAGUE, OK 74864","405-878-9844","","Pottawatomie"
"ACHILLE","","","","506","Ground water","Brenda Buchanan
P.O. BOX 190
ACHILLE, OK 74720","580-283-3734","","Bryan"
"ACORN ACRES MHP","","","","120","Ground water","Steve Slagle
18437 S.E. 29th
NEWALLA, OK 74857","405-740-9896","","Oklahoma"
"ADA","","","","22,600","Ground water","The Honorable Dr. Tre' Landrum, Mayor
231 South Townsend
ADA, OK 74820-6443","580-436-8100","","Pontotoc"
"ADAIR","","","","704","Surface water purchased","Steve Hall, Mayor
P.O. BOX 198
ADAIR, OK 74330","918-785-2432","","Mayes"
"ADAIR CO RWD #1 (CHERRY TREE)","","","","2,000","Surface water purchased","Kay Bolin
308 W Locust Street
STILWELL, OK 74960","918-696-2936","","Adair"
