"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
" MCINNIS ELEMENTARY SCHOOL","","","","480","Ground water","VOLUSIA COUNTY SCHOOL BOARD
3750 OLSON DRIVE
DAYTONA BEACH, FL 32124","386-947-8786","DELEON SPRINGS","Volusia"
" MOUNTAIN LAKES CORPORTION","","","","300","Ground water","P.O. BOX 832
LAKE WALES, FL 33859","863-676-6100","LAKE WALES","Polk"
"1 QUICKSTOP","","","","25","Ground water","2476 BLANDING BLVD
MIDDLEBURG, FL 32068","904-601-7393","MIDDLEBURG","Clay"
"1-75 REST AREA MM 63 NORTHSIDE","","","","25","Ground water","801 N. BROADWAY
BARTOW, FL 33830","863-534-7045","NAPLES","Collier"
"103RD STREET PLAZA","","","","200","Ground water","2476 N. ESSEX AVE.
HERNANDO, FL 34442-5321","352-746-6060","OCALA","Marion"
"1665 CITGO","","","","120","Ground water","12241 BROADWATER LOOP
THONOTOSASSA, FL 33592","813-909-6725","PLANT CITY","Hillsborough"
"1890 PLAZA","","","","25","Ground water","1890 S TAMIAMI TRAIL
VENICE, FL 34293","614-783-5442","VENICE","Sarasota"
"1ST BAPTIST CHURCH OF HOMESTEAD","","","","300","Ground water","P.O.BOX 900428
HOMESTEAD, FL 33039","305-247-1662","HOMESTEAD","Miami-Dade"
"1ST SOUTHERN METHODIST CHURCH","","","","40","Ground water","103 JOHNSON ROAD WEST
PLANT CITY, FL 33567","813-754-5968","PLANT CITY","Hillsborough"
"21 PALMS RV RESORT","","","","25","Ground water","6951 OSCEOLA POLK LINE RD
DAVENPORT, FL 33896-9316","407-298-4110","DAVENPORT","Osceola"
"214 BP GAS","","","","25","Ground water","6262 CR 214
KEYSTONE HEIGHTS, FL 32656","352-473-5539","KEYSTONE HEIGHTS","Clay"
"221 GAS AND GRILL","","","","25","Ground water","3525 HWY 221 NORTH
PERRY, FL 32348","850-584-9221","PERRY","Taylor"
"231 PLAZA","","","","25","Ground water","449 LONGHORN TRAIL
WEATHERFORD, TX 76087","320-309-2226","YOUNGSTOWN","Bay"
"242 VILLAGE SUBDIVISION","","","","161","Ground water","968 ARGONNE AVE NE
ATLANTA, GA 30309","770-356-6240","LAKE CITY","Columbia"
"27 TRUCK STOP","","","","25","Ground water","2758 US 27
LAKE PLACID, FL 33852","561-900-5161","LAKE PLACID","Highlands"
"301 GRILL/WAGON WHEEL TR PK","","","","27","Ground water","12464 US 301 N
THONOTOSASSA, FL 33592","813-714-2052","THONOTOSASSA","Hillsborough"
"301 HOUSE INCORPORATED","","","","30","Ground water","8601 BOWLES RD
TAMPA, FL 33637","813-988-7783","TAMPA","Hillsborough"
"4 LAKES CAMPGROUND","","","","52","Ground water","1463 BARRINGTON CIRCLE
ST. AUGUSTINE, FL 32092","904-626-6131","HASTINGS","St. Johns"
"40 FATHOM GROTTO","","","","45","Ground water","91 TROUT RIVER DR
JACKSONVILLE, FL 32208","904-838-8284","OCALA","Marion"
"42ND STREET APARTMENTS","","","","160","Ground water","16201 SONSOLES DE AVILA
TAMPA, FL 33613","813-650-6255","TAMPA","Hillsborough"
"48FORTY","","","","55","Ground water","P.O. BOX 207
HOMELAND, FL 33847","863-533-2285","HOMELAND","Polk"
"4B FOOD STORE","","","","25","Ground water","8115 SWISS CHARD CIR
LAND O' LAKES, FL 34637","352-799-2172","SPRING HILL","Pasco"
"5707 DOWNING STREET","","","","54","Ground water","PO BOX 564
SYDNEY, FL 33587","813-545-9116","DOVER","Hillsborough"
"60 FOOD MART LLC","","","","50","Ground water","4075 SR 60 W
MULBERRY, FL 33860","813-425-2233","MULBERRY","Polk"
"7 ELEVEN - GOLDEN GATE","","","","500","Ground water","9634 BLUE STONE CIRCLE
FORT MYERS, FL 33913","727-415-8199","NAPLES","Collier"
"7-11 #25783/192 S CLERMONT","","","","25","Ground water","1722 ROUTH ST.
SUITE 1000
DALLAS, TX 75201","407-460-4838","CLERMONT","Lake"
"7-11 #33105A","","","","100","Ground water","3629 STATE ROAD 60 E
VALRICO, FL 33594","813-657-4648","VALRICO","Hillsborough"
"7-11 #35369","","","","25","Ground water","10 COLUMBUS BLVD.
FOURTH FLOOR
HARTFORD, CT 06106","407-496-8168","BROOKSVILLE","Hernando"
"7-ELEVEN NO. 38237 BELL BLVD LLC","","","","58","Ground water","3900 GALT OCEAN DR
#2617
FORT LAUDERDALE, FL 33308","613-746-1647","LEHIGH ACRES","Lee"
"7-ELEVEN STORE #32702","","","","100","Ground water","P.O. BOX 219088
DALLAS, TX 75221","407-496-8168","DOVER","Hillsborough"
"700A COUNTRY STORE ; DINER","","","","30","Ground water","PO BOX 1088
SEBRING, FL 33871","863-471-1400","OKEECHOBEE","Okeechobee"
"714 BURNT STORE RD, LLC-7-ELEVEN STORE","","","","400","Ground water","900 SW PINE ISLAND ROAD, SUITE 202
CAPE CORAL, FL 33991","239-210-0455","CAPE CORAL","Lee"
"76 GOLF WORLD","","","","310","Ground water","6801 SOUTH KANNER HIGHWAY
STUART, FL 34997","772-220-7676","STUART","Martin"
"84 LUMBER COMPANY","","","","30","Ground water","1019 ROUTE 519
EIGHTY-FOUR, PA 15330","800-664-1984","RUSKIN","Hillsborough"
"88 GROCERY STORE","","","","25","Ground water","20271 SE 142 PL
UMATILLA, FL 32784","352-288-6090","FT MCCOY","Marion"
"8910 EXECUTIVE CENTER I","","","","40","Ground water","PO BOX 270004
TAMPA, FL 33688","813-961-3711","TAMPA","Hillsborough"
"8910 EXECUTIVE CENTER II","","","","40","Ground water","PO BOX 270004
TAMPA, FL 33688","813-961-3711","TAMPA","Hillsborough"
"A ; B RV ; MHP","","","","25","Ground water","230- M HAIRE LANE
AUBURNDALE, FL 33823","863-665-1115","AUBURNDALE","Polk"
"A CAMPERS WORLD RV PARK","","","","25","Ground water","397 CAMPGROUND ROAD
LAMONT, FL 32336","850-933-9747","LAMONT","Jefferson"
"A GROWING PLACE CHILD CARE","","","","45","Ground water","18555 OLD CHENEY HWY
ORLANDO, FL 32820","407-568-0402","ORLANDO","Orange"
"A H SANDERSON","","","","25","Ground water","2713 BARROW DRIVE
MERRITT ISLAND, FL 32952","321-576-7171","SANDERSON","Baker"
"A K FOOD STORE","","","","100","Ground water","287 SR 207
EAST PALATKA, FL 32131","386-383-6753","EAST PALATKA","Putnam"
"A LITTLE KIDS ACADEMY","","","","55","Ground water","11105 E US 92
SEFFNER, FL 33584","727-492-1242","SEFFNER","Hillsborough"
"A'S PLACE","","","","50","Ground water","237 GOLDEN BOUGH ROAD
LAKE WALES, FL 33898","863-696-1102","LAKE WALES","Polk"
"A-OK CAMPGROUND","","","","32","Ground water","6925 THORNHILL ROAD
WINTER HAVEN, FL 33880","863-292-9288","WINTER HAVEN","Polk"
"A. DUDA ; SONS, INC.","","","","405","Ground water","P.O. BOX 620257
OVIEDO, FL 32762-0257","407-365-2103","LABELLE","Hendry"
"A. DUDA ; SONS,INC(M.HOWELLER)","","","","100","Ground water","P.O.BOX 208
BELLE GLADE, FL 33430-0208","561-996-7621","BELLE GLADE","Palm Beach"
"A;B WIRELESS","","","","100","Ground water","2801 N US-1
FORT PIERCE, FL 34951","954-701-5555","FT. PIERCE","St. Lucie"
"AAA AUTO CLUB SOUTH","","","","25","Ground water","2100 S TAMIAMI TRAIL
VENICE, FL 34293","941-493-2100","VENICE","Sarasota"
"AAT OMEGA","","","","75","Ground water","6670 SPRING LAKE ROAD
KEYSTONE HEIGHTS, FL 32656","352-473-6673","KEYSTONE HEIGHTS","Clay"
"ABC ACADEMY OF BELLEVIEW","","","","100","Ground water","13160 SE CR 484
BELLEVIEW, FL 34420","352-362-4937","BELLEVIEW","Marion"
"ABC MONTESSORI OF JUPITER FARMS","","","","100","Ground water","17963 103RD TERRACE N
JUPITER, FL 33478","561-575-9616","JUPITER","Palm Beach"
"ABUNDANT BLESSINGS ASSEMBLY","","","","70","Ground water","PO BOX 813
OKEECHOBEE, FL 34973","863-763-3736","OKEECHOBEE","Okeechobee"
"ABUNDANT LIFE MINISTRIES","","","","100","Ground water","890 US 19 NORTH
PALATKA, FL 32177","386-325-2795","PALATKA","Putnam"
"ACA CAMP LAKE GENEVA (2 WPS)","","","","25","Ground water","36540 VIA MARCIA
FRUITLAND PARK, FL 34731","352-617-1026","FRUITLAND PARK","Lake"
"ACADEMY AT THE FARM","","","","95","Ground water","9500 ALEX LANGE WAY
DADE CITY, FL 33525","352-588-9737","DADE CITY","Pasco"
"ACADEMY OF MONTESSORI INTERNATIONAL","","","","55","Ground water","8353 GOLDEN PRAIRIE DR
TAMPA, FL 33647","813-728-7893","THONOTOSASSA","Hillsborough"
"ACADEMY OF TAMPA INC","","","","58","Ground water","PO BOX 290620
TAMPA, FL 33687","813-992-6158","TAMPA","Hillsborough"
"ACORN CLINIC","","","","50","Ground water","23320 N. SR 235
BROOKER, FL 32622","352-485-1133","BROOKER","Alachua"
"ACOSTA CREEK MARINA LLC","","","","25","Ground water","124 ACOSTA CREEK DR.
SATSUMA, FL 32189","386-467-2229","SATSUMA","Putnam"
"ACTS (AGENCY FOR COMMUNITY TREATMENT)","","","","25","Ground water","4612 N 56 ST
TAMPA, FL 33610","813-246-4899","THONOTOSASSA","Hillsborough"
"ADELAIDE SHORES RV RESORT","","","","400","Ground water","2881 US 27 NORTH
AVON PARK, FL 33825","863-634-3295","AVON PARK","Highlands"
"ADENA BEEF PROCESSING FACILITY","","","","50","Ground water","PO BOX 450
FORT MCCOY, FL 32134","352-546-3000","FORT MCCOY","Marion"
"ADENA SPRINGS HOUSING FACILITY","","","","25","Ground water","15045 NW 141ST CT.
WILLISTON, FL 32696","352-528-1287","OCALA","Marion"
"ADESA-OCALA AUTO AUCTION","","","","25","Ground water","540 SW 38TH AVE.
OCALA, FL 34474","352-351-5100","OCALA","Marion"
"ADMINISTRATIVE SERVICE CENTER - REGION 1","","","","60","Ground water","501 S. CALHOUN ST.
TALLAHASSEE, FL 32399-2500","850-717-3926","MARIANNA","Jackson"
"ADVANCE AUTO PARTS  # 9244","","","","25","Ground water","5008 AIRPORT RD
ROANOKE, VA 24012","540-561-8492","GREEN COVE SPRINGS","Clay"
"ADVANCE AUTO PARTS  # 9307","","","","25","Ground water","5008 AIRPORT RD
ROANOKE, VA 24012","540-561-8492","KEYSTONE HEIGHTS","Clay"
"ADVANCE AUTO PARTS  # 9395","","","","25","Ground water","5008 AIRPORT RD
ROANOKE, VA 24012","540-561-8492","MIDDLEBURG","Clay"
