"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"101 GROCERY","","","","25","Ground water","3287 HWY 101
GAMALIEL, AR 72537","870-467-5223","","Baxter"
"1195 PRIMO WMSC0373 HUNTSVILLE","","","","30","Surface water purchased","101 N CHERRY ST SUITE 501
WINSTON-SALEM, NC 27101","651-681-4057","","Madison"
"1196 PRIMO WMNM7317 GREENBRIAR","","","","30","Surface water purchased","101 N CHERRY ST SUITE 501
WINSTON-SALEM, NC 27101","651-681-4057","","Faulkner"
"3B OFF ROAD, LLC","","","","25","Ground water","10 MINT RIDGE ROAD
EUREKA SPRINGS, AR 72632","479-740-8505","","Carroll"
"4-H CENTER","","","","40","Ground water","#1 FOUR - H WAY
LITTLE ROCK, AR 72223","501-313-9234","","Pulaski"
"ACORN RURAL WATER ASSN","","","","1,975","Surface water purchased","not submitted
NOT SUBMITTED, AR 72205","479-216-2312","","Polk"
"ADC - CUMMINS UNIT MAINT","","","","3,800","Ground water","PO BOX 500
GRADY, AR 71644","501-842-2519","","Lincoln"
"ADC - TUCKER UNIT MAINT","","","","1,850","Ground water","PO BOX 500
GRADY, AR 71644","501-842-2519","","Jefferson"
"ADC EAST ARKANSAS REGIONAL","","","","1,650","Ground water","PO BOX 970
MARIANNA, AR 72360","870-295-4700","","Lee"
"AHTD HARRISON 9 HEADQUARTERS","","","","90","Ground water","PO BOX 610
HARRISON, AR 72601","870-745-2100","","Boone"
"AHTD MARION COUNTY","","","","25","Ground water","P O BOX 561
YELLVILLE, AR 72687","870-449-6821","","Marion"
"AHTD-LONSDALE REST AREA","","","","25","Ground water","3600 ALBERT PIKE
HOT SPRINGS, AR 71913","501-623-8312","","Garland"
"AIRPORT ROAD WATER ASSOCIATION","","","","525","Ground water purchased","P O BOX 781
LAKE VILLAGE, AR 71653","870-265-3212","","Chicot"
"ALBEMARLE CORPORATION SOUTH","","","","550","Ground water","P O BOX 729
MAGNOLIA, AR 71753-0000","870-235-6000","","Columbia"
"ALBEMARLE CORPORATION WEST","","","","150","Ground water","P O BOX 729
MAGNOLIA, AR 71753","870-235-6000","","Columbia"
"ALEXA SPRINGS WATER COMPANY","","","","25","Surface water","1055 OWLEY RD
MOUNT IDA, AR 71957","870-867-3606","","Montgomery"
"ALICIA WATER SYSTEM","","","","124","Ground water purchased","654 KYLER ROAD
BATESVILLE, AR 72501","888-776-0334","","Lawrence"
"ALMA WATERWORKS","","","","5,978","Surface water","811 FAYETTEVILLE AVE
ALMA, AR 72921-0000","479-632-2254","","Crawford"
"ALMYRA WATERWORKS","","","","406","Ground water","P O BOX 189
ALMYRA, AR 72003-0000","870-673-2990","","Arkansas"
"ALPENA WATERWORKS","","","","550","Surface water purchased","P O BOX 74
ALPENA, AR 72611-0074","870-437-2245","","Boone"
"ALPINE WATER ASSOCIATION","","","","780","Surface water purchased","1036 FENDLEY RD
AMITY, AR 71921-0000","870-342-5839","","Clark"
"ALTHEIMER WATERWORKS","","","","829","Ground water","PO BOX 728
ALTHEIMER, AR 72004","870-267-3075","","Jefferson"
"ALTUS WATERWORKS","","","","1,820","Surface water purchased","PO BOX 214
ALTUS, AR 72821","479-468-4192","","Franklin"
"AMITY WATERWORKS","","","","753","Surface water","P O BOX 197
AMITY, AR 71921","870-342-5822","","Clark"
"ANCHORS LANDING AT WOOD POINT RV PARK","","","","72","Ground water","2533 CR 792
JONESBORO, AR 72401","870-373-0943","","Baxter"
"ANGLERS RESTURANT","","","","50","Ground water","14581 HWY 62 WEST
EUREKA SPRINGS, AR 72632","479-253-4004","","Carroll"
"ANTOINE WATERWORKS","","","","563","Ground water","P O BOX 87
DELIGHT, AR 71940","879-379-2070","","Pike"
"AR DEPT OF CORRECTION IZARD CO","","","","800","Ground water","PO BOX 500
GRADY, AR 71644","501-842-2519","","Izard"
"ARK POST NATIONAL MEMORIAL","","","","100","Ground water","1741 OLD POST ROAD
GILLET, AR 72055","870-548-2207","","Arkansas"
"ARK S/P BEECH POINT CAMPGROUND","","","","25","Ground water purchased","2955 HWY 44
MARIANNA, AR 72360","870-295-4040","","Lee"
"ARK ST PARK-QUEEN WILHELMINA","","","","223","Surface water purchased","3877 HIGHWAY 88 WEST
MENA, AR 71953","479-394-2863","","Polk"
"ARK STATE PARK MT MAGAZINE","","","","128","Surface water purchased","16878 HWY 309 S
PARIS, AR 72855","479-963-5237","","Logan"
"ARKADELPHIA WATERWORKS","","","","10,548","Surface water","not provided
NOT PROVIDED, AR 72205","870-246-2321","","Clark"
"ARKANSAS CITY WATERWORKS","","","","366","Ground water","PO BOX 369
ARKANSAS CITY, AR 71630","870-501-9279","","Desha"
"ARKANSAS HEALTH CENTER","","","","1,000","Surface water","6701 HIGHWAY 67
BENTON, AR 72015-8489","501-860-0620","","Saline"
"ARSENAL WATER SYSTEM","","","","2,577","Ground water","10020 KABRICH CIRCLE
WHITE HALL, AR 71602","870-540-3351","","Jefferson"
"ASH FLAT WATER COMPANY","","","","1,082","Ground water","P O BOX 280
ASH FLAT, AR 72513-0280","870-994-2885","","Fulton, Sharp"
"ASHDOWN WATERWORKS","","","","4,723","Ground water","161 W COMMERCE
ASHDOWN, AR 71822","870-898-3512","","Little River"
"ASHLEY MINERAL SPRING","","","","25","Surface water","PO BOX 593
CROSSETT, AR 71635","870-364-4856","","Ashley"
"ATKINS WATER SYSTEM","","","","4,439","Surface water","po box 128
ATKINS, AR 72823","479-968-2782","","Pope"
