"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ACCESS HEALTH WILLIAMSBURG","","","","25","Ground water","
101 CRANBERRY CREEK DRIVE
BECKLEY, WV 25801","304-692-6406","WILLIAMSBURG","Greenbrier"
"ADRIAN P S D","","","","5,295","Surface water purchased","
PO BOX 87
FRENCH CREEK, WV 26218","304-924-6107","FRENCH CREEK","Upshur"
"ADVENTURE WEST VIRGINIA","","","","25","Surface water purchased","
25 ESTATE DR
MORGANTOWN, WV 26508","304-293-7136","MORGANTOWN","Monongalia"
"ALBRIGHT TOWN OF","http://albrighttownof.com/CCR2017","","","333","Surface water purchased","
2960 SAINT JOE ROAD
ALBRIGHT, WV 26519","304-329-1895","ALBRIGHT","Preston"
"ALDERSON WATER","","","","2,458","Surface water","
PO BOX 179
ALDERSON, WV 24910","304-445-2916","ALDERSON","Greenbrier"
"ALFREDOS","","","","25","Ground water","YES
673 GWINN SIDING ROAD
MEADOW BRIDGE, WV 25976","304-438-5605","RAINELLE","Greenbrier"
"ALLENS WONDERLAND","","","","157","Ground water","
3578 BAKERTON ROAD
HARPERS FERRY, WV 25425","304-876-6642","BAKERTON, HARPERS FERRY","Jefferson"
"ALPINE LAKE PUBLIC UTILITIES","","","","1,339","Ground water","
1813 ALPINE LAKE ROAD
TERRA ALTA, WV 26764","304-789-6996","TERRA ALTA","Preston"
"ALPINE SHORE INC - CAMPGROUND","","","","25","Ground water","
84 FALCOLM DRIVE
BOWDEN, WV 26254","304-636-4311","BOWDEN","Randolph"
"ALPINE SHORES - UPPER CAMPGROUND","","","","60","Ground water","
84 FALCOLM DRIVE
BOWDEN, WV 26254","304-636-4311","BOWDEN","Randolph"
"ALPINE SPRINGS LODGE","","","","25","Ground water","
84 FALCOLM DRIVE
BOWDEN, WV 26254","304-636-4311","BOWDEN","Randolph"
"ALTA STATION","","","","25","Ground water","
2074 HENSON ROAD
CRAWLEY, WV 24931","304-645-9015","ALTA","Greenbrier"
"ALYESKA - BIG BEAR LAKE STORE","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","52","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","ALYESKA INC., BIG BEAR LAKE
450 BIG BEAR LAKE ROAD
BRUCETON MILLS, WV 26525","304-379-4382","BRUCETON MILLS","Preston"
"ALYESKA INC","","","","50","Ground water","
452 FEATHER LANE
ALBRIGHT, WV 26519","304-698-2090","BRUCETON MILLS","Preston"
