"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"76 RANCH ESTATES","","","","40","Ground water","11824 NEMO
DEADWOOD, SD 57732","","DEADWOOD, STURGIS","Lawrence"
"ABERDEEN","","","","26,091","Surface water","12668 391ST  AVENUE
ABERDEEN, SD 57401","6056267074","ABERDEEN","Brown"
"ALCESTER","","","","885","Ground water purchased","PO BOX 318
ALCESTER, SD 57001","6059342851","ALCESTER","Union"
"ALEXANDRIA","","","","615","Surface water purchased","PO BOX 157
ALEXANDRIA, SD 57311","6052394220","ALEXANDRIA","Hanson"
"ALPENA","","","","286","Surface water purchased","PO BOX 318
MILLER, SD 57362","6058533159","ALPENA, MILLER","Jerauld"
"AMERICAN BUFFALO RESORT","","","","270","Ground water","13752 S HIGHWAY 16
RAPID CITY, SD 57702","6053425368","RAPID CITY","Pennington"
"AMHERST WATER COMPANY","","","","40","Ground water purchased","PO BOX 49
BRITTON, SD 57430","6054485417","AMHERST, BRITTON","Marshall"
"APPLE SPRINGS SUBDIVISION","","","","50","Ground water","1560 CONCOURSE DRIVE
RAPID CITY, SD 57703","6053417800","FLOWER MOUND, RAPID CITY","Lawrence"
"ARLINGTON","","","","930","Ground water purchased","PO BOX 379
ARLINGTON, SD 57212","6059835251","ARLINGTON","Kingsbury"
"ARMOUR","","","","702","Surface water purchased","PO BOX 415
ARMOUR, SD 57313","6057242277","ARMOUR","Douglas"
"AURORA","","","","850","Ground water purchased","PO BOX 335
AURORA, SD 57002","6056933548","AURORA","Brookings"
"AURORA-BRULE RURAL WATER SYSTEM","","","","2,600","Surface water","PO BOX 140
KIMBALL, SD 57355","6057786110","KIMBALL","Aurora, Brule, Buffalo, Davison, Douglas, Jerauld"
"AUTUMN MEADOWS SANITARY DISTRICT","","","","40","Ground water","5310 EBONY PLACE
PIEDMONT, SD 57769","6053917483","BLACK HAWK, PIEDMONT","Meade"
"AVON","","","","590","Surface water purchased","PO BOX 207
AVON, SD 57315","6052863747","AVON","Bon Homme"
"B & J MOBILE HOME PARK","","","","135","Ground water","PO BOX 9141
RAPID CITY, SD 57709","","PIEDMONT, RAPID CITY","Pennington"
"BADGER","","","","140","Ground water purchased","PO BOX 44
BADGER, SD 57214","6059835121","BADGER","Kingsbury"
"BADLANDS/WHITE RIVER KOA KAMPGROUND","","","","183","Ground water","20720 SD HWY 44
INTERIOR, SD 57750","6054335337","INTERIOR","Jackson"
"BALTIC","","","","1,177","Ground water purchased","PO BOX 327
BALTIC, SD 57003","6055295497","BALTIC","Minnehaha"
"BATESLAND","","","","148","Surface water purchased","PO BOX 790 - 21809 OLD HWY 18
MARTIN, SD 57551","6054551367","BATESLAND, MARTIN","Shannon"
"BEAR BUTTE VALLEY WATER","","","","488","Ground water","PO BOX 351
STURGIS, SD 57785","6052060703","STURGIS","Meade"
"BEAR COUNTRY USA","","","","1,021","Ground water","PO BOX 761
BLACK HAWK, SD 57718","6057864366","BLACK HAWK, RAPID CITY","Pennington"
"BEAVER LAKE CAMPGROUND","","","","400","Ground water","12005 W HWY 16
CUSTER, SD 57730","6056732464","CUSTER","Custer"
"BELLE FOURCHE","","","","5,594","Ground water","511 SIXTH AVENUE
BELLE FOURCHE, SD 57717","6058922494","BELLE FOURCHE","Butte"
"BERESFORD","","","","2,005","Ground water purchased","101 NORTH THIRD STREET
BERESFORD, SD 57004","6057632989","BERESFORD","Union"
"BESTGEN ADDITION WATER COMPANY","","","","73","Ground water","5310 EBONY PLACE
PIEDMONT, SD 57769","","PIEDMONT, STURGIS","Meade"
"BICENTENNIAL TRAILER COURT","","","","75","Ground water","1040 N AMES
SPEARFISH, SD 57783","6056414360","SPEARFISH","Lawrence"
"BIG PINE CAMPGROUND","","","","111","Ground water","12084 BIG PINE ROAD
CUSTER, SD 57730","6056734054","CUSTER","Custer"
"BIG SIOUX COMMUNITY WATER SYSTEM","","","","5,337","Ground water","23343 479TH AVE
EGAN, SD 57024","6059972098","EGAN","Brookings, Lake, Moody"
"BIG STONE CITY","","","","467","Ground water purchased","PO BOX 246
BIG STONE CITY, SD 57216","6058628121","BIG STONE CITY","Grant"
"BISON","","","","333","Surface water purchased","PO BOX 910
BISON, SD 57620","6052445677","BISON","Perkins"
"BLACK HAWK OIL COMPANY","","","","150","Ground water","PO BOX 740
BLACK HAWK, SD 57718","6057185921","BLACK HAWK","Custer"
"BLACK HAWK WATER USER DISTRICT","","","","3,750","Ground water","PO BOX 476
BLACK HAWK, SD 57718","6057875777","BLACK HAWK","Meade"
"BLACK HILLS CABINS AND MOTEL @ QUAIL","","","","59","Ground water","24060 HIGHWAY 385
HILL CITY, SD 57745","6053913217","HILL CITY","Pennington"
"BLACK HILLS CHAIRLIFT","","","","150","Ground water","PO BOX 761
BLACK HAWK, SD 57718","6057864366","BLACK HAWK, LEAD","Lawrence"
"BLACK HILLS CHILDREN'S HOME","","","","105","Ground water","PO BOX 9141
RAPID CITY, SD 57709","","RAPID CITY, SIOUX FALLS","Pennington"
"BLACK HILLS NATIONAL CEMETERY","","","","30","Ground water","20901 PLEASANT VALLEY DRIVE
STURGIS, SD 57785","6053473830","STURGIS","Meade"
"BLACK HILLS RETREAT CENTER 1","","","","71","Ground water","12145 PAHASAPA ROAD
DEADWOOD, SD 57732","6055789965","DEADWOOD, SIOUX FALLS","Lawrence"
"BLACK HILLS RETREAT CENTER 2","","","","25","Ground water","12145 PAHASAPA ROAD
DEADWOOD, SD 57732","6055789965","DEADWOOD, SIOUX FALLS","Lawrence"
"BLACK HILLS WATER DISTRIBUTION, LLC","","","","0","Ground water","19098 KNOLLWOOD LANE
BELLE FOURCHE, SD 57717","","BELLE FOURCHE","Butte"
"BLUCKSBERG MOUNTAIN #1","","","","223","Ground water","5310 EBONY PLACE
PIEDMONT, SD 57769","6053917483","PIEDMONT, STURGIS","Meade"
"BLUCKSBERG MOUNTAIN #2","","","","333","Ground water","5310 EBONY PLACE
PIEDMONT, SD 57769","6053917483","PIEDMONT, STURGIS","Meade"
"BLUE WING RECREATION AREA","","","","200","Ground water","PO BOX 9322
RAPID CITY, SD 57709","6055744360","HILL CITY, RAPID CITY","Pennington"
"BLUMENGARD COLONY","","","","115","Ground water","35075 148TH STREET
FAULKTON, SD 57438","6053243320","ABERDEEN, FAULKTON","Faulk"
"BLUNT","","","","354","Surface water purchased","PO BOX 318
MILLER, SD 57362","6058533159","BLUNT, MILLER","Hughes"
"BON HOMME-YANKTON RWS","","","","12,448","Surface water","PO BOX 248
TABOR, SD 57063","6054632531","AVON, TABOR","Bon Homme, Douglas, Hanson, Hutchinson, McCook, Turner, Yankton"
