"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"301 PLAZA","","","","300","Ground water","921 Middletown-Warwick Rd
MIDDLETOWN, DE 19709","302-376-4301","MIDDLETOWN","New Castle"
"ABBOTTS MILL NATURE CENTER","","","","60","Ground water","15411 Abbotts Mill Road
MILFORD, DE 19963","302-422-0847","MILFORD","Sussex"
"AKRIDGE SCOUT RESERVATION","","","","354","Ground water","1910 Baden Powell Way
DOVER, DE 19904","302-622-3300","DOVER","Kent"
"ALLEN HARIM - DAGSBORO HATCHERY","","","","47","Ground water","29984 Pinnacle Way
P.O. Box 1380
MILLSBORO, DE 19966","302-684-1640","","Sussex"
"ALLEN HARIM - PINNACLE PROCESSING PLANT","","","","165","Ground water","29984 Pinnacle Way
P.O. Box 1380
MILLSBORO, DE 19966","302-684-1640","MILLSBORO","Sussex"
"ALLEN HARIM - SEAFORD FEED MILL","","","","34","Ground water","29984 Pinnacle Way
P.O. Box 1380
MILLSBORO, DE 19966","302-684-1640","SEAFORD","Sussex"
"ALLEN HARIM FOODS INC","","","","750","Ground water","29984 Pinnacle Way
P.O. Box 1380
MILLSBORO, DE 19966","302-684-1640","HARBESON","Sussex"
"AMERICAN CLASSIC GOLF CLUB, LLC.","","","","32","Ground water","908 NEW BLOOMFIELD ROAD
DUNCANNON, PA 17020","302-703-6662","LEWES","Sussex"
"ANGOLA BEACH ESTATES","","","","1,275","Ground water","22971 Suburban Blvd
LEWES, DE 19958","302-945-5186","LEWES","Sussex"
"ANGOLA CREST I","","","","60","Ground water","34251 Thomas Drive
LEWES, DE 19958","302-945-0579","LEWES","Sussex"
"ANGOLA CREST II","","","","159","Ground water","34251 Thomas Drive
LEWES, DE 19958","302-945-0579","LEWES","Sussex"
"ANGOLA PUMP DISTRICT","","","","11,350","Ground water","1100 South Little Creek Road
DOVER, DE 19901","302-734-7500","LEWES","Sussex"
"ANYO PROPERTIES","","","","52","Ground water","PO BOX 1827
SEAFORD, DE 19973","302-629-3099","SEAFORD","Sussex"
"ARBYS - LEWES","","","","675","Ground water","P.O. Box 556
GEORGETOWN, DE 19947","302-856-2555","LEWES","Sussex"
"ARTESIAN NORTHERN SUSSEX REGIONAL","","","","5,511","Ground water","664 Churchmans Road
NEWARK, DE 19702","302-453-6925","LEWES","Sussex"
