"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"#5 HILLS TEE BOYNE HIGHLANDS","","","","25","Ground water","600 HIGHLAND DRIVE
HARBOR SPRINGS, MI 49740","231-526-3031","","Emmet"
"#5 ROSS TEE BOYNE HIGHLANDS","","","","25","Ground water","600 HIGHLANDS DRIVE
HARBOR SPRINGS, MI 49740","231-526-3031","","Emmet"
"10063 DIXIE","","","","100","Ground water","10370 HADLEY RD
CLARKSTON, MI 48348","248-298-6564","","Oakland"
"10TH TEE ROSS COURSE SNACKBAR","","","","25","Ground water","600 HIGHLANDS DRIVE
HARBOR SPRINGS, MI 49740","231-526-3031","","Emmet"
"115 TRUCK STOP","","","","50","Ground water","14547 22 1/2 MILE ROAD
MARSHALL, MI 49068","269-781-9616","","Calhoun"
"117 PJ FUEL, INC.","","","","200","Ground water","1615 SHAKER HEIGHTS
BLOOMFIELD HILLS, MI 48304","248-852-4599","","Ingham"
"12 CORNERS VINEYARDS","","","","26","Ground water","1201 NORTH BENTON CENTER ROAD
BENTON HARBOR, MI 49022","269-927-1512","","Berrien"
"1239 COMSTOCK LLC","","","","35","Ground water","PO BOX 2808
GRAND RAPIDS, MI 49501","888-435-2256","","Ottawa"
"15 OAK SQUARE MALL","","","","300","Ground water","226 W MAIN
FLUSHING, MI 48433","810-659-6162","","Oakland"
"15TH STREET TAVERN","","","","200","Ground water","10081 ORTONVILLE RD
CLARKSTON, MI 48348","","","Oakland"
"18 TAPS LLC","","","","25","Ground water","3340 S M-18
BEAVERTON, MI 48612","989-313-5780","","Gladwin"
"1ST & MAIN LLC","","","","200","Ground water","171 MARGARET ST.
PIGEON, MI 48755","989-414-0594","","Huron"
"1ST BAPTIST CHURCH","","","","110","Ground water","P.O. Box 545
CASPIAN, MI 49915-0545","906-265-9348","","Montcalm"
"20TH CENTURY BLDG CO - BLDG #8","","","","80","Ground water","7879 WINANS LAKE RD
BRIGHTON, MI 48116","810-231-3300","","Livingston"
"20TH CENTURY BLDG CO - BLDGS #11 & 12","","","","80","Ground water","7879 WINANS LAKE RD.
BRIGHTON, MI 48116","810-231-3300","","Livingston"
"20TH CENTURY BLDG CO - BLDGS #9 & 10","","","","120","Ground water","7879 WINANS LAKE RD
BRIGHTON, MI 48116","810-231-3300","","Livingston"
"211 BAR AND GRILL","","","","75","Ground water","21816 BONZ BEACH HWY
ONAWAY, MI 49765","989-306-3732","","Presque Isle"
"211 OUTPOST COUNTRY STORE","","","","25","Ground water","3482 M-211 HWY.
ONAWAY, MI 49765","989-733-2825","","Presque Isle"
"3-D PIZZA","","","","100","Ground water","8696 THIRD STREET
VESTABURG, MI 48891","989-268-9699","","Montcalm"
