"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"1 - 3 NEW KING STREET","","","","25","Groundwater under influence of surface water","
1 New King St, Ste 201
WEST HARRISON, NY 10604","914-448-8300","NORTH CASTLE (T)","Westchester"
"1 BYRAM BROOK PL.","","","","50","Ground water","Lake Group Media, LLc
1 Byram Brook Pl
ARMONK, NY 10504","","","Westchester"
"1 FRONT STREET","","","","25","Ground water","PO Box 153
PATTERSON, NY 12563","914-906-1735","PATTERSON (T)","Putnam"
"10 CORPORATE PARK","","","","61","Ground water","
4 Nancy Court, Suite 3
WAPPINGERS FALLS, NY 12590","845-897-2664","EAST FISHKILL (T)","Dutchess"
"10 NEW KING STREET ASSOCIATES","","","","170","Groundwater under influence of surface water","New King Holding LLC
10 New King St.
WHITE PLAINS, NY 10604","914-681-5100","NORTH CASTLE (T)","Westchester"
"1070-1072 ROUTE 9","","","","25","Ground water","
14 ST. ANDREWS LN
HOPEWELL JCTN, NY 12533","","WAPPINGER (T)","Dutchess"
"11 NORTH BAR & GRILL, LLC","","","","165","Ground water","5233 US ROUTE 11
PULASKI, NY 13142","315-298-6797","RICHLAND (T)","Oswego"
"1122 ROUTE 9D LLC","","","","25","Ground water","1122 Route 9D
GARRISON, NY 10524","","COLD SPRING (V)","Putnam"
"12 NORTH SPORTS BAR","","","","100","Ground water","CONVERSE LABORATORIES, INC.
800 STARBUCK AVE - SUITE B101
WATERTOWN, NY 13601","800-427-5227","DEERFIELD (T)","Oneida"
"121 RESTAURANT/BAR","","","","100","Ground water","121 Restaurant/Bar
4 Dingle Ridge Rd
NORTH SALEM, NY 10560","914-699-0121","NORTH SALEM (T)","Westchester"
"123 P.L.A.Y. PRESCHOOL","","","","25","Ground water","123 P.L.A.Y. PRESCHOOL
437 NEW PALTZ ROAD
HIGHLAND, NY 12528","845-691-3593","LLOYD (T)","Ulster"
"1336 ENTERPRISE INC","","","","25","Ground water","
1336 Route 9
WAPPINGERS FALLS, NY 12590","","WAPPINGER (T)","Dutchess"
"158 ROUTE 22, LLC","","","","115","Ground water","ECCO Developement LLC
201 Saw Mill River Road
YONKERS, NY 10701","914-963-3600","NEW YORK (C), PAWLING (T)","Dutchess"
"17 DOWNS LLC","","","","50","Ground water","1119 52 Street
BROOKLYN, NY 11219","","THOMPSON (T)","Sullivan"
"17 MILE VARAK, LLC","","","","25","Ground water","15 WEST MAIN STREET
CAMBRIDGE, NY 12816","518-409-2245","CAMBRIDGE (V)","Washington"
"17 RAILROAD STREET","","","","60","Ground water","
Box 222
FREEVILLE, NY 13068","607-844-8459","FREEVILLE (V)","Tompkins"
