"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"195 LOUNGE, BAR & GRILL","","","","150","Ground water","255 CHARLENE DR
BYRAM, MS 39272","601-716-3195","HATTIESBURG","Forrest"
"51-55 WATER ASSOCIATION","","","","486","Ground water purchased","968 LODI ROAD
WINONA, MS 38967","","","Montgomery"
"53 QUICK STOP","","","","65","Ground water","26333 HWY 53
SAUCIER, MS 39574","228-832-7000","GULFPORT","Harrison"
"ACL WATER ASSOCIATION #1","","","","1,698","Ground water","1182 HWY 43 SOUTH
PELAHATCHIE, MS 39145","601-546-2322","","Rankin"
"ACL WATER ASSOCIATION #2","","","","1,542","Ground water","1182 HWY 43 SOUTH
PELAHATCHIE, MS 39145","601-546-2322","","Rankin"
"ACONA WATER ASSOCIATION #1","","","","1,560","Ground water","P O BOX 37
LEXINGTON, MS 39095","662-834-3122","","Holmes"
"ADAMS CO W/A #2-SOUTH","","","","7,878","Ground water","1000 HWY 569
FERRIDAY, LA 71334","601-446-6616","","Adams"
"ADAMS CO W/A #4-KAISER LAKE","","","","8,113","Ground water","1000 HWY 569
FERRIDAY, LA 71334","601-446-6616","","Adams"
"ADATON W/A #1-JOSEY CREEK","","","","2,060","Ground water","P O BOX 1797
STARKVILLE, MS 39760","662-324-7388","","Oktibbeha"
"AJINOMOTO FOODS NORTH AMERICA, INC","","","","300","Ground water","PO BOX 664
WATER VALLEY, MS 38965","662-473-2091","","Yalobusha"
"ALCORN STATE UNIVERSITY","","","","3,824","Ground water","1000 ASU DRIVE #509
ALCORN STATE, MS 39096","601-877-6185","","Claiborne"
"ALCORN W/A #1-INDIAN SPRINGS","","","","6,909","Ground water","P O BOX 1388
CORINTH, MS 38835","662-286-6689","","Alcorn"
"ALCORN W/A #2-BIGGERSVILLE","","","","1,708","Ground water","P O BOX 1388
CORINTH, MS 38835","662-286-6689","","Alcorn"
"ALGOMA WATER ASSOCIATION","","","","6,409","Ground water","P O BOX 123
ALGOMA, MS 38820","662-489-8351","","Pontotoc"
"ALPINE WATER ASSOCIATION","","","","840","Ground water","1108 HWY 9 NORTH
BLUE SPRINGS, MS 38828","662-316-6194","","Union"
"AMERICA'S CATCH CATFISH PLANT","","","","300","Ground water","P O BOX 584
ITTA BENA, MS 38941","662-254-7200","","Leflore"
"AMERICAS CATCH THE FARM","","","","185","Ground water","P O BOX 584
ITTA BENA, MS 38941","662-254-7200","","Leflore"
"ANCHOR WATER ASSOCIATION","","","","2,000","Ground water","75 HWY 9 W
OXFORD, MS 38655","662-513-6006","","Lafayette"
"APPLE VALLEY TRAILER PARK","","","","60","Ground water","6313 SEAWINDS
BILOXI, MS 39532","228-297-0207","","Harrison"
"ARKABUTLA LAKE","","","","220","Ground water","3905 ARKABUTLA DAM RD
COLDWATER, MS 38618","662-301-4586","","Tate"
"ARKABUTLA NORTH CAMPGROUND","","","","200","Ground water","3905 ARKABUTLA DAM RD
COLDWATER, MS 38618","662-301-4586","","DeSoto"
"ARKABUTLA WATER ASSOCIATION","","","","445","Ground water","P O BOX 260
ARKABUTLA, MS 38602","662-562-5768","","Tate"
"ARLINGTON W/A","","","","533","Ground water","P B BOX 665
BEAUMONT, MS 39423","","","Perry"
"ARLINGTON W/A-HINTONVILLE","","","","488","Ground water","P B BOX 665
BEAUMONT, MS 39423","","","Perry"
"ARNOLD LINE WATER ASSOCIATION","","","","7,000","Ground water","118 RAYBURN PL
HATTIESBURG, MS 39402","601-264-7711","","Lamar"
"ASKEW LANDING CAMPGROUND","","","","100","Ground water","3412 ASKEW FERRY ROAD
EDWARDS, MS 39066","601-852-2331","","Hinds"
"ASL WATER ASSOCIATION","","","","710","Ground water","2891 LONGTON RD
SARAH, MS 38665","662-292-2916","","Panola"
"ATLANTA WATER SYSTEM, INC.","","","","700","Ground water","31 CR 462
CALHOUN CITY, MS 38916","662-448-0528","","Chickasaw"
"ATWOOD WATER PARK","","","","100","Ground water","P O BOX 822
MONTICELLO, MS 39654","601-587-0045","","Lawrence"
"BACK ACRES","","","","443","Ground water","P. O. BOX 463
SENATOBIA, MS 38668","662-562-8456","","Tate"
"BARGE FOREST PRODUCTS","","","","92","Ground water","P O BOX 72
MACON, MS 39341","662-726-5841","","Noxubee"
"BARRONTOWN W/A","","","","7,115","Ground water","1586 HWY 42 EAST
PETAL, MS 39465","601-544-3502","","Forrest"
