"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"11TH STREET CAFE","","","","100","Ground water","6030 11TH STREET
ROCKFORD, IL 61109","815-873-1338","","Winnebago"
"161 STORE IT!","","","","25","Surface water purchased","PO BOX 170
ALBERS, IL 62215","618-334-6599","","Clinton"
"1ST CHURCH OF THE NAZARENE","","","","30","Ground water","12745 S BELL
LEMONT, IL 60439","630-349-0454","","Cook"
"1ST CHURCH OF THE OPEN BIBLE","","","","75","Ground water","3800 W STEPHENSON
FREEPORT, IL 61032","815-235-7216","","Stephenson"
"2 NINETY 3","","","","110","Ground water","852 EAST ST.    RTE 116
ASHKUM, IL 60911","815-383-6321","","Iroquois"
"2 RIVERS HEAD START DAY CARE","","","","44","Ground water","1444 LANDMARK RD
AURORA, IL 60506","630-264-1444","","Kane"
"2022 FOODMART INC","","","","25","Ground water","2022 W RT 120
MCHENRY, IL 60050","847-322-2560","","McHenry"
"24 7 ICE PONTIAC","","","","25","Surface water purchased","306 W SECOND ST
ODELL, IL 60460","","","Livingston"
"325 S ROUTE 31 LLC","","","","500","Ground water","172 SOUTH BROADWAY
WHITE PLAINS, NY 10605","914-614-6073","","Kendall"
"3M CORDOVA PLANT","","","","300","Ground water","22614 RT 84 NORTH
CORDOVA, IL 61242","309-654-2291","","Rock Island"
"4 POINT WHISKEY SALOON AND GRILL","","","","100","Ground water","GAYNORS RESTAURANT & PUB
6N744 MEDINAH ROAD
MEDINAH, IL 60157","630-529-2650","","DuPage"
"4 RIVERS ENVIRONMENTAL CENTER","","","","105","Ground water","25055 W WALNUT
CHANNAHAN, IL 60410","815-727-8700","","Will"
"4H CAMP SHAW WAW NAS SEE","","","","240","Ground water","245 West Roosevelt Road Bldg# 5
West Chicago, IL 60185","","","Kankakee"
"5 STAR LEARNING RANCH","","","","46","Ground water","0S0734 WENMOTH RD
BATAVIA, IL 60510","630-879-6898","","Kane"
"600 WAUKEGAN ROAD","","","","100","Ground water","3550 SALT CREEK LANE  #104
ARLINGTON HEIGHTS, IL 60005","224-588-9974","","Cook"
"7 DAY MARKET & RESTAURANT","","","","100","Ground water","1918 N RIVER TERRACE
JOHNSBURG, IL 60051","815-219-3366","","McHenry"
"7 ELEVEN","","","","504","Ground water","3105 - 175TH AVE
SHERRARD, IL 61281","309-593-2981","","Mercer"
"7-ELEVEN","","","","200","Ground water","37763 N GREEN BAY RD
BEACH PARK, IL 60087","","","Lake"
"7TH DAY ADVENTIST CHURCH","","","","80","Ground water","21514 W DIVISION
LOCKPORT, IL 60441","815-730-0664","","Will"
