"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"1 DODGINGTOWN ROAD","","","","38","Ground water","1 DODGINGTOWN ROAD
NEWTOWN, CT 06470","203-426-2715","NEWTOWN","Fairfield"
"1 FERRY ROAD","","","","35","Ground water","P.O. Box 746
OLD LYME, CT 06371","860-434-8016","LYME","New London"
"1 ORCHARD PARK INDUSTRIAL AREA","","","","25","Ground water","40 Mungertown Road
MADISON, CT 06443","203-245-9599","MADISON","New Haven"
"1 SALMON BROOK STREET","","","","80","Ground water","522 SALMON BROOK ST
GRANBY, CT 06035","860-653-7283","GRANBY","Hartford"
"10 PUTNAM ROAD","","","","36","Ground water","PO Box 401
CENTRAL VILLAGE, CT 06332-0401","860-376-5203","PLAINFIELD","Windham"
"100 NEW HAVEN ROAD - DURHAM","","","","25","Ground water","115 Knollwood Drive
WALLINGFORD, CT 06492","860-930-3577","DURHAM","Middlesex"
"100 SHORE ROAD - OLD LYME","","","","25","Ground water","100 Shore Road
OLD LYME, CT 06371","860-434-1414","OLD LYME","New London"
"1019 NORWICH ROAD","","","","25","Ground water","1 CRANSKA ROAD
MOOSUP, CT 06354","860-564-6500","PLAINFIELD","Windham"
"1030 LITCHFIELD ROAD","","","","25","Ground water","1175 Main Street
WATERTOWN, CT 06795","860-274-6786","WATERTOWN","Litchfield"
"1041 NEW HAVEN ROAD - DURHAM","","","","25","Ground water","1041 New Haven Rd
DURHAM, CT 06422","860-349-0460","DURHAM","Middlesex"
"107 MAIN STREET","","","","25","Ground water","P.O. Box 206
NEW HARTFORD, CT 06057-0206","860-379-0575","NEW HARTFORD","Litchfield"
"107 ROUTE 32","","","","25","Ground water","P.O. BOX 58 N
SOUTH WINDHAM, CT 06266","860-456-2755","FRANKLIN","New London"
"1075 NORTH MAIN STREET - KILLINGLY","","","","30","Ground water","Henry R. Hansen Jr.
PO Box 190967
SAN FRANCISCO, CA 94119-0967","510-206-9761","KILLINGLY","Windham"
