"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"#45 SOUTH PLAZA PHASE #1","","","","199","Ground water","270 SPARTA AVE
SUITE 201
SPARTA, NJ 07871","973-729-6175","JEFFERSON TWP.-1414","Morris"
"1 MARS COURT","","","","43","Ground water","8 MARS COURT
PO BOX 116
MONTVILLE, NJ 07045","973-316-5855","MONTVILLE TWP.-1421","Morris"
"1 MILL RIDGE LANE","","","","55","Ground water","6 MILL RDG LN
CHESTER, NJ 07930","908-741-8164","CHESTER BORO-1406","Morris"
"10-31 INC","","","","29","Ground water","2 West Crisman Road
COLUMBIA, NJ 07832","908-496-4946","BLAIRSTOWN TWP.-2104","Warren"
"100 JEFFERSON PROPERTIES, LLC","","","","320","Ground water","100 JEFFERSON ROAD
PARSIPPANY, NJ 07849","201-396-4995","PARSIPPANY TROY-HILLS-1429","Morris"
"151 ROUTE 33 LLC","","","","80","Ground water","3899 ROUTE 516
OLD BRIDGE, NJ 08857","732-682-8675","MANALAPAN TWP.-1326","Monmouth"
"180 GOLDMINE ROAD COMPLEX","","","","92","Ground water","10 MOUNTAIN AVENUE
MONTVILLE, NJ 07045","973-263-8236","MOUNT OLIVE TWP.-1427","Morris"
"186 GOLDMINE ROAD COMPLEX","","","","89","Ground water","10 MOUNTAIN AVENUE
MONTVILLE, NJ 07045","973-263-8236","MOUNT OLIVE TWP.-1427","Morris"
"1ST PRESBYTERIAN CHURCH OF BERNARDSVILLE","","","","62","Ground water","P O BOX 743
BERNARDSVILLE, NJ 07924","908-766-2950","BERNARDSVILLE BORO-1803","Somerset"
"23 PETROLEUM INC","","","","504","Ground water","341 ROUTE 23
POMPTON PLAINS, NJ 07444","908-655-1657","PEQUANNOCK TWP.-1431","Morris"
"2482 PENNINGTON LLC","","","","25","Ground water","162 JEFFERSON RD
PRINCETON, NJ 08540","609-915-3441","HOPEWELL TWP.1106-","Mercer"
"2490 PROFESSIONAL CENTER","","","","35","Ground water","162 JEFFERSON RD
PRINCETON, NJ 08540","609-915-3441","HOPEWELL TWP.1106-","Mercer"
"287 BUILDING CORPORATION","","","","60","Ground water","21 Hungry Harbor Road
VALLEY STREAM, NY 11581","516-708-6559","PINE HILL BORO-0428","Camden"
"2915 ROUTE 23 SOUTH","","","","108","Ground water","10 STONE HOLLOW RD
MONTVALE, NJ 07645","201-930-1229","WEST MILFORD TWP.-1615","Passaic"
"297 RT 31 SOUTH LLC","","","","60","Ground water","60 WESTGATE DRIVE
ANNANDALE, NJ 08801","908-310-2437","WASHINGTON TWP.-2122","Warren"
"2ND PENTECOSTAL CHURCH","","","","55","Ground water","75 IMLAYSTOWN RD
EAST WINDSOR, NJ 08520","609-371-0848","EAST WINDSOR TWP.-1101","Mercer"
