"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"341 BAR & GRILL (SC2972002)","","","","26","Ground water","341 BAR & GRILL
7021 SUNRISE RD
KERSHAW, SC 29067","803-427-2519","KERSHAW","Kershaw"
"341 EXPRESS (2174000)","","","","25","Ground water","1636 JOHNSONVILLE HIGHWAY
LAKE CITY, SC 29560","843-389-4445","LAKE CITY","Florence"
"99 BOAT RAMP (SC2070913)","","","","26","Ground water","DOMINION ENERGY SOUTH CAROLINA INC
220 OPERATION WAY - MC A221
CAYCE, SC 29033","803-217-8262","BLAIR","Fairfield"
"AAA CHASEHUNT FARMS (3250104)","","","","80","Ground water","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","LEXINGTON","Lexington"
"AAA HILTON SOUND (SC3250024)","","","","50","Ground water","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","BALLENTINE","Lexington"
"AAA LAKESIDE FOREST 2 (3250030)","","","","43","Ground water purchased","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","GILBERT","Lexington"
"AAA LANDS POINT S/D (SC4050004)","","","","50","Ground water","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","BALLENTINE","Richland"
"AAA MURRAY HILL ESTATES (SC3250014)","","","","134","Ground water","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","GILBERT","Lexington"
"AAA PERRY WATER SYSTEM (4150007)","","","","88","Ground water","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","LEESVILLE","Saluda"
"AAA RAPHA RESIDENTIAL CARE (3270011)","","","","69","Ground water","RAPHA RESIDENTIAL CARE
3959 FISH HATCHERY RD
GASTON, SC 29053-9038","803-755-6541","GASTON","Lexington"
"AAA RIDGE POINT S/D (3250105)","","","","85","Ground water","3071 HWY 6
LEXINGTON, SC 29073","803-755-1203","GASTON","Lexington"
