"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"5 ROCK RANCH","","","","40","Ground water","23800 NW FLYING M ROAD
YAMHILL, OR 97148","503-662-5678","","Yamhill"
"62 BURGERS AND BREW","","","","30","Ground water","PO BOX 214
TRAIL, OR 97541","541-301-1734","","Jackson"
"62ND COURT MUTUAL WATER CO","","","","50","Ground water","992 62ND COURT NE
SALEM, OR 97317","503-315-8997","","Marion"
"A 1 MARKET #5","","","","50","Ground water","1671 WILLOW LANE
GRANTS PASS, OR 97527","541-479-2240","","Josephine"
"A RIVER RUNS THROUGH","","","","28","Ground water","711 MEDFORD CENTER, PMB 126
MEDFORD, OR 97504","541-245-5151","","Jackson"
"A-FRAME RV PARK","","","","25","Ground water","42534 N CEDAR ROAD
BAKER CITY, OR 97814","541-523-3236","","Baker"
"A1 KENNEDY ALTERNATIVE 45J3","","","","100","Ground water","455 ADAMS AVE
COTTAGE GROVE, OR 97424","541-214-4010","","Lane"
"ABIQUA SCHOOL","","","","160","Ground water","6974 BATES ROAD S
SALEM, OR 97306","503-399-9020","","Marion"
"ADAIR VILLAGE WATER SYSTEM","","","","875","Surface water","6030 WILLIAM R CARR AVE
ADAIR, OR 97330","541-745-5507","","Benton"
"ADAMS WATER DEPT, CITY OF","","","","370","Ground water","PO BOX 20
190 N Main
ADAMS, OR 97810","541-566-9380","","Umatilla"
"ADDIVIA WATER SYSTEM","","","","135","Ground water","12797 KINGS VALLEY HWY
MONMOUTH, OR 97361","503-838-0198","","Polk"
"ADRIAN, CITY OF","","","","180","Ground water","PO BOX 226
ADRIAN, OR 97901","541-372-2179","","Malheur"
"AGAPE FAMILY FELLOWSHIP","","","","100","Ground water","PO BOX 198
TANGENT, OR 97389","541-791-5060","","Linn"
"AGATE CREEK WATER ASSOCIATION","","","","45","Ground water","PO BOX 1028
YACHATS, OR 97498","541-547-8010","","Lane"
"AGATE WATER SYSTEM","","","","2,925","Ground water","60107 MINNETONKA LN
BEND, OR 97702","541-382-2855","","Deschutes"
"AGENCY LAKE RESORT 2  SOUTH","","","","45","Ground water","37000 MODOC POINT RD
CHILOQUIN, OR 97624","541-783-2489","","Klamath"
"AGNESS RV PARK/COUGAR LANE LODGE","","","","223","Ground water","4219 AGNESS ROAD
AGNESS, OR 97406","541-247-4571","","Curry"
"ALBANY MENNONITE CHURCH","","","","30","Ground water","3405 KIZER AVE
ALBANY, OR 97322","541-926-1443","","Linn"
"ALBANY RIFLE & PISTOL CLUB","","","","50","Ground water","29999 SADDLE BUTTE ROAD
SHEDD, OR 97377","541-220-8806","","Linn"
"ALBANY SUPERCROSS","","","","150","Ground water","33648 BERRY LN NE
ALBANY, OR 97321","541-981-1200","","Linn"
"ALBANY TRAILER COURT","","","","130","Ground water","1197 CENTURY DR NE SP 30
ALBANY, OR 97322","541-928-8532","","Linn"
"ALBANY, CITY OF","","","","56,100","Surface water","310 WAVERLY DR NE
ALBANY, OR 97321","541-917-7629","","Linn"
"ALDER CREEK BARLOW WATER DIST","","","","310","Surface water purchased","PO BOX 1981
SANDY, OR 97055","503-806-4734","","Clackamas"
"ALDERWOOD WATER DEV CO","","","","35","Surface water","30086 FEDERAL LN
EUGENE, OR 97402-9763","541-342-1718","","Lane"
"ALDRIDGE DITCH CO WS","","","","49","Ground water purchased","5690 COLLINS RD
HOOD RIVER, OR 97031","541-354-1002","","Hood River"
"ALFALFA STORE","","","","400","Ground water","26161 WILLARD ST
BEND, OR 97701","541-382-0761","","Deschutes"
"ALICES COUNTRY HOUSE","","","","30","Ground water","17345 WILSON RIVER HWY
TILLAMOOK, OR 97141","503-842-2437","","Tillamook"
"ALIVE AND WELL","","","","50","Ground water","2150 N 1ST ST
HERMISTON, OR 97838","541-567-0272","","Umatilla"
"ALLENDALE ELEMENTARY SD 7","","","","475","Ground water","909 NE MADRONE ST
GRANTS PASS, OR 97526","541-474-5787","","Josephine"
"ALPENROSE DAIRY","","","","150","Ground water","6149 SW SHATTUCK RD
PATRICK RYAN
PORTLAND, OR 97221","503-244-1133","","Multnomah"
"ALPINE CREST IMPROVEMENT DIST","","","","91","Ground water","1647 SKY TERRACE SE
SALEM, OR 97306","503-581-6659","","Marion"
"ALPINE OUTPOST","","","","100","Ground water","55285 HWY 204
WESTON, OR 97886","541-215-7854","","Umatilla"
"ALPINE TAVERN","","","","30","Ground water","25200 ALPINE ROAD
MONROE, OR 97456","458-205-4538","","Benton"
"ALSEA COUNTY SERVICE DISTRICT","","","","202","Ground water","360 SW AVERY
CORVALLIS, OR 97333","541-766-6821","","Benton"
"ALSEA RIVER RV PARK","","","","27","Ground water","3911 E ALSEA HWY
WALDPORT, OR 97394","541-563-3401","","Lincoln"
"ALSTON CORNERS-ASSEMBLY OF GOD","","","","100","Ground water","25272 ALSTON RD
RAINIER, OR 97048","503-556-1961","","Columbia"
"ALSTON COUNTRY STORE","","","","90","Ground water","25239 ALSTON RD
RAINIER, OR 97048","503-556-9685","","Columbia"
"ALSTON PUB & GRUB","","","","25","Ground water","PO BOX 1211
RAINIER, OR 97048","503-556-3802","","Columbia"
"ALVADORE GAS & STORE","","","","250","Ground water","PO BOX 167
90828 RAILROAD RD
ALVADORE, OR 97409","541-689-3551","","Lane"
