"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"101 OFFICES","","","","25","Ground water","29 INSTITUTE LANE
PO BOX 565
NORTH SCITUATE, RI 02857","401-500-1810","SCITUATE","Providence"
"1195 PUTNAM PIKE, LLC","","","","155","Ground water","P.O. BOX 966
1195 PUTNAM PIKE
CHEPACHET, RI 02814","401-243-5200","GLOCESTER","Providence"
"334 NARROW LANE LLC","","","","25","Ground water","364 CARDS POND RD
WAKEFIELD, RI 02879","401-782-3800","CHARLESTOWN","Washington"
"A-1 PIZZA","","","","68","Ground water","P.O. BOX 995
LITTLE COMPTON, RI 02837","401-635-8353","LITTLE COMPTON","Newport"
"ABBEY LANE COMMUNITY ASSN., INC.","","","","45","Ground water","14 ABBEY LANE
FOSTER, RI 02825","401-523-9989","FOSTER","Providence"
"ABM, INC.DBA THE ATLANTIC INN","","","","186","Ground water","P.O. BOX 1788
BLOCK ISLAND, RI 02807","401-466-5883","NEW SHOREHAM","Washington"
"ABRAHAM MANCHESTER RESTAURANT & TAVERN","","","","110","Ground water","74 BURCHARD AVENUE
LITTLE COMPTON, RI 02837","401-635-2985","LITTLE COMPTON","Newport"
"ADCARE RHODE ISLAND INC","","","","70","Ground water","107 LINCOLN STREET
WORCESTER, MA 01605","508-799-9000","NORTH KINGSTOWN","Washington"
"ADLER BROTHERS DEVELOPMENT AN0","","","","50","Ground water","115 Mapleville Rd
GREENVILLE, RI 02828","401-949-2727","GLOCESTER","Providence"
"AGIOS INC DBA THE GENTLEMAN FARMER REST.","","","","200","Ground water","617 PUTNAM PIKE
GLOCESTER, RI 02814","401-371-2683","GLOCESTER","Providence"
"ALBACO,L.L.C. - A.K.A. SHORELINE PLAZA","","","","54","Ground water","2204 BROAD ST
CRANSTON, RI 02905","401-263-7991","CHARLESTOWN","Washington"
"ALLIED REALTY ASSOCIATES, LLC","","","","450","Ground water","P.O. BOX 1040
BROCKTON, MA 02383","508-588-8500","GLOCESTER","Providence"
"ALLIES DONUTS, INC.","","","","500","Ground water","3661 QUAKER LANE
NORTH KINGSTOWN, RI 02852","401-295-8036","NORTH KINGSTOWN","Washington"
"ALPINE COUNTRY CLUB","","","","200","Ground water","251 Pippin Orchard Road
CRANSTON, RI 02921","401-943-2670","CRANSTON","Providence"
"ALPINE NURSING HOME","","","","105","Ground water","557 Weaverhill Road
COVENTRY, RI 02816","401-397-5001","COVENTRY","Kent"
"AMICABLE CONGREGATIONAL CHURCH","","","","25","Ground water","3736 MAIN ROAD
TIVERTON, RI 02878","401-624-4611","TIVERTON","Newport"
"ANDREWS REALTY, INC. DBA RICHMOND PLAZA","","","","64","Ground water","58 RICHMOND TOWNHOUSE RD.
CAROLINA, RI 02812","401-539-2913","RICHMOND","Washington"
"ARROWHEAD DENTAL ASSOCIATES, INC.","","","","55","Ground water","4995 SOUTH COUNTY TRAIL
PO BOX 850
CHARLESTOWN, RI 02813","401-364-6300","CHARLESTOWN","Washington"
"ASHAWAY ELEMENTARY SCHOOL","","","","300","Ground water","455A SWITCH ROAD
RICHMOND, RI 02894","401-364-3260","HOPKINTON","Washington"
