"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"4TH STREET BISTRO","","","","30","Ground water","3065 W 4TH ST
4TH STREET BISTRO
RENO, NV 89503","775-323-3200","","Washoe"
"A COWBOYS DREAM","","","","26","Ground water","2941 HARRIS AVE
LAS VEGAS, NV 89101","702-872-5485","","Lincoln"
"A1 FUEL STOP","","","","25","Ground water","1040 S UNIVERSITY PARK LOOP
RENO, NV 89512","775-223-1759","","Humboldt"
"ACG MATERIALS","","","","63","Ground water","PO BOX 20160
CARSON CITY, NV 89721","775-882-0700","","Lyon"
"ACRES CULTIVATION","","","","248","Ground water","1939 E ANVIL ROAD
AMARGOSA VALLEY, NV 89020","702-824-7130","","Nye"
"AIR BASE INN","","","","25","Ground water","9750 NORTH VIRGINIA STREET SUITE 1
RENO, NV 89506","775-972-4155","","Washoe"
"AIR SAILING INC GLIDERPORT","","","","25","Ground water","5973 KOLB RANCH DRIVE
PLEASANTON, CA 94588","510-490-6765","","Washoe"
"ALAMO SEWER AND WATER GID","","","","900","Ground water","PO BOX 418
ALAMO, NV 89001","","ALAMO","Lincoln"
"AMARGOSA ELEMENTARY SCHOOL","","","","200","Ground water","250 N HWY 160 SUITE 2
PAHRUMP, NV 89060","775-751-6265","","Nye"
"AMARGOSA PARK","","","","25","Ground water","250 N HWY 160 SUITE 2
PAHRUMP, NV 89060","775-751-6265","","Nye"
"AMARGOSA SENIOR CENTER","","","","25","Ground water","250 N HWY 160 SUITE 2
PAHRUMP, NV 89060","775-751-6265","","Nye"
"AMARGOSA TOWN COMPLEX","","","","25","Ground water","250 N HWY 160 SUITE 2
PAHRUMP, NV 89060","775-751-6265","AMARGOSA","Nye"
"AMARGOSA VALLEY RV PARK","","","","25","Ground water","PO BOX 355
BEATTY, NV 89003","702-275-7077","","Nye"
"AMARGOSA VALLEY VFW POST 6826","","","","25","Ground water","PO BOX 8
AMARGOSA VALLEY, NV 89020","775-372-5613","","Nye"
"AMARGOSA WATER COMPANY","","","","54","Ground water","PO BOX 35908
UTILITY SERVICES
LAS VEGAS, NV 89133-5908","702-556-8069","","Nye"
"ANCHOR IN MHP","","","","36","Ground water","150 N LESLIE ST 27
PAHRUMP, NV 89060","775-513-4469","","Nye"
"ANGEL CREEK CAMPGROUND USFS","","","","75","Ground water","660 SOUTH 12TH STREET SUITE 108
USFS
ELKO, NV 89801","775-778-6142","","Elko"
"ANGEL LAKE CAMPGROUND USFS","","","","100","Ground water","660 SOUTH 12TH STREET SUITE 108
USFS
ELKO, NV 89801","775-778-6142","","Elko"
"ANIMAL ARK","","","","100","Ground water","PO BOX 784
VERDI, NV 89439-0784","","","Washoe"
"ANTELOPE VALLEY MEETINGHOUSE LDS","","","","25","Ground water","3001 N 5TH STREET
ELKO, NV 89801","775-934-2543","","Lander"
"APEX REGIONAL WASTE MGMT CENTER","","","","107","Ground water","13550 NORTH US HIGHWAY 93
LAS VEGAS, NV 89165","702-599-5901","","Clark"
"ASH MEADOWS NATIONAL WILDLIFE REFUGE FWS","","","","25","Ground water","610 E SPRING MEADOWS ROAD
AMARGOSA VALLEY, NV 89020","775-372-5435","","Nye"
