"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"2 BAR LAZY H CAMPGROUND","","","","37","Ground water","116153 SO BUXTON RD
SILVER BOW, MT 59750","406-491-3464","BUTTE","Silver Bow"
"241 GRILL & TAVERN","","","","52","Ground water","PO BOX 135
TURNER, MT 59542","406-379-8241","TURNER","Blaine"
"2727 WEST CENTRAL DUPLEXES","","","","35","Ground water","PO BOX 2525
MISSOULA, MT 59806","406-544-6815","MISSOULA","Missoula"
"3 NORTH BAR AND GRILL","","","","50","Surface water purchased","8369 HIGHWAY 3 NORTH
ACTON, MT 59002","406-208-0770","ACTON","Yellowstone"
"320 RANCH","","","","215","Groundwater under influence of surface water","205 BUFFALO HORN CREEK RD
GALLATIN GATEWAY, MT 59730","406-995-4283","GALLATIN GATEWAY","Gallatin"
"7 POINT RANCH - UNAPPROVED","","","","210","Ground water","2894 HWY 89
EMIGRANT, MT 59027","406-333-4290","EMIGRANT","Park"
"7 R GUEST RANCH","","","","108","Ground water","PO BOX 226
WOLF CREEK, MT 59648","406-235-3440","WOLF CREEK","Lewis and Clark"
"7TH DAY ADVENTIST/CHRISTIAN SCHOOL","","","","88","Ground water","117 WEST BRIDGE ROAD
HAMILTON, MT 59840","406-363-0575","HAMILTON","Ravalli"
"7TH RANCH RV CAMP","","","","102","Ground water","LITTLE BIG HORN BATTLEFIELD
GARRYOWEN, MT 59031","406-638-2438","GARRYOWEN","Big Horn"
"87 CASINO BAR AND GRILL  THE","","","","27","Ground water","42754 US HWY 87
STANFORD, MT 59479","406-731-7636","STANFORD","Judith Basin"
"A AND W RESTAURANT AND HELDSTAB","","","","419","Ground water","PO BOX 1670
COLUMBIA FALLS, MT 59912","406-892-5793","COLUMBIA FALLS","Flathead"
"A BAR","","","","77","Ground water","P O BOX 1251
BIGFORK, MT 59911","406-837-3663","BIGFORK - LAKE CO","Lake"
"ABSALOKA MINE","","","","80","Ground water","PO BOX 449
HARDIN, MT 59034","406-342-4509","HARDIN","Big Horn"
"ABSAROKEE WATER AND SEWER DIST","","","","1,100","Ground water","PO BOX 365
ABSAROKEE, MT 59001","406-328-4748","ABSAROKEE","Stillwater"
"ABUNDANT LIFE CHURCH","","","","125","Ground water","126 SIBLEY LN
BELGRADE, MT 59714-8989","406-539-7797","BOZEMAN","Gallatin"
"AIRPORT INN","","","","25","Ground water","PO BOX 147
MILES CITY, MT 59301","406-234-9977","MILES CITY","Custer"
"AITKENS QUIK STOP   NOXON","","","","306","Ground water","1402 MT HWY 200
NOXON, MT 59853","406-546-1252","NOXON","Sanders"
"ALBERTON  TOWN OF","","","","495","Ground water","PO BOX 115
ALBERTON, MT 59820","406-722-3404","ALBERTON","Mineral"
"ALBERTSON'S HAMILTON","","","","50","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","HAMILTON","Ravalli"
"ALBERTSONS  ANACONDA NO 2022","","","","25","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","ANACONDA","Deer Lodge"
"ALBERTSONS  BELGRADE NO 2009","","","","40","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","BELGRADE","Gallatin"
"ALBERTSONS  BLGS CENTRAL NO 2030","","","","30","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","BILLINGS","Yellowstone"
"ALBERTSONS  BLGS GRAND AVE NO 2041","","","","30","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","BILLINGS","Yellowstone"
"ALBERTSONS  BLGS NO 2027","","","","30","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","BILLINGS","Yellowstone"
"ALBERTSONS  BLGS NO 2047","","","","30","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","BILLINGS","Yellowstone"
"ALBERTSONS  BOZEMAN NO 2006","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","BOZEMAN","Gallatin"
"ALBERTSONS  CUT BANK  2033","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","CUT BANK","Glacier"
"ALBERTSONS  GLASGOW NO 2012","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","GLASGOW","Valley"
"ALBERTSONS  GLENDIVE NO 2023","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","GLENDIVE","Dawson"
"ALBERTSONS  GREAT FALLS 10TH AVE  2037","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","GREAT FALLS","Cascade"
"ALBERTSONS  GT FLS 3RD AVE NW NO 2035","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","GREAT FALLS","Cascade"
"ALBERTSONS  HARLEM NO 2032","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","HARLEM","Blaine"
"ALBERTSONS  HELENA NO 2004","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","HELENA","Lewis and Clark"
"ALBERTSONS  HELENA NO 2008","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","HELENA","Lewis and Clark"
"ALBERTSONS  LIVINGSTON NO 2042","","","","25","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","LIVINGSTON","Park"
"ALBERTSONS  MALTA NO 2013","","","","25","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","MALTA","Phillips"
"ALBERTSONS  MILES CITY NO 2039","","","","25","Surface water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","MILES CITY","Custer"
"ALBERTSONS  MISSOULA NO 2010","","","","50","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","MISSOULA","Missoula"
"ALBERTSONS  MISSOULA NO 2020","","","","50","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","MISSOULA","Missoula"
"ALBERTSONS  MISSOULA NO 2024","","","","25","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","MISSOULA","Missoula"
"ALBERTSONS  MISSOULA NO 2043","","","","50","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","MISSOULA","Missoula"
"ALBERTSONS  SHELBY NO 2014","","","","50","Ground water purchased","1385 PARK CENTER DR
VISTA, CA 92081","760-560-2222","SHELBY","Toole"
"ALCAN BAR AND CAFE","","","","71","Ground water","P O BOX 885
FRENCHTOWN, MT 59834","406-626-9930","FRENCHTOWN","Missoula"
"ALDER SCHOOL","","","","30","Ground water","PO BOX 127
ALDER, MT 59710","406-596-1114","ALDER","Madison"
"ALDINGER ACRES SUBDIVISION","","","","100","Ground water","4707 S WOODHAVEN WAY
BILLINGS, MT 59106","406-839-0704","BILLINGS","Yellowstone"
"ALETHEIA CHRISTIAN FELLOWSHIP","","","","102","Ground water","PO BOX 10626
KALISPELL, MT 59904","406-755-1776","KALISPELL","Flathead"
"ALFRESCO RV & STORAGE","","","","44","Ground water","10823 Hwy 37
LIBBY, MT 59923","406-293-6633","LIBBY","Lincoln"
"ALL SAINTS EPISCOPAL CHURCH","","","","40","Ground water","PO BOX 1923
WHITEFISH, MT 59937","406-862-2863","WHITEFISH","Flathead"
"ALLENS MANIX STORE","","","","33","Ground water","PO BOX 244
AUGUSTA, MT 59410","406-562-3333","AUGUSTA","Lewis and Clark"
"ALLEY CAT BOWLING AND BAR  THE","","","","34","Ground water","PO BOX 1346
CHOTEAU, MT 59422","406-466-2818","CHOTEAU","Teton"
"ALPINE CABIN - BRIDGER BOWL","","","","50","Ground water","BRIDGER BOWL
15795 BRIDGER CANYON RD
BOZEMAN, MT 59715","406-556-5641","BOZEMAN","Gallatin"
"ALPINE MOBILE MANOR","","","","45","Ground water","970 ELECTRIC AVE
BIGFORK, MT 59911","406-260-2478","KALISPELL","Flathead"
"ALPINE PACIFIC UTILITIES","","","","270","Ground water","75 SOMERS RD
SOMERS, MT 59932","406-393-2127","KALISPELL","Flathead"
"ALPINE VILLAGE WUA","","","","125","Ground water","775 4TH AVE WEST N
KALISPELL, MT 59901","406-261-4794","WHITEFISH","Flathead"
"ALSAKER CORP - BROADWAY FLYING J BELGRAD","","","","624","Ground water","11 W MAIN SUITE 228
BELGRADE, MT 59714","509-998-9457","BELGRADE","Gallatin"
"AMAZING VENTURES INC","","","","130","Ground water","22621 NE 144TH COURT
WOODINVILLE, WA 98077","406-387-5902","CORAM","Flathead"
"AMERICAN WATER TECHNOLOGIES","","","","40","Surface water purchased","2449 OVERLAND
BILLINGS, MT 59102","406-252-4161","BILLINGS","Yellowstone"
"AMITY SQUARE WATER SYSTEM","","","","50","Ground water","2527 S 3RD WEST
MISSOULA, MT 59804","406-728-2332","MISSOULA","Missoula"
"AMSTERDAM SCHOOL DISTRICT 75","","","","179","Ground water","6360 CAMP CREEK ROAD
MANHATTAN, MT 59741","406-282-7216","MANHATTAN","Gallatin"
"AMUSEMENT PARK DRIVE IN","","","","74","Surface water purchased","29 TEESDALE LANE
BRIDGER, MT 59014","406-272-0792","LAUREL","Yellowstone"
"ANACONDA CCC","","","","290","Surface water","1407 FOSTER CREEK ROAD
ANACONDA, MT 59711","406-491-2034","ANACONDA","Deer Lodge"
"ANACONDA COUNTRY CLUB","","","","150","Ground water","1521 COUNTRY CLUB RD
ANACONDA, MT 59711","406-797-3220","ANACONDA","Deer Lodge"
"ANACONDA INTERCHANGE REST AREA","","","","465","Ground water","PO BOX 3068
BUTTE, MT 59702","406-494-9603","ANACONDA","Deer Lodge"
